Plate,Repeat,Well,Type,Time,Absorbance @ 405 (0.1s) (A),label
1,1,A01,M,00:00:18.72,0.076,GSH 0
1,1,A02,M,00:00:19.62,0.210,GSH 8
1,1,A03,M,00:00:20.51,0.363,GSH 16
1,1,A04,M,00:00:21.40,0.580,GSH 24
1,1,A05,M,00:00:22.29,0.812,GSH 32
1,1,A06,M,00:00:23.18,1.066,GSH 40
1,1,A07,M,00:00:24.07,0.203,PC 2
1,1,A08,M,00:00:24.96,0.096,PC 10
1,1,A09,M,00:00:25.84,0.186,PC 20
1,1,A10,M,00:00:26.73,0.270,A1
1,1,A11,M,00:00:27.62,0.248,A1
1,1,A12,M,00:00:28.51,0.261,A1
1,1,B01,M,00:00:31.85,0.267,A2
1,1,B02,M,00:00:32.73,0.288,A2
1,1,B03,M,00:00:33.62,0.278,A2
1,1,B04,M,00:00:34.51,0.238,B1
1,1,B05,M,00:00:35.40,0.218,B1
1,1,B06,M,00:00:36.29,0.228,B1
1,1,B07,M,00:00:37.18,0.283,B2
1,1,B08,M,00:00:38.07,0.237,B2
1,1,B09,M,00:00:38.96,0.236,B2
1,1,B10,M,00:00:39.84,0.206,B3
1,1,B11,M,00:00:40.73,0.241,B3
1,1,B12,M,00:00:41.62,0.165,B3
1,1,C01,M,00:00:44.96,0.182,B4
1,1,C02,M,00:00:45.84,0.272,B4
1,1,C03,M,00:00:46.73,0.185,B4
1,1,C04,M,00:00:47.62,0.158,C1
1,1,C05,M,00:00:48.51,0.138,C1
1,1,C06,M,00:00:49.40,0.137,C1
1,1,C07,M,00:00:50.29,0.158,C2
1,1,C08,M,00:00:51.18,0.144,C2
1,1,C09,M,00:00:52.07,0.140,C2
1,1,C10,M,00:00:52.96,0.201,D2
1,1,C11,M,00:00:53.84,0.202,D2
1,1,C12,M,00:00:54.73,0.201,D2
1,1,D01,M,00:00:58.07,0.166,D3
1,1,D02,M,00:00:58.95,0.166,D3
1,1,D03,M,00:00:59.84,0.167,D3
1,1,D04,M,00:01:00.73,0.198,A3
1,1,D05,M,00:01:01.62,0.199,A3
1,1,D06,M,00:01:02.51,0.200,A3
1,2,A01,M,00:01:41.17,0.075,GSH 0
1,2,A02,M,00:01:42.07,0.209,GSH 8
1,2,A03,M,00:01:42.95,0.361,GSH 16
1,2,A04,M,00:01:43.84,0.577,GSH 24
1,2,A05,M,00:01:44.73,0.808,GSH 32
1,2,A06,M,00:01:45.62,1.062,GSH 40
1,2,A07,M,00:01:46.51,0.206,PC 2
1,2,A08,M,00:01:47.40,0.097,PC 10
1,2,A09,M,00:01:48.29,0.189,PC 20
1,2,A10,M,00:01:49.18,0.269,A1
1,2,A11,M,00:01:50.07,0.262,A1
1,2,A12,M,00:01:50.95,0.276,A1
1,2,B01,M,00:01:54.29,0.272,A2
1,2,B02,M,00:01:55.18,0.290,A2
1,2,B03,M,00:01:56.07,0.286,A2
1,2,B04,M,00:01:56.95,0.234,B1
1,2,B05,M,00:01:57.84,0.217,B1
