Plate,Repeat,Well,Type,Time,Absorbance @ 405 (0.1s) (A),
1,1,A01,M,00:00:18.30,0.076,
1,1,A02,M,00:00:19.20,0.078,
1,1,A03,M,00:00:20.09,0.134,
1,1,A04,M,00:00:20.98,0.212,
1,1,A05,M,00:00:21.87,0.316,
1,1,A06,M,00:00:22.76,0.454,
1,1,A07,M,00:00:23.65,0.152,
1,1,A08,M,00:00:24.54,0.163,
1,1,A09,M,00:00:25.42,0.148,
1,1,A10,M,00:00:26.31,0.163,
1,1,A11,M,00:00:27.20,0.173,
1,1,A12,M,00:00:28.09,0.168,
1,1,B01,M,00:00:31.43,0.167,
1,1,B02,M,00:00:32.31,0.180,
1,1,B03,M,00:00:33.20,0.169,
1,1,B04,M,00:00:34.09,0.153,
1,1,B05,M,00:00:34.98,0.163,
1,1,B06,M,00:00:35.87,0.150,
1,1,B07,M,00:00:36.76,0.160,
1,1,B08,M,00:00:37.65,0.182,
1,1,B09,M,00:00:38.53,0.100,
1,1,B10,M,00:00:39.42,0.236,
1,1,B11,M,00:00:40.31,0.203,
1,1,B12,M,00:00:41.20,0.205,
1,1,C01,M,00:00:44.54,0.227,
1,1,C02,M,00:00:45.42,0.215,
1,1,C03,M,00:00:46.31,0.219,
1,1,C04,M,00:00:47.20,0.440,
1,1,C05,M,00:00:48.09,0.414,
1,1,C06,M,00:00:48.98,0.453,
1,1,C07,M,00:00:49.87,0.148,
1,1,C08,M,00:00:50.76,0.141,
1,1,C09,M,00:00:51.65,0.152,
1,1,C10,M,00:00:52.53,0.230,
1,1,C11,M,00:00:53.42,0.233,
1,1,C12,M,00:00:54.31,0.233,
1,1,D01,M,00:00:57.65,0.305,
1,1,D02,M,00:00:58.53,0.317,
1,1,D03,M,00:00:59.42,0.303,
1,1,D04,M,00:01:00.31,0.200,
1,1,D05,M,00:01:01.20,0.169,
1,1,D06,M,00:01:02.09,0.181,
1,1,D07,M,00:01:02.98,0.140,
1,1,D08,M,00:01:03.87,0.149,
1,1,D09,M,00:01:04.76,0.139,
1,1,D10,M,00:01:05.65,0.179,
1,1,D11,M,00:01:06.53,0.187,
1,1,D12,M,00:01:07.42,0.176,
1,1,E01,M,00:01:10.76,0.381,
1,1,E02,M,00:01:11.65,0.347,
1,1,E03,M,00:01:12.53,0.346,
1,1,E04,M,00:01:13.42,0.120,
1,1,E05,M,00:01:14.31,0.136,
1,1,E06,M,00:01:15.20,0.131,
1,1,E07,M,00:01:16.09,0.214,
1,1,E08,M,00:01:16.98,0.202,
1,1,E09,M,00:01:17.87,0.205,
1,1,E10,M,00:01:18.76,0.249,
1,1,E11,M,00:01:19.65,0.244,
