Label,Weights
D54,13.6
D55,10.8
D57,22.2
D58,12.4
D59,21
M41,11.6
M42,23.2
M43,20.4
M44,10.8
M45,20.4
M47,11.7
M49,16.8
M89,16.2
M90,25.2
N41,17.9
N42,19.6
N43,11
N44,19
N45,12.5
N47,17.8
R41,19.1
R42,16.8
R43,12.2
R46,7.3
R47,22.9
R48,12.8
R50,15.3
R78,17.6
T55,14.4
T56,17.4
T57,11.5
T58,24.3
T59,27
T60,NA
T61,27.5
T62,16.6
X41,13
X42,10.5
X43,12.1
X44,12.5
X45,11.8
X47,39
X48,21.4
D56,12.7
M46,22.7
M48,14.9
N46,15.5
X46,10.4
N48,14.7
N49,9.3
N50,20.7
N51,21.2
N52,20
N53,22.3
N54,16.8
N55,26.1
N56,10
N57,7.5
N58,14.8
N59,13.4
R51,12.3
R52,9.5
R53,14
R54,4.5
R55,9.2
R56,9.1
R57,19.3
R58,10.7
R59,11.9
R60,6.4
R61,NA
R62,8.3
