batch,Label,meanA,OD,GSH,weights,protein_content,standardization,Protein (mg/ul),CS activity (nmol/(mg*min)),ploidy,trt
1,D55,0.161,0.017,5.539,10.8,719.644,0.031,0.023,0.106,D,D-control
1,D56,0.147,0.001,4.211,12.7,83.111,0.036,0.002,0.817,D,D-control
1,D58,0.156,0.012,5.096,12.4,746.711,0.035,0.021,0.107,D,D-control
1,D59,0.218,0.013,5.151,21,841.289,0.060,0.014,0.163,D,D-control
1,M41,0.173,0.010,4.930,11.6,895.111,0.033,0.027,0.081,D,D-heat
1,M47,0.165,0.010,4.902,11.7,891.689,0.033,0.027,0.082,D,D-heat
1,M89,0.170,0.011,4.985,16.2,901.333,0.046,0.019,0.114,D,D-control
1,N44,0.211,0.009,4.819,19,803.644,0.054,0.015,0.145,D,D-heat
1,N45,0.133,0.012,5.068,12.5,376.489,0.036,0.011,0.214,D,D-heat
1,N46,0.172,0.007,4.709,15.5,602.356,0.044,0.014,0.154,D,D-heat
1,R42,0.307,-0.002,3.962,16.8,496.889,0.048,0.010,0.170,T,T-heat
1,R46,0.157,0.009,4.819,7.3,474.800,0.021,0.023,0.094,T,T-heat
1,R47,0.355,0.001,4.155,22.9,1220.844,0.065,0.019,0.099,T,T-heat
1,R48,0.191,0.005,4.543,12.8,651.200,0.037,0.018,0.113,T,T-heat
1,R50,0.233,0.002,4.266,15.3,872.400,0.044,0.020,0.095,T,T-heat
1,T56,0.148,0.011,5.013,17.4,289.689,0.050,0.006,0.382,T,T-control
1,T58,0.449,-0.006,3.602,24.3,1138.711,0.069,0.016,0.098,T,T-control
1,T59,0.421,-0.004,3.768,27,1220.844,0.077,0.016,0.106,T,T-control
1,T61,0.729,-0.006,3.602,27.5,1239.511,0.079,0.016,0.101,T,T-control
1,T62,0.221,0.009,4.847,16.6,981.289,0.047,0.021,0.104,T,T-control
1,X42,0.213,0.006,4.626,10.5,631.289,0.030,0.021,0.098,T,T-heat
1,X43,0.246,0.007,4.709,12.1,817.022,0.035,0.024,0.089,T,T-heat
1,X44,0.184,0.009,4.875,12.5,871.467,0.036,0.024,0.089,T,T-heat
2,D54,0.148,0.017,5.539,13.6,299.333,0.039,0.008,0.320,D,D-control
2,M42,0.371,0.092,11.708,23.2,1010.533,0.066,0.015,0.341,D,D-heat
2,M43,0.493,0.051,8.333,20.4,823.556,0.058,0.014,0.262,D,D-heat
2,M46,0.185,0.017,5.539,22.7,656.800,0.065,0.010,0.243,D,D-control
2,M48,0.172,0.030,6.618,14.9,724.933,0.043,0.017,0.173,D,D-control
2,M49,0.166,0.019,5.705,16.8,476.667,0.048,0.010,0.255,D,D-control
2,M90,0.211,0.024,6.120,25.2,1189.733,0.072,0.017,0.165,D,D-control
2,N41,0.249,0.007,4.681,17.9,503.111,0.051,0.010,0.211,D,D-heat
2,N42,0.193,0.038,7.226,19.6,1015.822,0.056,0.018,0.177,D,D-heat
2,N43,0.127,0.020,5.732,11,119.200,0.031,0.004,0.672,D,D-heat
2,N47,0.187,0.027,6.369,17.8,697.244,0.051,0.014,0.206,D,D-heat
2,N49,0.133,0.021,5.871,9.3,17.778,0.027,0.001,3.900,D,D-desiccation
2,N57,0.240,0.022,5.898,7.5,891.689,0.021,0.042,0.063,D,D-desiccation
2,N59,0.165,0.032,6.728,13.4,521.467,0.038,0.014,0.220,D,D-desiccation
2,R58,0.223,0.037,7.143,10.7,788.089,0.031,0.026,0.123,T,T-desiccation
2,R60,0.148,0.022,5.954,6.4,-70.578,0.018,-0.004,-0.686,T,T-desiccation
2,R62,0.212,0.025,6.147,8.3,201.644,0.024,0.009,0.321,T,T-desiccation
2,R78,0.289,0.030,6.618,17.6,1010.222,0.050,0.020,0.146,T,T-heat
2,T55,0.191,0.027,6.341,14.4,529.867,0.041,0.013,0.219,T,T-control
2,T57,0.234,0.021,5.815,11.5,541.378,0.033,0.016,0.157,T,T-control
2,X41,0.265,0.033,6.867,13,645.911,0.037,0.017,0.175,T,T-heat
2,X45,0.204,0.021,5.871,11.8,559.733,0.034,0.017,0.157,T,T-control
2,X47,0.383,0.011,4.985,39,1210.267,0.111,0.011,0.204,T,T-control
2,X48,0.307,0.002,4.294,21.4,917.200,0.061,0.015,0.127,T,T-control
3,M45,0.333,0.088,11.432,20.4,784.978,0.058,0.013,0.340,D,D-control
3,N48,0.287,0.103,12.621,14.7,279.733,0.042,0.007,0.758,D,D-desiccation
3,N50,0.361,0.118,13.866,20.7,459.556,0.059,0.008,0.714,D,D-desiccation
3,N51,0.250,0.078,10.546,21.2,353.933,0.061,0.006,0.722,D,D-desiccation
3,N52,0.328,0.122,14.254,20,563.778,0.057,0.010,0.578,D,D-desiccation
3,N53,0.390,0.151,16.633,22.3,856.533,0.064,0.013,0.495,D,D-desiccation
3,N54,0.340,0.115,13.645,16.8,870.533,0.048,0.018,0.301,D,D-desiccation
3,N55,0.329,0.087,11.349,26.1,826.044,0.075,0.011,0.410,D,D-desiccation
3,N56,0.318,0.126,14.530,10,130.400,0.029,0.005,1.273,D,D-desiccation
3,N57,0.299,0.133,15.111,7.5,56.044,0.021,0.003,2.311,D,D-desiccation
3,N58,0.304,0.118,13.866,14.8,457.378,0.042,0.011,0.513,D,D-desiccation
3,R51,0.426,0.093,11.791,9.5,-123.778,0.027,-0.005,-1.034,T,T-desiccation
3,R52,0.260,0.107,12.953,14,561.600,0.040,0.014,0.369,T,T-desiccation
3,R53,0.380,0.183,19.261,4.5,56.667,0.013,0.004,1.748,T,T-desiccation
3,R54,0.303,0.117,13.839,9.2,67.867,0.026,0.003,2.144,T,T-desiccation
3,R56,0.299,0.073,10.187,9.1,416.000,0.026,0.016,0.255,T,T-desiccation
3,R57,0.550,0.141,15.803,19.3,728.356,0.055,0.013,0.479,T,T-desiccation
3,R59,0.262,0.121,14.115,11.9,-158.622,0.034,-0.005,-1.210,T,T-desiccation
3,X46,0.361,0.154,16.910,10.4,433.733,0.030,0.015,0.463,T,T-control
