"","Label","meanA","OD","GSH","weights","protein_content","standardization","Protein (mg/ul)","CS activity (nmol/(mg*min))"
"1","D55",0.161,0.0173333333333333,5.53866666666666,10.8,719.644444444445,0.0308571428571429,0.0233218106995885,0.105550536420102
"2","D56",0.147333333333333,0.00133333333333333,4.21066666666667,12.4,83.1111111111113,0.0354285714285714,0.00234587813620072,0.797742806213392
"3","D58",0.156,0.012,5.096,21,746.711111111111,0.06,0.0124451851851852,0.18198916731147
"4","D59",0.218333333333333,0.0126666666666667,5.15133333333333,11.6,841.288888888889,0.0331428571428571,0.0253837164750958,0.0901948886691873
"5","M41",0.173333333333333,0.00999999999999998,4.93,11.7,895.111111111111,0.0334285714285714,0.0267768281101615,0.0818286281742091
"6","M47",0.164666666666667,0.00966666666666668,4.90233333333333,16.2,891.688888888889,0.0462857142857143,0.0192648834019204,0.113097742112346
"7","M89",0.17,0.0106666666666667,4.98533333333333,19,901.333333333333,0.0542857142857143,0.0166035087719298,0.133447919601766
"8","N44",0.210666666666667,0.00866666666666666,4.81933333333333,12.5,803.644444444445,0.0357142857142857,0.0225020444444445,0.0951880586323678
"9","N45",0.132666666666667,0.0116666666666667,5.06833333333333,16.8,376.488888888889,0.048,0.00784351851851852,0.287191594853028
"10","N46",0.172333333333333,0.00733333333333333,4.70866666666667,7.3,602.355555555556,0.0208571428571429,0.0288800608828006,0.0724631692860129
"11","R42",0.307333333333333,-0.00166666666666671,3.96166666666666,22.9,496.888888888889,0.0654285714285714,0.00759437166424067,0.231848113127183
"12","R46",0.157333333333333,0.00866666666666668,4.81933333333333,12.8,474.8,0.0365714285714286,0.0129828125,0.164981657551161
"13","R47",0.355333333333333,0.000666666666666649,4.15533333333333,15.3,1220.84444444444,0.0437142857142857,0.0279278140885984,0.0661281548550833
"14","R48",0.190666666666667,0.00533333333333336,4.54266666666667,17.4,651.2,0.0497142857142857,0.0130988505747126,0.154132834132834
"15","R50",0.233333333333333,0.002,4.266,24.3,872.4,0.0694285714285714,0.0125654320987654,0.150890155236785
"16","T56",0.147666666666667,0.011,5.013,27,289.688888888889,0.0771428571428571,0.00375522633744856,0.59330644807785
"17","T58",0.449,-0.00600000000000001,3.602,27.5,1138.71111111111,0.0785714285714286,0.0144926868686869,0.110461842127273
"18","T59",0.420666666666667,-0.004,3.768,16.6,1220.84444444444,0.0474285714285714,0.0257406961178046,0.0650591055891576
"19","T61",0.728666666666667,-0.00600000000000001,3.602,10.5,1239.51111111111,0.03,0.0413170370370371,0.0387464591774535
"20","T62",0.221333333333333,0.00900000000000001,4.847,12.1,981.288888888888,0.0345714285714286,0.0283843893480257,0.0758946122042277
"21","X42",0.212666666666667,0.00633333333333333,4.62566666666667,12.5,631.288888888889,0.0357142857142857,0.0176760888888889,0.116306942377063
"22","X43",0.245666666666667,0.00733333333333333,4.70866666666667,12.7,817.022222222222,0.0362857142857143,0.0225163604549431,0.092943117735589
"23","X44",0.184,0.00933333333333333,4.87466666666667,15.5,871.466666666667,0.0442857142857143,0.0196782795698925,0.110096947795846
