"","Label","meanA","newA","OD","GSH","protein_content","Protein (mg/ul)","CS activity (nmol/(mg*min))","ploidy","trt"
"1","R59",0.173,0.0786666666666667,0.123,3.943,1116.94444444444,0.00111694444444444,7.06033325043522,"T","T-desiccation"
"2","R61",0.190666666666667,0.0963333333333334,0.111333333333333,3.46466666666667,1432.5,0.0014325,4.83723094822571,"T","T-desiccation"
"3","T59",0.174333333333333,0.08,0.100333333333333,3.01366666666667,1123.88888888889,0.00112388888888889,5.3629263470094,"T","T-control"
"4","D56",0.172666666666667,0.0783333333333333,0.109,3.369,1065.27777777778,0.00106527777777778,3.162555410691,"D","D-control"
"5","D58",0.167,0.0726666666666667,0.111666666666667,3.47833333333333,648.055555555556,0.000648055555555556,5.36733819117017,"D","D-control"
"6","M47",0.179,0.0846666666666667,0.106,3.246,1127.5,0.0011275,2.87893569844789,"D","D-heat"
"7","N41",0.16375,0.0694166666666667,0.09275,2.70275,935.277777777778,0.000935277777777778,2.88978318978319,"D","D-heat"
"8","N45",0.166666666666667,0.0723333333333334,0.108,3.328,728.611111111111,0.000728611111111111,4.56759435760579,"D","D-heat"
"9","N46",0.144,0.0496666666666667,0.067,1.647,448.055555555556,0.000448055555555556,3.67588344699318,"D","D-heat"
"10","N49",0.175,0.0806666666666667,0.115,3.615,898.333333333333,0.000898333333333334,4.02411873840445,"D","D-desiccation"
"11","R50",0.187,0.0926666666666667,0.106,3.246,1067.5,0.0010675,3.04074941451991,"T","T-heat"
"12","R57",0.264333333333333,0.17,0.113333333333333,3.54666666666666,1393.88888888889,0.00139388888888889,2.5444400159426,"T","T-desiccation"
"13","T61",0.225333333333333,0.131,0.137666666666667,4.54433333333333,1545.55555555556,0.00154555555555556,2.94025880661395,"T","T-control"
