Round,Label,meanA,OD,GSH,Protein (ug/mL) ,Protein (mg/ul),CS activity (nmol/(mg*min)),ploidy,trt,date of sample
1,D54,0.148,0.017333333,1.374,549.1666667,0.000549167,1.11198786,D,D-control,3/22/22
1,D55,0.155333333,0.023,1.918,1074.555556,0.001074556,0.793299555,D,D-control,3/22/22
1,D56,0.147333333,0.001333333,-0.162,278.8888889,0.000278889,-0.258167331,D,D-control,3/22/22
1,D58,0.147,0.021,1.726,1108.388889,0.001108389,0.692095634,D,D-control,3/22/22
1,D59,0.209,0.022,1.822,1226.611111,0.001226611,0.660174827,D,D-control,3/22/22
1,M41,0.172,0.011333333,0.798,1293.888889,0.001293889,0.27410906,D,D-heat,3/22/22
1,M42,0.371,0.091666667,8.51,1438.166667,0.001438167,2.629891451,D,D-heat,3/22/22
1,M43,0.493333333,0.051,4.606,1204.444444,0.001204444,1.699630996,D,D-heat,3/22/22
1,M45,0.333,0.074333333,6.846,1156.222222,0.001156222,2.631558716,D,D-control,3/22/22
1,M46,0.185333333,0.017333333,1.374,996,0.000996,0.613119143,D,D-control,3/22/22
1,M47,0.159333333,0.015,1.15,1289.611111,0.001289611,0.396329643,D,D-heat,3/22/22
1,M48,0.171666667,0.030333333,2.622,1081.166667,0.001081167,1.077848004,D,D-control,3/22/22
1,M49,0.165666667,0.019333333,1.566,770.8333333,0.000770833,0.902918919,D,D-control,3/22/22
1,M89,0.168,0.012666667,0.926,1301.666667,0.001301667,0.316175843,D,D-control,3/22/22
1,M90,0.211,0.024333333,2.046,1662.166667,0.001662167,0.547077108,D,D-control,3/22/22
1,N41,0.248666667,0.007,0.382,803.8888889,0.000803889,0.211195577,D,D-heat,3/22/22
1,N42,0.192666667,0.037666667,3.326,1444.777778,0.001444778,1.023148504,D,D-heat,3/22/22
1,N43,0.127333333,0.019666667,1.598,324,0.000324,2.192043896,D,D-heat,3/22/22
1,N44,0.207,0.012333333,0.894,1179.555556,0.001179556,0.336850038,D,D-heat,3/22/22
1,N45,0.129,0.015333333,1.182,645.6111111,0.000645611,0.813699337,D,D-heat,3/22/22
1,N46,0.169,0.010666667,0.734,927.9444444,0.000927944,0.351553613,D,D-heat,3/22/22
1,N47,0.186666667,0.027333333,2.334,1046.555556,0.001046556,0.991188024,D,D-heat,3/22/22
1,N48,0.287333333,0.082,7.582,524.6666667,0.000524667,6.422702245,D,D-desiccation,3/22/22
1,N49,0.133333333,0.021333333,1.758,197.2222222,0.000197222,3.961690141,D,D-desiccation,3/22/22
1,N50,0.360666667,0.097666667,9.086,749.4444444,0.000749444,5.38828762,D,D-desiccation,3/22/22
1,N51,0.249666667,0.066,6.046,617.4166667,0.000617417,4.35218428,D,D-desiccation,3/22/22
1,N52,0.328,0.106666667,9.95,879.7222222,0.000879722,5.02683928,D,D-desiccation,3/22/22
1,N53,0.389666667,0.133,12.478,1245.666667,0.001245667,4.452056016,D,D-desiccation,3/22/22
1,N54,0.34,0.102,9.502,1263.166667,0.001263167,3.343273079,D,D-desiccation,3/22/22
1,N55,0.329,0.078666667,7.262,1207.555556,0.001207556,2.672800883,D,D-desiccation,3/22/22
1,N56,0.318,0.105,9.79,338,0.000338,12.8731098,D,D-desiccation,3/22/22
1,N57,0.269666667,0.065833333,6.03,767.3333333,0.000767333,3.492615117,D,D-desiccation,3/22/22
