GO.ID,Term,Annotated,Significant,Expected,classic
GO:0071470,cellular response to osmotic stress,56,8,1.49,0.00011
GO:0007342,fusion of sperm to egg plasma membrane i...,19,5,0.5,0.00011
GO:0036309,protein localization to M-band,19,5,0.5,0.00011
GO:0035272,exocrine system development,162,14,4.3,0.00011
GO:2000142,regulation of DNA-templated transcriptio...,30,6,0.8,0.00012
GO:0001539,cilium or flagellum-dependent cell motil...,163,14,4.32,0.00012
GO:1901576,organic substance biosynthetic process,7910,256,209.81,0.00012
GO:0060544,regulation of necroptotic process,89,10,2.36,0.00013
GO:0062098,regulation of programmed necrotic cell d...,89,10,2.36,0.00013
GO:0031338,regulation of vesicle fusion,107,11,2.84,0.00013
GO:0033209,tumor necrosis factor-mediated signaling...,107,11,2.84,0.00013
GO:0048147,negative regulation of fibroblast prolif...,73,9,1.94,0.00013
GO:0006954,inflammatory response,541,30,14.35,0.00014
GO:0006244,pyrimidine nucleotide catabolic process,11,4,0.29,0.00014
GO:0009223,pyrimidine deoxyribonucleotide catabolic...,11,4,0.29,0.00014
GO:0010917,negative regulation of mitochondrial mem...,11,4,0.29,0.00014
GO:0044211,CTP salvage,11,4,0.29,0.00014
GO:0044539,long-chain fatty acid import into cell,11,4,0.29,0.00014
GO:0045837,negative regulation of membrane potentia...,11,4,0.29,0.00014
GO:0140354,lipid import into cell,11,4,0.29,0.00014
GO:0045216,cell-cell junction organization,319,21,8.46,0.00014
GO:0009058,biosynthetic process,8044,259,213.37,0.00015
GO:0070372,regulation of ERK1 and ERK2 cascade,298,20,7.9,0.00015
GO:0010556,regulation of macromolecule biosynthetic...,4744,164,125.83,0.00016
GO:0003018,vascular process in circulatory system,92,10,2.44,0.00017
GO:0033280,response to vitamin D,32,6,0.85,0.00017
GO:1901522,positive regulation of transcription fro...,32,6,0.85,0.00017
GO:0030277,maintenance of gastrointestinal epitheli...,5,3,0.13,0.00018
GO:0035331,negative regulation of hippo signaling,5,3,0.13,0.00018
GO:0060305,regulation of cell diameter,5,3,0.13,0.00018
GO:0034162,toll-like receptor 9 signaling pathway,21,5,0.56,0.00019
GO:0014003,oligodendrocyte development,46,7,1.22,0.00020
GO:0048284,organelle fusion,327,21,8.67,0.00020
GO:0048871,multicellular organismal homeostasis,450,26,11.94,0.00020
GO:0034154,toll-like receptor 7 signaling pathway,12,4,0.32,0.00021
GO:0034635,glutathione transport,12,4,0.32,0.00021
GO:0042939,tripeptide transport,12,4,0.32,0.00021
GO:0019219,regulation of nucleobase-containing comp...,4770,164,126.52,0.00021
GO:0048793,pronephros development,47,7,1.25,0.00022
