,GOID,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,GOSlim
26,GO:0031589,0.019279813,0.99768392,3,17,cell-substrate adhesion,BP,biological regulation
12,GO:0048147,0.012480412,0.997494926,5,36,negative regulation of fibroblast proliferation,BP,biological regulation
7,GO:0051489,0.004961661,0.999208405,5,34,regulation of filopodium assembly,BP,biological regulation
31,GO:0030100,0.02242165,0.997126248,3,18,regulation of endocytosis,BP,biological regulation
35,GO:0007026,0.024443169,0.996761975,3,18,negative regulation of microtubule depolymerization,BP,biological regulation
41,GO:0050807,0.028670956,0.998024445,2,8,regulation of synapse organization,BP,biological regulation
15,GO:0032024,0.013795236,0.997784857,4,28,positive regulation of insulin secretion,BP,biological regulation
4,GO:0045599,0.003687155,0.999325033,6,39,negative regulation of fat cell differentiation,BP,biological regulation
19,GO:0014819,0.016192871,0.999248732,2,6,regulation of skeletal muscle contraction,BP,biological regulation
57,GO:0040034,0.045211199,0.995811579,2,10,"regulation of development, heterochronic",BP,biological regulation
29,GO:0048009,0.020620086,0.998852826,2,7,insulin-like growth factor receptor signaling pathway,BP,biological regulation
46,GO:0070371,0.034153894,0.994849845,3,18,ERK1 and ERK2 cascade,BP,biological regulation
50,GO:0032874,0.041200785,0.996446715,2,9,positive regulation of stress-activated MAPK cascade,BP,biological regulation
62,GO:0019722,0.046980173,0.991758959,3,23,calcium-mediated signaling,BP,biological regulation
65,GO:0031929,0.048402666,0.995343655,2,10,TOR signaling,BP,biological regulation
27,GO:0051292,0.019449587,0.998951222,2,7,nuclear pore complex assembly,BP,cellular process
42,GO:0016199,0.029624376,0.995722414,3,20,axon midline choice point recognition,BP,cellular process
45,GO:0007044,0.031093184,0.997761246,2,8,cell-substrate junction assembly,BP,cellular process
49,GO:0007409,0.03832256,0.986505911,7,91,axonogenesis,BP,cellular process
54,GO:0046847,0.043175423,0.996100421,2,10,filopodium assembly,BP,cellular process
23,GO:0046549,0.017641076,0.999143342,2,6,retinal cone cell development,BP,cellular process
33,GO:0021895,0.023811767,0.99856892,2,7,cerebral cortex neuron differentiation,BP,cellular process
34,GO:0060216,0.023977294,0.996847028,3,18,definitive hemopoiesis,BP,cellular process
47,GO:0002244,0.035577053,0.99042326,5,52,hematopoietic progenitor cell differentiation,BP,cellular process
56,GO:0048709,0.044171197,0.99241153,3,24,oligodendrocyte differentiation,BP,cellular process
58,GO:0046548,0.04555163,0.995762539,2,10,retinal rod cell development,BP,cellular process
