gene,log2FoldChange,description
LOC117687720,5.77192192497187,uncharacterized protein LOC117687720
LOC117688097,4.14801676777616,uncharacterized protein LOC117688097
LOC109620475,3.97902287831457,uncharacterized protein LOC109620475
LOC105323935,3.76513430991862,uncharacterized protein LOC105323935
LOC105330461,3.72349833702371,uncharacterized protein LOC105330461
LOC105339666,3.44975184983501,uncharacterized protein LOC105339666
LOC117685768,3.41437256484218,uncharacterized protein LOC117685768 isoform X2
LOC117680547,3.30827031476018,uncharacterized protein LOC117680547
LOC105328530,2.86524729531734,uncharacterized protein LOC105328530
LOC117682674,2.82645796131532,uncharacterized protein LOC117682674
LOC105346504,2.61527979526814,uncharacterized protein LOC105346504 isoform X1
LOC105325293,2.5232771069346,uncharacterized protein LOC105325293
LOC105342641,2.51293329516044,uncharacterized protein LOC105342641
LOC105341294,2.48441166895904,uncharacterized protein LOC105341294
LOC117682712,2.43306051533182,uncharacterized protein LOC117682712
LOC105344148,2.41966611636119,uncharacterized protein LOC105344148
LOC105325816,2.3947334371401,uncharacterized protein LOC105325816
LOC117691520,2.39081427575797,uncharacterized protein LOC117691520 isoform X2
LOC105329975,2.29417541200861,uncharacterized protein LOC105329975
LOC117688693,2.26723414482264,uncharacterized protein LOC117688693 isoform X1
LOC105345176,2.22521132557015,uncharacterized protein LOC105345176 isoform X2
LOC105341771,2.17857462929937,uncharacterized protein LOC105341771
LOC105320128,2.14885910625883,uncharacterized protein LOC105320128
LOC117681411,2.13948009765327,uncharacterized protein LOC117681411
LOC105337833,2.12601195031642,uncharacterized protein LOC105337833
LOC105329989,2.07526709088603,uncharacterized protein LOC105329989
LOC105348672,2.03814721350961,uncharacterized protein LOC105348672
LOC117683725,2.02339285446718,uncharacterized protein LOC117683725
LOC105323930,2.02078264804684,uncharacterized protein LOC105323930
LOC105326182,1.96520781088878,uncharacterized protein LOC105326182
LOC117692578,1.95608917118646,uncharacterized protein LOC117692578 isoform X2
LOC109621176,1.94001010313543,uncharacterized protein LOC109621176 isoform X1
LOC117685599,1.91294737836038,uncharacterized protein LOC117685599
LOC105331908,1.90443083790919,uncharacterized protein LOC105331908
LOC105325985,1.89923778352132,uncharacterized protein LOC105325985
LOC117691214,1.87006070388662,uncharacterized protein LOC117691214
LOC105329485,1.8188338868797,uncharacterized protein LOC105329485
LOC117681647,1.76427484476484,uncharacterized protein LOC117681647
LOC109617120,1.76203016474285,uncharacterized protein LOC109617120
LOC105325387,1.75894263110852,uncharacterized protein LOC105325387
LOC105342487,1.75559960506378,uncharacterized protein LOC105342487 isoform X2
LOC105339865,1.74913386441641,uncharacterized protein LOC105339865 isoform X13
LOC117682037,1.68886579110694,uncharacterized protein LOC117682037
LOC105336962,1.66568927309828,uncharacterized protein LOC105336962
LOC117692007,1.61407559804477,uncharacterized protein LOC117692007
LOC105323943,1.5697104938047,uncharacterized protein LOC105323943
LOC105322703,1.55087721906807,uncharacterized protein LOC105322703
LOC117691884,1.52871899114224,uncharacterized protein LOC117691884 isoform X1
LOC105330030,-1.51142299301861,uncharacterized protein LOC105330030
LOC105326163,-1.51591098109305,uncharacterized protein LOC105326163
LOC117691496,-1.55788491496128,uncharacterized protein LOC117691496
LOC105336039,-1.62020254686435,uncharacterized protein LOC105336039 isoform X2
LOC105344497,-1.63213185394524,uncharacterized protein LOC105344497 isoform X1
LOC117680401,-1.64141033114847,uncharacterized protein LOC117680401
LOC105346817,-1.65032896191758,uncharacterized protein LOC105346817
LOC105339384,-1.72391493700712,uncharacterized protein LOC105339384
LOC109617432,-1.76774375414101,uncharacterized protein LOC109617432
LOC105317878,-1.79936433953019,uncharacterized protein LOC105317878
LOC117681961,-1.82893767353287,uncharacterized protein LOC117681961 isoform X6
LOC105330979,-1.83061519970809,uncharacterized protein LOC105330979
LOC117691603,-1.84620997542476,uncharacterized protein LOC117691603
LOC105322194,-1.85353320694411,uncharacterized protein LOC105322194 isoform X1
LOC117687359,-1.90048671562182,uncharacterized protein LOC117687359
LOC105333455,-1.98107327952983,uncharacterized protein LOC105333455
LOC105340731,-2.02205615802055,uncharacterized protein LOC105340731 isoform X2
LOC105321369,-2.04075318486043,uncharacterized protein LOC105321369
LOC117684415,-2.13468856662728,uncharacterized protein LOC117684415
LOC105322911,-2.23404866866642,uncharacterized protein LOC105322911
LOC109620344,-2.24197165540396,uncharacterized protein LOC109620344
LOC105321170,-2.31627688594794,uncharacterized protein LOC105321170 isoform X3
LOC105334658,-2.40105334978426,uncharacterized protein LOC105334658
LOC117681275,-2.45711695725255,uncharacterized protein LOC117681275
LOC105319583,-2.4652436457339,uncharacterized protein LOC105319583
LOC105335220,-2.54283097358722,uncharacterized protein LOC105335220
LOC117690334,-2.63165729219585,uncharacterized protein LOC117690334
LOC117691724,-2.69994627090507,uncharacterized protein LOC117691724 isoform X2
LOC117685930,-2.76835634149905,uncharacterized protein LOC117685930
LOC105342818,-3.83848189944242,uncharacterized protein LOC105342818
