gene	padj	log2FoldChange	description
LOC105348135	8.85585728997927e-08	4.62884508898892	uncharacterized protein LOC105348135
LOC105321886	2.97154751555042e-18	4.51596975464593	uncharacterized protein LOC105321886
LOC105321887	2.10013626219578e-06	3.80097651971151	uncharacterized protein LOC105321887
LOC105339629	1.4151248577975e-05	3.73849345633051	uncharacterized protein LOC105339629
LOC117681182	4.02461046171293e-08	3.28600225558754	uncharacterized protein LOC117681182
LOC105345266	0.00257977202119193	2.6364173359373	uncharacterized protein LOC105345266 isoform X2
LOC117681741	0.00029289848693533	2.40158000364735	uncharacterized protein LOC117681741
LOC105330352	4.40062561602027e-06	2.3545380116462	uncharacterized protein LOC105330352
LOC105344998	3.12439193345146e-05	2.33234755103634	uncharacterized protein LOC105344998 isoform X2
LOC117693180	0.00151452834570482	2.2964613265423	uncharacterized protein LOC117693180
LOC105330030	0.000808073311333737	2.23321843681531	uncharacterized protein LOC105330030
LOC117680366	0.000902219281869314	2.16879114942571	uncharacterized protein LOC117680366
LOC105342916	0.000548471993983509	2.08851915248603	uncharacterized protein LOC105342916
LOC117687358	0.00868417888769102	2.06961579248469	uncharacterized protein LOC117687358
LOC117692755	0.00454078762734493	1.89180555381253	uncharacterized protein LOC117692755
LOC105331471	6.16643595532865e-07	1.86967237413458	uncharacterized protein LOC105331471
LOC117684713	0.0179799196624325	1.77693242363907	uncharacterized protein LOC117684713
LOC117680427	0.0301323855788088	1.59277899147576	uncharacterized protein LOC117680427
LOC105339624	0.00387503689020409	1.5824308568213	uncharacterized protein LOC105339624
LOC117686567	0.0353013052968932	-1.61326655105609	uncharacterized protein LOC117686567
LOC105322925	4.35662199283781e-07	-1.65510307716094	uncharacterized protein LOC105322925
LOC105328884	1.04948011740699e-06	-1.74402261485283	uncharacterized protein LOC105328884
LOC105331917	0.0115487060387133	-1.99635308604136	uncharacterized protein LOC105331917
LOC117688208	0.0104051565377546	-2.0387276325466	uncharacterized protein LOC117688208
LOC117682037	1.4151248577975e-05	-2.09364767458779	uncharacterized protein LOC117682037
LOC109618415	0.00392550912922696	-2.12239723678108	uncharacterized protein LOC109618415
LOC117685120	0.0129338746961685	-2.12481758161897	uncharacterized protein LOC117685120
