gene	padj	log2FoldChange	description
LOC105348135	0.0000000731850001116123	4.13695659900297	uncharacterized protein LOC105348135
LOC117687101	0.0000000470318447312315	3.33065384825828	uncharacterized protein LOC117687101
LOC105344998	0.000000000280839811544684	3.31178085972395	uncharacterized protein LOC105344998 isoform X2
LOC117692755	0.00000641976190480398	2.39555906541646	uncharacterized protein LOC117692755
LOC105321541	0.0000980551034045792	1.98084578610886	uncharacterized protein LOC105321541
LOC117681741	0.0151933728728679	1.97684674157802	uncharacterized protein LOC117681741
LOC105327678	0.0000000772195176760783	1.86397920829903	uncharacterized protein LOC105327678
LOC105323139	0.00000000293592332705965	1.81612878417239	uncharacterized protein LOC105323139
LOC105336293	0.0000642788755069949	1.78807709751439	uncharacterized protein LOC105336293
LOC105328056	0.00118519669295664	1.76994942261406	uncharacterized protein LOC105328056 isoform X2
LOC105342525	0.000000974462296587599	1.69272366938304	uncharacterized protein LOC105342525
LOC109620948	0.0132790936650747	1.63926296410546	uncharacterized protein LOC109620948
LOC105328057	0.0235907959456548	1.59924349667937	uncharacterized protein LOC105328057
LOC105341658	0.0154376444891257	1.55089725643703	uncharacterized protein LOC105341658
LOC117680568	0.00693966160774275	1.53013599677798	uncharacterized protein LOC117680568
LOC105326643	0.00000597095250343435	1.52970652663077	uncharacterized protein LOC105326643
LOC105326230	0.00224191927944034	-1.51279918756577	uncharacterized protein LOC105326230
LOC105343111	0.00947000351919698	-1.55335281983287	uncharacterized protein LOC105343111
LOC117692009	0.00481605058305746	-1.68792237426319	uncharacterized protein LOC117692009
LOC105345744	0.0249559797592611	-1.71736991874042	uncharacterized protein LOC105345744 isoform X1
LOC105341927	0.000000104223354119183	-1.72894869522192	uncharacterized protein LOC105341927 isoform X1
LOC105347092	0.0155505737820649	-1.73716121845454	uncharacterized protein LOC105347092 isoform X2
LOC117690881	0.00804531509983492	-1.93565127462255	uncharacterized protein LOC117690881
LOC117690334	0.00555392503758158	-1.97504840695478	uncharacterized protein LOC117690334
LOC105339576	0.00155619429847692	-2.22003383784197	uncharacterized protein LOC105339576 isoform X2
LOC105330378	0.00000993799963470331	-2.28590806832927	uncharacterized protein LOC105330378 isoform X1
LOC105346426	0.0150082882228793	-2.35547695234052	uncharacterized protein LOC105346426 isoform X2
LOC105333611	0.0000242426253473813	-2.37028649112321	uncharacterized protein LOC105333611
LOC117681275	0.000472866645353497	-2.40087934796474	uncharacterized protein LOC117681275
LOC117692007	0.000274480821840485	-2.56358846762282	uncharacterized protein LOC117692007
LOC117686729	0.0000158802837268882	-2.69063503095078	uncharacterized protein LOC117686729
LOC105338481	0.000128382720601165	-2.7381250825328	uncharacterized protein LOC105338481
LOC105334533	0.0000000525480770627948	-3.80682342711866	uncharacterized protein LOC105334533 isoform X2
