gene,log2FoldChange,description
LOC105344998,3.09298704333605,uncharacterized protein LOC105344998 isoform X2
LOC105338592,2.8672143766622,uncharacterized protein LOC105338592
LOC117681741,2.7131122146926,uncharacterized protein LOC117681741
LOC117692755,2.44941672042325,uncharacterized protein LOC117692755
LOC105330352,2.38846097554509,uncharacterized protein LOC105330352
LOC105330030,2.3480023503506,uncharacterized protein LOC105330030
LOC105347073,2.23403431609713,uncharacterized protein LOC105347073
LOC117681902,2.10363417748385,uncharacterized protein LOC117681902
LOC105327716,2.09849205749606,uncharacterized protein LOC105327716
LOC117688622,2.06695317274591,uncharacterized protein LOC117688622
LOC105322807,2.00722741383067,uncharacterized protein LOC105322807
LOC105323139,1.91462326331739,uncharacterized protein LOC105323139
LOC105332206,1.90064283963345,uncharacterized protein LOC105332206
LOC105321541,1.85225835734477,uncharacterized protein LOC105321541
LOC105334643,1.82937672194753,uncharacterized protein LOC105334643
LOC105347143,1.82571882967751,uncharacterized protein LOC105347143
LOC105327678,1.81905561428521,uncharacterized protein LOC105327678
LOC105318474,1.7811993592626,uncharacterized protein LOC105318474
LOC105336293,1.71343184206769,uncharacterized protein LOC105336293
LOC105328056,1.70837502962498,uncharacterized protein LOC105328056 isoform X2
LOC105326643,1.66255257327975,uncharacterized protein LOC105326643
LOC105342525,1.6578618687678,uncharacterized protein LOC105342525
LOC109619835,1.6238573519136,uncharacterized protein LOC109619835
LOC105328057,1.60650853305288,uncharacterized protein LOC105328057
LOC117692303,-1.55091615568934,uncharacterized protein LOC117692303 isoform X1
LOC105346834,-1.57784633600727,uncharacterized protein LOC105346834
LOC117686527,-1.61592880444405,uncharacterized protein LOC117686527
LOC105338481,-1.64627424177482,uncharacterized protein LOC105338481
LOC105330378,-1.75875224596372,uncharacterized protein LOC105330378 isoform X1
LOC105329232,-1.76210650847464,uncharacterized protein LOC105329232
LOC109617341,-1.77444739975434,uncharacterized protein LOC109617341
LOC105339099,-1.82717998554967,uncharacterized protein LOC105339099 isoform X2
LOC105343435,-1.83402172950973,uncharacterized protein LOC105343435
LOC105348531,-1.84672979079853,uncharacterized protein LOC105348531
LOC105339576,-1.94354610547565,uncharacterized protein LOC105339576 isoform X2
LOC109620821,-2.08684996753488,uncharacterized protein LOC109620821
LOC105334533,-2.29138863522925,uncharacterized protein LOC105334533 isoform X2
LOC105341677,-2.52689341316212,uncharacterized protein LOC105341677
LOC117690337,-3.02263042659476,uncharacterized protein LOC117690337 isoform X1
LOC105333611,-3.1969287483684,uncharacterized protein LOC105333611
