gene,log2FoldChange,description
LOC105326991,7.05742474637339,dentin sialophosphoprotein
LOC105323395,5.47575508810791,dentin sialophosphoprotein-like
LOC105346538,4.33758431526429,clumping factor A
LOC105340504,3.78111628395425,sperm-specific protein PHI-2B/PHI-3-like
LOC105324323,3.37242642911758,GTP-binding protein SAR1 isoform X1
LOC105343216,3.27222356629066,heat shock protein 27
LOC105346536,3.25155277314275,fibroin heavy chain isoform X1
LOC117680491,3.06675360135463,mucin-2-like
LOC105329166,2.95669093302078,arginine kinase
LOC105339793,2.94653125419566,protein PFC0760c
LOC117691793,2.88839625390132,arginine kinase-like
LOC105335878,2.88304568812943,nacrein-like protein precursor
LOC105328062,2.81399810571433,baculoviral IAP repeat-containing protein 2
LOC105337716,2.80032162143301,transcription factor jun-B isoform X1
LOC105333558,2.78503494495067,asparagine-rich protein isoform X3
LOC117689114,2.66597748602049,LOW QUALITY PROTEIN: uncharacterized protein LOC117689114
LOC105338672,2.64466638391677,electroneutral sodium bicarbonate exchanger 1 isoform X2
LOC105319208,2.63813190165354,spliceosome RNA helicase DDX39B
LOC105318645,2.56516144414611,myb-like protein X isoform X1
LOC105318831,2.54979009815372,epithelial membrane protein 3
LOC105348733,2.53500149080072,G2/mitotic-specific cyclin-A
LOC105343643,2.51832012133351,complement C1q tumor necrosis factor-related protein 7
LOC105343637,2.51397804177015,complement C1q tumor necrosis factor-related protein 2
LOC105343641,2.38165688090629,adiponectin
LOC105337016,2.3721146826371,cyclic AMP-dependent transcription factor ATF-3
LOC117684408,2.35008591047849,F-box only protein 4-like
LOC105329537,2.34970976534578,putative mediator of RNA polymerase II transcription subunit 26 isoform X1
LOC105327000,2.25272476286189,glutathione-specific gamma-glutamylcyclotransferase 1-like
LOC117681464,2.17346161784018,electroneutral sodium bicarbonate exchanger 1-like isoform X1
LOC105342186,2.17193095695784,apolipophorins-like
LOC105335268,2.09863481510118,EGF-like domain-containing protein 2 isoform X1
LOC105340069,2.01322425108987,circumsporozoite protein
LOC105345989,1.9776569901942,heat shock protein 83-like
LOC117680291,1.97306547019145,heat shock protein 83-like
LOC117682356,1.9156864569723,ryncolin-4-like
LOC105321218,1.91393783321517,F-box/LRR-repeat protein 6-like
LOC105327001,1.91302535980987,glutathione-specific gamma-glutamylcyclotransferase 2
LOC105333462,1.91237151678109,nacrein-like protein
