"count" "ploidy" "gene" "sample"
27.476102716934 "diploid" "LOC105326991" "N48"
18.7332917909763 "diploid" "LOC105326991" "N49"
64.0036991029187 "diploid" "LOC105326991" "N50"
16.6359577798143 "diploid" "LOC105326991" "N51"
4.66340191885944 "diploid" "LOC105326991" "N52"
6.30734601370905 "diploid" "LOC105326991" "N53"
8744.19776129381 "diploid" "LOC105326991" "N54"
50.6502681002503 "diploid" "LOC105326991" "N55"
8.69585921008004 "diploid" "LOC105326991" "N58"
14.0725213684001 "diploid" "LOC105326991" "N59"
5.71153931116533 "triploid" "LOC105326991" "R51"
0.5 "triploid" "LOC105326991" "R52"
12.7915916866692 "triploid" "LOC105326991" "R54"
24.3382286035028 "triploid" "LOC105326991" "R55"
11.6901613482434 "triploid" "LOC105326991" "R56"
4.66256268367105 "triploid" "LOC105326991" "R57"
11.2750917449256 "triploid" "LOC105326991" "R58"
3.13424364858365 "triploid" "LOC105326991" "R59"
0.5 "triploid" "LOC105326991" "R60"
9.6141022760833 "triploid" "LOC105326991" "R61"
6.12002139936125 "diploid" "LOC105334167" "N48"
6.57776393032544 "diploid" "LOC105334167" "N49"
5.31088629567566 "diploid" "LOC105334167" "N50"
3.72719155596285 "diploid" "LOC105334167" "N51"
10.9085047971486 "diploid" "LOC105334167" "N52"
15.9862560365575 "diploid" "LOC105334167" "N53"
629.926526190046 "diploid" "LOC105334167" "N54"
13.0375670250626 "diploid" "LOC105334167" "N55"
5.62241200630003 "diploid" "LOC105334167" "N58"
10.1946581202858 "diploid" "LOC105334167" "N59"
21.3461572446613 "triploid" "LOC105334167" "R51"
13.4196580553542 "triploid" "LOC105334167" "R52"
6.64579584333462 "triploid" "LOC105334167" "R54"
7.17470400898078 "triploid" "LOC105334167" "R55"
2.5345747905897 "triploid" "LOC105334167" "R56"
10.4901504408105 "triploid" "LOC105334167" "R57"
10.3771674328485 "triploid" "LOC105334167" "R58"
3.13424364858365 "triploid" "LOC105334167" "R59"
3.73266093206451 "triploid" "LOC105334167" "R60"
2.77852556902082 "triploid" "LOC105334167" "R61"
84.8003209904188 "diploid" "LOC117681464" "N48"
29.875858996573 "diploid" "LOC117681464" "N49"
28.4031405149188 "diploid" "LOC117681464" "N50"
20.9388798544314 "diploid" "LOC117681464" "N51"
60.8693278234618 "diploid" "LOC117681464" "N52"
33.4082940776846 "diploid" "LOC117681464" "N53"
1871.94499094544 "diploid" "LOC117681464" "N54"
71.5462131420212 "diploid" "LOC117681464" "N55"
