"gene" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "description" "feature" "treatment"
"LOC105338307" 3.77151972758223 3.19271650338725 0.261844691010972 2.00625198274415 0.0448293702551913 0.1504874377336 "ADP-ribosylation factor" "genome" "diploid_heat"
"LOC105339624" 314.828918919061 3.06070711847443 0.23876916931346 12.8336731401884 1.06206965158496e-37 1.52391063957668e-33 "uncharacterized protein LOC105339624" "genome" "diploid_heat"
"LOC105324323" 8.53603608412902 3.05200052545743 0.185831306746765 -0.33928164306178 0.734397570116565 0.849730145538065 "GTP-binding protein SAR1 isoform X1" "genome" "diploid_heat"
"LOC117684733" 3.28549103636402 2.75582304146801 0.251878941597796 -0.468918858441255 0.63912763598569 0.78771026326582 "GTP-binding protein SAR1-like isoform X1" "genome" "diploid_heat"
"LOC117684686" 3.70274370216106 2.47538557812589 0.277805963187571 3.30762449735516 0.000940908791207538 0.0125997478214105 "ADP-ribosylation factor 1-like" "genome" "diploid_heat"
"LOC117692755" 201.732223865132 2.47190236695323 0.251005583921997 9.8653402360851 5.88346436059522e-23 9.93163392682359e-20 "uncharacterized protein LOC117692755" "genome" "diploid_heat"
"LOC105322807" 49.5354830173038 2.41983871980147 0.242986092780211 9.87778686956525 5.19679358063109e-23 9.32077408646066e-20 "uncharacterized protein LOC105322807" "genome" "diploid_heat"
"LOC105349185" 4.24110344027311 2.35651314432399 0.2763355462822 2.09594177310548 0.0360873564815102 0.131923422796165 "ADP-ribosylation factor" "genome" "diploid_heat"
"LOC105319208" 422.803446212177 2.21887967400422 0.226205263056147 9.80915063199038 1.02830432727706e-22 1.63940273777054e-19 "spliceosome RNA helicase DDX39B" "genome" "diploid_heat"
"LOC105327678" 320.416326738801 2.21751144014335 0.174321795318412 12.7034623003467 5.6570460265117e-37 5.41134166076021e-33 "uncharacterized protein LOC105327678" "genome" "diploid_heat"
"LOC105321541" 698.631917200799 2.19611445102693 0.231866224281689 9.47826578316774 2.58544045006717e-21 3.22584280850337e-18 "uncharacterized protein LOC105321541" "genome" "diploid_heat"
"LOC117689114" 701.25274921155 2.19407192794472 0.231535211964393 9.48264409929389 2.47919862672977e-21 3.22584280850337e-18 "LOW QUALITY PROTEIN: uncharacterized protein LOC117689114" "genome" "diploid_heat"
"LOC117684555" 4.62032821670709 2.1704142397129 0.27717720481399 2.03867299226831 0.0414826749564373 0.143425099183721 "ADP-ribosylation factor-like" "genome" "diploid_heat"
"LOC117691793" 38.5478241176872 2.16326924248204 0.253909451866446 -0.503504855084279 0.614609367721141 0.76953297632766 "arginine kinase-like" "genome" "diploid_heat"
"LOC105337716" 67.8652539606215 2.12256627153286 0.238070221381885 8.89740036239242 5.71699719157722e-19 5.85930958595327e-16 "transcription factor jun-B isoform X1" "genome" "diploid_heat"
"LOC105337016" 227.356545139095 2.0930385782572 0.200486974782282 10.4214404946303 1.97932337716425e-25 5.16369481404386e-22 "cyclic AMP-dependent transcription factor ATF-3" "genome" "diploid_heat"
"LOC117687807" 176.229491593728 2.08157852987551 0.137219848041854 -0.662174916886223 0.507859127481109 0.68862376589139 "uncharacterized protein LOC117687807" "genome" "diploid_heat"
"LOC117684408" 20.3680716345091 2.0706793403928 0.206841678517934 3.57292848867175 0.000353011187767226 0.00643825616647534 "F-box only protein 4-like" "genome" "diploid_heat"
"LOC105333327" 20.350688712207 2.03791059126024 0.253254338231061 7.92486746495703 2.28389794073283e-15 1.56050045726691e-12 "uncharacterized protein LOC105333327" "genome" "diploid_heat"
"LOC105342525" 252.42244604439 2.01925846944203 0.205873767404702 9.79163774839652 1.22298656679403e-22 1.84716028985728e-19 "uncharacterized protein LOC105342525" "genome" "diploid_heat"
"LOC105329166" 17.9250262427425 1.99374632448189 0.268091085731 -0.395505222262834 0.692470068325826 0.823334178798478 "arginine kinase" "genome" "diploid_heat"
"LOC105330352" 499.142841308454 1.97456298327424 0.254545945957093 7.79637143208691 6.37126717062155e-15 4.06302786656281e-12 "uncharacterized protein LOC105330352" "genome" "diploid_heat"
"LOC105323139" 2987.42363407918 1.90953757484603 0.198893633933081 9.59902181568701 8.07066991410315e-22 1.10287625964294e-18 "uncharacterized protein LOC105323139" "genome" "diploid_heat"
"LOC105339793" 30.7777701010626 1.87516976059043 0.272910182510373 -0.199490481713408 0.841879088215709 0.915961639161594 "protein PFC0760c" "genome" "diploid_heat"
"LOC105338306" 1.10301437226764 1.87286601339099 0.27523856173068 1.49940401983723 0.133768851390121 NA "ADP-ribosylation factor" "genome" "diploid_heat"
"LOC105329133" 35.3239525527523 1.8687705616311 0.228339722856432 -0.226145917289288 0.821087932668407 0.90272021186572 "uncharacterized protein LOC105329133" "genome" "diploid_heat"
"LOC105347604" 56.459692115578 1.85078987424065 0.228447150621224 8.06215510173147 7.49610054719468e-16 5.37788993507114e-13 "uncharacterized protein LOC105347604" "genome" "diploid_heat"
"LOC105328062" 37.2578480411458 1.84589247121637 0.271536724629279 6.84092695348837 7.86823722366611e-12 2.97098425799403e-09 "baculoviral IAP repeat-containing protein 2" "genome" "diploid_heat"
"LOC105327994" 219.29678381633 1.83445594330325 0.175322795242685 10.4504335932507 1.45856857866004e-25 4.18565425018073e-22 "uncharacterized protein LOC105327994" "genome" "diploid_heat"
"LOCNA.13" 1850.90505928182 1.80472282916033 0.15424605536124 11.6977257742522 1.30915108851425e-31 7.51374175741871e-28 NA NA "diploid_heat"
"LOC117680291" 3565.53918325397 1.77918874618273 0.183116621123829 9.71418708346896 2.6233389833804e-22 3.76409794030337e-19 "heat shock protein 83-like" "genome" "diploid_heat"
"LOC105321218" 64.6008964315537 1.77312354025616 0.201687194784055 8.75755839232253 1.99525119077719e-18 1.84702333618493e-15 "F-box/LRR-repeat protein 6-like" "genome" "diploid_heat"
"LOC105345989" 3136.04519433155 1.76746991404547 0.187551274389878 9.42198191408212 4.42652495077864e-21 5.29283277135394e-18 "heat shock protein 83-like" "genome" "diploid_heat"
