"count" "ploidy" "gene" "sample"
773.479012459861 "diploid" "LOC105326418" "D55"
0.5 "diploid" "LOC105326418" "D56"
0.5 "diploid" "LOC105326418" "D57"
0.5 "diploid" "LOC105326418" "D58"
0.5 "diploid" "LOC105326418" "D59"
0.5 "diploid" "LOC105326418" "M45"
0.5 "diploid" "LOC105326418" "M46"
0.5 "diploid" "LOC105326418" "M48"
0.5 "diploid" "LOC105326418" "M49"
0.5 "diploid" "LOC105326418" "M89"
618.047309421375 "diploid" "LOC105326418" "M90"
0.5 "diploid" "LOC105326418" "M41"
0.5 "diploid" "LOC105326418" "M42"
0.5 "diploid" "LOC105326418" "M44"
0.5 "diploid" "LOC105326418" "M47"
0.5 "diploid" "LOC105326418" "N41"
223.884375355 "diploid" "LOC105326418" "N42"
0.5 "diploid" "LOC105326418" "N43"
556.776472934044 "diploid" "LOC105326418" "N44"
0.5 "diploid" "LOC105326418" "N45"
0.5 "diploid" "LOC105326418" "N46"
0.5 "diploid" "LOC105326418" "N47"
14.5883173595357 "diploid" "LOC105339624" "D55"
13.2868808420614 "diploid" "LOC105339624" "D56"
14.6031343738302 "diploid" "LOC105339624" "D57"
4.53403784451438 "diploid" "LOC105339624" "D58"
7.43641854214131 "diploid" "LOC105339624" "D59"
9.71125578969403 "diploid" "LOC105339624" "M45"
9.69392028908143 "diploid" "LOC105339624" "M46"
22.0569213117118 "diploid" "LOC105339624" "M48"
18.8409096468204 "diploid" "LOC105339624" "M49"
4.2417821251357 "diploid" "LOC105339624" "M89"
30.1897744914123 "diploid" "LOC105339624" "M90"
336.974564838539 "diploid" "LOC105339624" "M41"
68.943275193611 "diploid" "LOC105339624" "M42"
183.203571355232 "diploid" "LOC105339624" "M44"
51.7012872371116 "diploid" "LOC105339624" "M47"
464.102590087738 "diploid" "LOC105339624" "N41"
137.071490145948 "diploid" "LOC105339624" "N42"
444.195416239865 "diploid" "LOC105339624" "N43"
229.924760023645 "diploid" "LOC105339624" "N44"
68.110636676504 "diploid" "LOC105339624" "N45"
181.5 "diploid" "LOC105339624" "N46"
129.681072797565 "diploid" "LOC105339624" "N47"
32.433519348281 "diploid" "LOC105321541" "D55"
37.9472938946085 "diploid" "LOC105321541" "D56"
30.8759817282498 "diploid" "LOC105321541" "D57"
27.9314573426978 "diploid" "LOC105321541" "D58"
99.5916934591615 "diploid" "LOC105321541" "D59"
39.3919688898192 "diploid" "LOC105321541" "M45"
61.7928019272096 "diploid" "LOC105321541" "M46"
153.667598793742 "diploid" "LOC105321541" "M48"
134.722111506277 "diploid" "LOC105321541" "M49"
45.4013855016284 "diploid" "LOC105321541" "M89"
45.6284572269467 "diploid" "LOC105321541" "M90"
1077.21860748333 "diploid" "LOC105321541" "M41"
770.486845928123 "diploid" "LOC105321541" "M42"
616.984443223176 "diploid" "LOC105321541" "M44"
302.318114239815 "diploid" "LOC105321541" "M47"
283.9979867443 "diploid" "LOC105321541" "N41"
274.701674013957 "diploid" "LOC105321541" "N42"
1414.77913926457 "diploid" "LOC105321541" "N43"
399.636226342506 "diploid" "LOC105321541" "N44"
571.213315475195 "diploid" "LOC105321541" "N45"
356.5 "diploid" "LOC105321541" "N46"
560.962764657153 "diploid" "LOC105321541" "N47"
101.935884988657 "diploid" "LOC105330352" "D55"
65.347752841883 "diploid" "LOC105330352" "D56"
55.8276810050264 "diploid" "LOC105330352" "D57"
69.8854509256473 "diploid" "LOC105330352" "D58"
90.673441047837 "diploid" "LOC105330352" "D59"
125.36368959363 "diploid" "LOC105330352" "M45"
114.913230264125 "diploid" "LOC105330352" "M46"
65.1707639351355 "diploid" "LOC105330352" "M48"
35.5144638712026 "diploid" "LOC105330352" "M49"
53.8203952831837 "diploid" "LOC105330352" "M89"
65.817503881107 "diploid" "LOC105330352" "M90"
818.46492804411 "diploid" "LOC105330352" "M41"
681.724473411409 "diploid" "LOC105330352" "M42"
1957.55788703212 "diploid" "LOC105330352" "M44"
232.253194862715 "diploid" "LOC105330352" "M47"
202.839739558677 "diploid" "LOC105330352" "N41"
124.367165481208 "diploid" "LOC105330352" "N42"
538.122873306772 "diploid" "LOC105330352" "N43"
962.198309140212 "diploid" "LOC105330352" "N44"
215.263198854777 "diploid" "LOC105330352" "N45"
858.5 "diploid" "LOC105330352" "N46"
598.598195314711 "diploid" "LOC105330352" "N47"
18.3452019887453 "diploid" "LOC117692755" "D55"
5.9800917894549 "diploid" "LOC117692755" "D56"
2.66971298058927 "diploid" "LOC117692755" "D57"
65.8514130811329 "diploid" "LOC117692755" "D58"
13.381920149691 "diploid" "LOC117692755" "D59"
0.5 "diploid" "LOC117692755" "M45"
4.5861867951473 "diploid" "LOC117692755" "M46"
28.8643701469892 "diploid" "LOC117692755" "M48"
7.16942168975287 "diploid" "LOC117692755" "M49"
25.757029344666 "diploid" "LOC117692755" "M89"
2.87518195931298 "diploid" "LOC117692755" "M90"
187.219688093499 "diploid" "LOC117692755" "M41"
233.634906128237 "diploid" "LOC117692755" "M42"
160.785955238026 "diploid" "LOC117692755" "M44"
31.9393868999808 "diploid" "LOC117692755" "M47"
206.175009990963 "diploid" "LOC117692755" "N41"
142.364958756256 "diploid" "LOC117692755" "N42"
218.769519279289 "diploid" "LOC117692755" "N43"
217.353540296322 "diploid" "LOC117692755" "N44"
138.704095559324 "diploid" "LOC117692755" "N45"
129.5 "diploid" "LOC117692755" "N46"
152.058896431789 "diploid" "LOC117692755" "N47"
17.4059808314429 "diploid" "LOC117680708" "D55"
9.63348631575817 "diploid" "LOC117680708" "D56"
25.4516992767766 "diploid" "LOC117680708" "D57"
16.6361513780575 "diploid" "LOC117680708" "D58"
9.41825241132454 "diploid" "LOC117680708" "D59"
31.2041859656468 "diploid" "LOC117680708" "M45"
23.995574072097 "diploid" "LOC117680708" "M46"
14.1148976705548 "diploid" "LOC117680708" "M48"
18.0072319356013 "diploid" "LOC117680708" "M49"
11.7253463754071 "diploid" "LOC117680708" "M89"
44.4408662472902 "diploid" "LOC117680708" "M90"
125.6116691794 "diploid" "LOC117680708" "M41"
135.247698037422 "diploid" "LOC117680708" "M42"
111.467199780172 "diploid" "LOC117680708" "M44"
169.374421062754 "diploid" "LOC117680708" "M47"
147.251899020579 "diploid" "LOC117680708" "N41"
113.780228260592 "diploid" "LOC117680708" "N42"
133.787534313992 "diploid" "LOC117680708" "N43"
123.0693923414 "diploid" "LOC117680708" "N44"
124.784258596515 "diploid" "LOC117680708" "N45"
113.5 "diploid" "LOC117680708" "N46"
138.835637011566 "diploid" "LOC117680708" "N47"
5.19610578651191 "diploid" "LOC105348135" "D55"
2.32669726315163 "diploid" "LOC105348135" "D56"
18.9425603350088 "diploid" "LOC105348135" "D57"
0.5 "diploid" "LOC105348135" "D58"
12.3910032150994 "diploid" "LOC105348135" "D59"
2.54694573104312 "diploid" "LOC105348135" "M45"
9.69392028908143 "diploid" "LOC105348135" "M46"
