"count" "ploidy" "gene" "sample"
0.5 "diploid" "LOC105325880" "D54"
0.5 "diploid" "LOC105325880" "D55"
0.5 "diploid" "LOC105325880" "D56"
0.5 "diploid" "LOC105325880" "D57"
1.75696811611488 "diploid" "LOC105325880" "D58"
4.1616586240963 "diploid" "LOC105325880" "D59"
0.5 "diploid" "LOC105325880" "M45"
2.50386226694474 "diploid" "LOC105325880" "M46"
0.5 "diploid" "LOC105325880" "M48"
2.13963261271029 "diploid" "LOC105325880" "M49"
0.5 "diploid" "LOC105325880" "M89"
2.91517728073024 "diploid" "LOC105325880" "M90"
2.33252547441319 "triploid" "LOC105325880" "T55"
27.0437901398367 "triploid" "LOC105325880" "T56"
66.549296643188 "triploid" "LOC105325880" "T57"
52.5430218647262 "triploid" "LOC105325880" "T58"
67.2963866880593 "triploid" "LOC105325880" "T59"
0.5 "triploid" "LOC105325880" "T60"
0.5 "triploid" "LOC105325880" "T61"
107.143630949769 "triploid" "LOC105325880" "X45"
29.9532624248017 "triploid" "LOC105325880" "X46"
26.4373654613775 "triploid" "LOC105325880" "X47"
65.9522977012555 "triploid" "LOC105325880" "X48"
0.5 "diploid" "LOC117688401" "D54"
0.5 "diploid" "LOC117688401" "D55"
0.5 "diploid" "LOC117688401" "D56"
0.5 "diploid" "LOC117688401" "D57"
1.75696811611488 "diploid" "LOC117688401" "D58"
0.5 "diploid" "LOC117688401" "D59"
0.5 "diploid" "LOC117688401" "M45"
0.5 "diploid" "LOC117688401" "M46"
0.5 "diploid" "LOC117688401" "M48"
0.5 "diploid" "LOC117688401" "M49"
0.5 "diploid" "LOC117688401" "M89"
0.5 "diploid" "LOC117688401" "M90"
13.3276783208923 "triploid" "LOC117688401" "T55"
4.43241335404989 "triploid" "LOC117688401" "T56"
7.36226458630525 "triploid" "LOC117688401" "T57"
0.5 "triploid" "LOC117688401" "T58"
0.5 "triploid" "LOC117688401" "T59"
0.5 "triploid" "LOC117688401" "T60"
2.91384539433094 "triploid" "LOC117688401" "T61"
18.2739384916282 "triploid" "LOC117688401" "X45"
0.5 "triploid" "LOC117688401" "X46"
0.5 "triploid" "LOC117688401" "X47"
26.6809190805022 "triploid" "LOC117688401" "X48"
34.1831501597089 "diploid" "LOC105321376" "D54"
37.0424968111912 "diploid" "LOC105321376" "D55"
28.0619619774318 "diploid" "LOC105321376" "D56"
