"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj" "description" "feature" "treatment"
"LOC117688394" 4.45438206990642 8.04371279490381 2.83838305852873 5.25579586152907e-07 0.000139179314186469 "uncharacterized protein LOC117688394" "genome" "triploid_heat"
"LOC117687184" 6.37694597155665 4.17080322853988 0.931485600023876 4.52099385869368e-07 0.000123849249004881 "uncharacterized protein LOC117687184" "genome" "triploid_heat"
"LOC105327005" 78.3688543459786 4.0165257163069 0.736882753901849 2.26571056016348e-09 1.31704097025308e-06 "transient receptor potential cation channel subfamily M member 2-like" "genome" "triploid_heat"
"LOC105348135" 137.92001003407 3.99489540146937 0.711210545073736 8.68049440919321e-10 5.91092066440862e-07 "uncharacterized protein LOC105348135" "genome" "triploid_heat"
"LOC117691401" 6.07721371385145 3.9438052830445 1.03848386186412 6.6773029285037e-06 0.00109000110065088 "deleted in malignant brain tumors 1 protein-like" "genome" "triploid_heat"
"LOC117687006" 12.4809719550198 3.51734027002738 0.833910109080915 1.03791175577424e-06 0.000249864150256238 "cerebellin-3-like" "genome" "triploid_heat"
"LOC105319646" 75.567528264993 3.41705601000761 0.626529875237362 2.25717873665584e-09 1.31704097025308e-06 "C-type lectin domain family 4 member M isoform X7" "genome" "triploid_heat"
"LOC117681374" 13.1519426175876 3.40086366155178 0.692829585207831 4.25672785621827e-08 1.69084324995417e-05 "uncharacterized protein LOC117681374 isoform X1" "genome" "triploid_heat"
"LOC117683105" 2.71476676718367 3.30492747130117 1.31471801102731 0.000347273068068167 0.0206397980829642 "uncharacterized protein LOC117683105" "genome" "triploid_heat"
"LOC117688712" 25.9173721166943 3.27573070044791 0.792955923773765 1.45913383147584e-06 0.000340936633387878 "multiple epidermal growth factor-like domains protein 6" "genome" "triploid_heat"
"LOC105344998" 85.816518571295 3.24379242133918 0.47106327424395 2.86198543948322e-13 4.26310618620022e-10 "uncharacterized protein LOC105344998 isoform X2" "genome" "triploid_heat"
"LOC117687101" 25.6814481900469 3.21869786496524 0.558740653496188 4.34323590923845e-10 3.45041138082934e-07 "uncharacterized protein LOC117687101" "genome" "triploid_heat"
"LOC105338176" 28.2769633313749 3.14771519842126 0.902438444827626 1.69609270268122e-05 0.00224572096572231 "transmembrane protease serine 2" "genome" "triploid_heat"
"LOC105333918" 9.24107790768721 2.90431017286713 1.19947122692199 0.000410186491231953 0.0227564981063592 "phospholipid scramblase 1" "genome" "triploid_heat"
"LOC105343642" 14.7201073504628 2.74251726545821 0.79420828185515 2.01503209624898e-05 0.00255722136420261 "cerebellin-2-like" "genome" "triploid_heat"
"LOC105322659" 5.49545910137533 2.58917608511425 0.997547115265087 0.000257491280725798 0.0167214978025557 "dual specificity protein kinase splA" "genome" "triploid_heat"
"LOC117690219" 5.69697291002769 2.55737963154749 0.748198784612704 2.17069752133431e-05 0.00272285442241898 "uncharacterized protein LOC117690219 isoform X2" "genome" "triploid_heat"
"LOC105334643" 12.9784277713178 2.52819442336749 0.725894821186292 1.62242751757191e-05 0.00216901354398972 "uncharacterized protein LOC105334643" "genome" "triploid_heat"
"LOC117692755" 89.9566286594269 2.52729829790297 0.46380887984188 2.17225948958329e-09 1.31704097025308e-06 "uncharacterized protein LOC117692755" "genome" "triploid_heat"
"LOC105317856" 4.26508237127813 2.49627840315491 0.697682983975085 1.73055098871709e-05 0.00227868628254666 "uncharacterized protein LOC105317856" "genome" "triploid_heat"
"LOC105342100" 5.27235879387859 2.43699211121557 0.965521570597948 0.000374862924851731 0.0213945957153256 "centromere protein F-like" "genome" "triploid_heat"
"LOC117681474" 19.8395416744191 2.43398583302331 0.757751177383155 4.28543692268916e-05 0.00470667364877653 "uncharacterized protein LOC117681474" "genome" "triploid_heat"
"LOC117692198" 2.67107572007827 2.42360549895503 1.23248144169805 0.00145018838194993 0.0487284608886016 "uncharacterized protein LOC117692198" "genome" "triploid_heat"
"LOC117680708" 58.014534097024 2.40210667327368 0.219903006840593 5.92308763775287e-29 1.41164947670564e-24 "serine/arginine-rich splicing factor 1-like" "genome" "triploid_heat"
"LOC117691990" 4.96060626796847 2.39035287685168 0.775582052688531 8.51746496715878e-05 0.00789870593627608 "uncharacterized protein LOC117691990" "genome" "triploid_heat"
"LOC105343485" 38.3926200906232 2.34796128270357 1.04636976492862 0.00058395937837477 0.0279947670252212 "uncharacterized protein LOC105343485" "genome" "triploid_heat"
"LOC105318831" 62.9426721464992 2.33630429469478 0.482692220311704 5.50916256430332e-08 2.08412494277843e-05 "epithelial membrane protein 3" "genome" "triploid_heat"
"LOC105318237" 153.832161146923 2.28083243198476 0.615572789228884 7.96034302974677e-06 0.0012647923695197 "trichohyalin isoform X1" "genome" "triploid_heat"
"LOC105322531" 61.0497588473828 2.26639630934958 1.29133660361588 0.0014288366319943 0.0484317690592583 "uncharacterized protein LOC105322531" "genome" "triploid_heat"
"LOC117682616" 7.98533404162449 2.14924140458472 0.828213861589585 0.000273534302641076 0.017338146369268 "multiple epidermal growth factor-like domains protein 10" "genome" "triploid_heat"
"LOC105326635" 38.8445177016562 2.11961643293431 0.564866072479922 6.75352461768598e-06 0.00109494389260755 "basic salivary proline-rich protein 4" "genome" "triploid_heat"
"LOC117687174" 9.78256561835963 2.10994626644424 0.711616931166905 0.000105052656035408 0.00880445717148375 "uncharacterized protein LOC117687174" "genome" "triploid_heat"
"LOC105318434" 10.5065117208879 2.10326429674434 0.539138379759176 3.6558112053088e-06 0.000702338085939944 "cell death abnormality protein 1" "genome" "triploid_heat"
"LOC117680401" 4.46605064968646 2.09225522054126 1.06145880309014 0.00112575407158807 0.0420534432416278 "uncharacterized protein LOC117680401" "genome" "triploid_heat"
"LOC117692932" 22.1710935256575 2.05459890750213 0.707069147804327 0.000113091485622956 0.00917680169578008 "uncharacterized protein LOC117692932 isoform X3" "genome" "triploid_heat"
"LOC105322029" 9.77904656312874 1.99459773575972 0.786628283620571 0.000298499987217835 0.0183828170422808 "uncharacterized protein LOC105322029" "genome" "triploid_heat"
"LOC117683005" 9.67285899788954 1.98175497962358 0.779759823804053 0.000332744983867704 0.0200767372165038 "uncharacterized protein LOC117683005" "genome" "triploid_heat"
"LOC105321541" 328.292516290098 1.96381725216764 0.44063797111259 3.42408704196141e-07 0.000100748477124773 "uncharacterized protein LOC105321541" "genome" "triploid_heat"
"LOCNA.14" 1743.87420338071 1.96146928870899 0.250731520940872 2.43107478953593e-16 6.4377561621122e-13 NA NA "triploid_heat"
"LOC105340370" 996.986369112664 1.9342096840228 0.22894715369692 1.7124987139438e-18 6.80233030823709e-15 "78 kDa glucose-regulated protein precursor" "genome" "triploid_heat"
"LOC105345989" 1579.4702105749 1.89997365488811 0.314268018439172 6.87642508022651e-11 6.8285766223766e-08 "heat shock protein 83-like" "genome" "triploid_heat"
"LOC117680291" 1701.63606774723 1.84756172633029 0.296072554764573 2.14827275006154e-11 2.43808497391508e-08 "heat shock protein 83-like" "genome" "triploid_heat"
"LOC105319208" 237.45441898791 1.84507176323483 0.415810013401926 3.8136703016615e-07 0.000109507475059637 "spliceosome RNA helicase DDX39B" "genome" "triploid_heat"
"LOC105320246" 8.91466097922532 1.81471196153151 0.738807559710511 0.000372812030927172 0.0213945957153256 "uncharacterized protein LOC105320246" "genome" "triploid_heat"
"LOC105341388" 93.3382468312917 1.81398352516109 0.246254016946397 8.06359657424257e-15 1.74708815594476e-11 "protein disulfide-isomerase A6 isoform X1" "genome" "triploid_heat"
"LOC105324591" 23.1043122685521 1.7954036768322 1.00442491885819 0.00149702617883668 0.0497609831523217 "multiple epidermal growth factor-like domains protein 11 isoform X1" "genome" "triploid_heat"
"LOC117681741" 137.163028155553 1.77474346070907 0.861897217632496 0.000918781609210522 0.0366182572045466 "uncharacterized protein LOC117681741" "genome" "triploid_heat"
"LOC105342916" 9.22930499225011 1.7538317454593 0.632428636224606 0.000185760531997599 0.0131371832614207 "uncharacterized protein LOC105342916" "genome" "triploid_heat"
"LOC105341658" 16.3081866794526 1.74507088269672 0.587424003883796 9.98271711434871e-05 0.00864516069923313 "uncharacterized protein LOC105341658" "genome" "triploid_heat"
"LOC105322182" 7.98046965108654 1.71803889982432 0.674954558629599 0.000331428338379032 0.0200767372165038 "uncharacterized protein LOC105322182 isoform X1" "genome" "triploid_heat"
"LOC105326173" 31.0893471404928 1.70948575250651 0.225399149516272 0.00015803797032805 0.0115892890671644 "uncharacterized protein LOC105326173" "genome" "triploid_heat"
"LOC105319157" 9.8428787846606 1.69145100567605 0.588818726963973 0.000131195731354829 0.0102030003206239 "salivary glue protein Sgs-3" "genome" "triploid_heat"
"LOC105328056" 26.170315336171 1.68191240668009 0.486919986031515 2.01719303684006e-05 0.00255722136420261 "uncharacterized protein LOC105328056 isoform X2" "genome" "triploid_heat"
"LOC117684862" 51.7715692228448 1.6782616531911 0.727132019860094 0.000556647347907441 0.0271856070546681 "protein PML-like" "genome" "triploid_heat"
"LOC105325010" 211.840190531493 1.67482753745721 0.323590239686897 1.0347676657923e-08 5.03298322016894e-06 "hypoxia up-regulated protein 1 isoform X2" "genome" "triploid_heat"
"LOC117688295" 15.2022245166092 1.66554826103987 0.634881213055232 0.00026567495692859 0.0170148743662266 "collectin-12-like" "genome" "triploid_heat"
"LOC105326121" 133.702455729244 1.66027582025689 0.452549142342342 8.98058496854024e-06 0.0013691779990768 "cysteine-rich with EGF-like domain protein 2-B isoform X2" "genome" "triploid_heat"
"LOC105323139" 2377.35672872524 1.65559542097572 0.338943122600422 4.6892794838694e-08 1.80257416030741e-05 "uncharacterized protein LOC105323139" "genome" "triploid_heat"
"LOC117686492" 4.71193627621126 1.64489244819806 0.827962628878274 0.00109095400871557 0.0414023995059208 "uncharacterized protein LOC117686492" "genome" "triploid_heat"
"LOC105327678" 246.411622543019 1.64082706194344 0.42641344327527 4.74758035736824e-06 0.000831978548949687 "uncharacterized protein LOC105327678" "genome" "triploid_heat"
"LOC105346817" 3.54580010201112 1.63693552295697 0.582118506869563 0.0001989400470568 0.0136637986786879 "uncharacterized protein LOC105346817" "genome" "triploid_heat"
"LOC105338084" 14.0508797846194 1.63028676884339 0.705166400410173 0.000538904205765211 0.0267577165333381 "uncharacterized protein LOC105338084" "genome" "triploid_heat"
"LOC117683424" 3.07089193463282 1.60893129132577 0.83869257146208 0.00140133142251205 0.0478480398176644 "uncharacterized protein LOC117683424" "genome" "triploid_heat"
"LOC105336293" 16.494799028295 1.6031454474396 0.462652280071557 1.97564109189794e-05 0.00254515968341642 "uncharacterized protein LOC105336293" "genome" "triploid_heat"
"LOC105340337" 12.524430057364 1.60073963488004 0.699658135167175 0.000588521061647766 0.028079401530368 "glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1" "genome" "triploid_heat"
