"gene" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "description" "feature" "treatment"
"LOC117690809" 33.8389910815924 6.24840272829006 0.88403977524601 7.06801085567814 1.57170256105873e-12 7.87297246885537e-09 "uncharacterized protein LOC117690809 isoform X1" "genome" "control_ploidy"
"LOC117687318" 6.55644923841075 5.68483430874814 1.23564852382723 4.60068878740715 4.21096173143513e-06 0.000958797704777494 "kunitz-type serine protease inhibitor Bi-KTI-like" "genome" "control_ploidy"
"LOC117687720" 9.03265033237848 5.42038212033283 0.966057877731003 5.61082544356843 2.01363800761335e-08 1.73908888064428e-05 "uncharacterized protein LOC117687720" "genome" "control_ploidy"
"LOC117688097" 18.7143352311985 5.29383737614448 0.735049368306486 7.20201608817269 5.93286903037046e-13 4.95315459115528e-09 "uncharacterized protein LOC117688097" "genome" "control_ploidy"
"LOC105332829" 8.85772757868961 5.12772970392089 1.26919731751391 4.04013594510666 5.34202276756069e-05 0.00599983418100113 "uncharacterized protein LOC105332829" "genome" "control_ploidy"
"LOC105348474" 4.17316902024444 5.00705655613356 1.44242898283662 3.47126729683905 0.000518008085933496 0.0268613468328993 "uncharacterized protein LOC105348474" "genome" "control_ploidy"
"LOC117683057" 10.6150912989114 4.9312685209961 1.04927548430302 4.69968906618619 2.60557899167164e-06 0.000694248206653275 "fibroleukin-like" "genome" "control_ploidy"
"LOC117690270" 6.05482781406103 4.80024731861215 0.999739087467854 4.80150009015877 1.57481438148209e-06 0.000493035012482506 "patched domain-containing protein 3-like" "genome" "control_ploidy"
"LOC117681665" 19.8260875042711 4.77979334607376 0.613734690823604 7.78804492810973 6.80539848919418e-15 1.70448010560357e-10 "uncharacterized protein LOC117681665" "genome" "control_ploidy"
"LOC117683254" 3.11654117004785 4.58443122998589 1.31827285069769 3.47760422097718 0.000505916328351249 0.0264235394069686 "uncharacterized protein LOC117683254" "genome" "control_ploidy"
"LOC105321903" 28.3690896991221 4.42089852946293 0.767086969877626 5.76322985927946 8.2519287226976e-09 1.12996000150414e-05 "failed axon connections homolog" "genome" "control_ploidy"
"LOC105320234" 9.01235996050165 4.40314703326792 0.691205055585512 6.3702471469021 1.88723837497657e-10 4.72677723396632e-07 "angiopoietin-4-like" "genome" "control_ploidy"
"LOC105343624" 20.0799596622761 4.18590295170118 0.680161541131544 6.15427762166227 7.54204678863277e-10 1.1806131491756e-06 "uncharacterized protein LOC105343624 isoform X1" "genome" "control_ploidy"
"LOC105329359" 32.6366224227289 4.1486293789283 0.785610193297213 5.28077335849789 1.28639738747542e-07 8.05477724167735e-05 "uncharacterized protein LOC105329359 isoform X1" "genome" "control_ploidy"
"LOC105321376" 118.688540913232 4.10167194531921 0.96329026780556 4.25798129847517 2.06281200867146e-05 0.00311236081742081 "uncharacterized protein LOC105321376" "genome" "control_ploidy"
"LOC105323935" 27.599501349183 3.9938412600888 0.705852046472143 5.65818471455891 1.52982437992991e-08 1.53263925678898e-05 "uncharacterized protein LOC105323935" "genome" "control_ploidy"
"LOC105339551" 10.8515335995333 3.99351977455095 0.866752554202969 4.60745082917377 4.07635557342603e-06 0.000945337052703967 "transmembrane protein 179B" "genome" "control_ploidy"
"LOC105326221" 8.21204121067767 3.98373185401801 0.985140878896045 4.04381945705289 5.25874200793473e-05 0.00595974897424133 "glutamine synthetase-like" "genome" "control_ploidy"
"LOC105318705" 34.3301577762997 3.97740509307135 0.700991530178075 5.67397025761632 1.3952536682692e-08 1.5193705815422e-05 "complement C1q-like protein 4 isoform X2" "genome" "control_ploidy"
