"gene" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "description" "feature" "treatment"
"LOC105338907" 45.5119583971164 2.18117612337375 0.271448307586306 3.11067310577819 0.00186661452346002 0.0701561158154633 "myosin heavy chain, striated muscle isoform X4" "genome" "desiccation_ploidy"
"LOC117681061" 1.28749968732302 2.03225308891693 0.303387922990797 -0.123567732919529 0.901657542036681 NA "uncharacterized protein LOC117681061 isoform X2" "genome" "desiccation_ploidy"
"LOC117682407" 4.24761623640891 1.98407290477649 0.236292299897682 0.00480380612804362 0.996167131998913 0.999447381229365 "uncharacterized protein LOC117682407" "genome" "desiccation_ploidy"
"LOC109620475" 19.4174863688843 1.96265837572069 0.303658957770096 6.68986391511999 2.23378224103359e-11 1.14012245582354e-07 "uncharacterized protein LOC109620475" "genome" "desiccation_ploidy"
"LOC105324591" 15.8178526873439 1.90657870287666 0.303573881205501 6.44100645246705 1.1868382641707e-10 3.36534583351513e-07 "multiple epidermal growth factor-like domains protein 11 isoform X1" "genome" "desiccation_ploidy"
"LOC105328530" 22.2623214842191 1.89354150959408 0.292781233925868 6.47218168512037 9.65978688852884e-11 3.0814720174407e-07 "uncharacterized protein LOC105328530" "genome" "desiccation_ploidy"
"LOC117680547" 22.9520746574738 1.87578526379083 0.297460651696397 6.33090897607668 2.43721099405928e-10 6.21976245683928e-07 "uncharacterized protein LOC117680547" "genome" "desiccation_ploidy"
"LOC105348936" 3.22495797651957 1.83057595043456 0.276699453250883 0.442199995905848 0.658344489039032 0.909722924709335 "uncharacterized protein LOC105348936" "genome" "desiccation_ploidy"
"LOC105343623" 13.5525087136442 1.82590468226768 0.303715788649601 1.69174129191883 0.0906953116871737 0.458401138908456 "tenascin isoform X2" "genome" "desiccation_ploidy"
"LOC105324280" 4.00666664231068 1.78733755404971 0.303328574795562 5.45499313262225 4.89747381859035e-08 4.62901969816392e-05 "uncharacterized protein LOC105324280" "genome" "desiccation_ploidy"
"LOC105330807" 2.49482629969989 1.78220033386377 0.303549269999907 -2.63268431867485 0.00847130438055274 0.152565751178698 "spidroin-2-like precursor" "genome" "desiccation_ploidy"
"LOC105330461" 9.2408870665244 1.76253683553605 0.303920752805285 5.87652257074822 4.18974304379633e-09 5.94012458209347e-06 "uncharacterized protein LOC105330461" "genome" "desiccation_ploidy"
"LOC105344057" 1.62304525768691 1.71733487823732 0.295810624193581 -1.19029598661834 0.233930077657698 0.656340715600033 "nuclear receptor coactivator 6" "genome" "desiccation_ploidy"
"LOC105325985" 12.57559178464 1.70165752946633 0.278708783564362 4.14956568265352 3.33106697472609e-05 0.00507897433385879 "uncharacterized protein LOC105325985" "genome" "desiccation_ploidy"
"LOC105337833" 30.7227574903639 1.69837892287631 0.281060172514373 6.02391517241683 1.70247618443621e-09 3.10337087334371e-06 "uncharacterized protein LOC105337833" "genome" "desiccation_ploidy"
"LOC117685768" 23.0254773027315 1.6845070884537 0.303598112562311 5.71841870166635 1.07519937723412e-08 1.24723127759158e-05 "uncharacterized protein LOC117685768 isoform X2" "genome" "desiccation_ploidy"
"LOC117685599" 15.9719616413439 1.67300471721279 0.244140541444108 6.75810585453416 1.39807376304544e-11 8.91971060822991e-08 "uncharacterized protein LOC117685599" "genome" "desiccation_ploidy"
"LOC105333914" 5.86771488729721 1.66839653035518 0.303641764250517 -1.65980501472243 0.0969536846040204 0.470036503451951 "prisilkin-39-like" "genome" "desiccation_ploidy"
"LOC105342423" 3.39266667405462 1.59944823472373 0.302968890818092 1.78257044078214 0.0746562551440371 0.421011288876505 "uncharacterized protein LOC105342423" "genome" "desiccation_ploidy"
"LOC117687720" 8.54911307020442 1.58972049623827 0.296301826846443 6.21012867000099 5.29412347023044e-10 1.22823664509346e-06 "uncharacterized protein LOC117687720" "genome" "desiccation_ploidy"
"LOC105327706" 7.40250904271247 1.58929809578712 0.280887732591946 1.69682075858451 0.0897305528986306 0.45666139931119 "uncharacterized protein LOC105327706 isoform X1" "genome" "desiccation_ploidy"
"LOC105317059" 2.57903729603289 1.58818140571363 0.302963939383116 -0.632849463306609 0.526831952287439 0.855155287010269 "uncharacterized protein LOC105317059" "genome" "desiccation_ploidy"
"LOC105346504" 13.0775266713973 1.56639874407664 0.29953815707164 5.23732462503818 1.62920987188737e-07 0.000123316729601256 "uncharacterized protein LOC105346504 isoform X1" "genome" "desiccation_ploidy"
"LOC105329127" 30.7682670860216 1.54264531187386 0.301046533590608 5.22161172109784 1.77372568264545e-07 0.000128848369145399 "complement C1q tumor necrosis factor-related protein 3-like" "genome" "desiccation_ploidy"
"LOC105328647" 9.44070049246985 1.54223043190026 0.302595728459983 5.10563507658041 3.29685384794923e-07 0.000205778309796551 "uncharacterized protein LOC105328647" "genome" "desiccation_ploidy"
"LOC105341009" 10.107091720795 1.52738086386772 0.301895527911949 5.08332870713862 3.70877047556682e-07 0.000215108687582876 "F-box/WD repeat-containing protein 5" "genome" "desiccation_ploidy"
"LOC117682674" 73.7302778817107 1.52171104993272 0.303520291614605 5.20578054553525 1.93182843392049e-07 0.000133243950361219 "uncharacterized protein LOC117682674" "genome" "desiccation_ploidy"
"LOC105319237" 3.00661710801894 1.50415828347841 0.300050264258354 -2.94385857345018 0.00324148086501422 0.0934888022482781 "uncharacterized protein LOC105319237" "genome" "desiccation_ploidy"
"LOC117685572" 6.54139199894339 1.50325025984321 0.301086207402817 4.91481377631052 8.88668899738975e-07 0.000412342369478885 "uncharacterized protein LOC117685572" "genome" "desiccation_ploidy"
"LOC105337739" 17.8315234890441 -1.50749558026684 0.250357298976367 -1.59919942368849 0.109776298360745 0.491131272339763 "histone RNA hairpin-binding protein" "genome" "desiccation_ploidy"
