"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj" "description" "feature" "treatment"
"LOC105334510" 2339.71971599894 8.35230687298986 0.733576090777957 1.30995787789097e-31 3.05534575439291e-27 "heat shock protein 68" "genome" "triploid_desiccation"
"LOC117680673" 2258.73597035198 8.08011842333403 0.742233766866479 3.54684497949689e-29 2.75755374339285e-25 "heat shock protein 68-like" "genome" "triploid_desiccation"
"LOC105348304" 2159.07371010264 8.07707995379171 0.741774431964968 3.44587747914331e-29 2.75755374339285e-25 "heat shock protein 68" "genome" "triploid_desiccation"
"LOC105348305" 3169.74577346483 7.92947823136049 0.730858706805639 5.21315178511714e-29 3.03978880590181e-25 "heat shock protein 68-like" "genome" "triploid_desiccation"
"LOC105322484" 530.888104057687 5.58333582601468 0.554359663582474 1.31083274177122e-26 6.11477257381439e-23 "heat shock protein 68-like" "genome" "triploid_desiccation"
"LOC105346578" 216.075716455664 4.48029341467656 0.734267669931473 2.36042814014236e-12 2.62164885431811e-09 "major egg antigen" "genome" "triploid_desiccation"
"LOC105321886" 1218.06831864206 4.04456670422644 0.504469462744869 4.89403897221719e-18 1.26831738875549e-14 "uncharacterized protein LOC105321886" "genome" "triploid_desiccation"
"LOC105320412" 28.4936506945414 3.82484787096385 0.877837970330866 4.55598667803081e-08 2.16864965874267e-05 "histone H2A" "genome" "triploid_desiccation"
"LOC105334234" 394.333728353804 3.77742552151069 0.592504378660336 1.69483025792318e-12 2.08053794398949e-09 "heat shock protein 70 B2" "genome" "triploid_desiccation"
"LOC105348135" 136.748419291915 3.62563996629751 0.816385724896181 4.44476321076018e-08 2.15978452349522e-05 "uncharacterized protein LOC105348135" "genome" "triploid_desiccation"
"LOC117687184" 6.18797386127643 3.48323878781033 1.2083259048699 1.38202708446159e-06 0.000351752362365711 "uncharacterized protein LOC117687184" "genome" "triploid_desiccation"
"LOC105344998" 102.349834055908 3.42758677182457 0.463527792767807 3.46834400808481e-15 6.74130463704751e-12 "uncharacterized protein LOC105344998 isoform X2" "genome" "triploid_desiccation"
"LOC105334580" 571.267338296662 3.28697014705255 0.504393916086579 2.28153252521399e-12 2.62164885431811e-09 "BAG family molecular chaperone regulator 3" "genome" "triploid_desiccation"
"LOC105343216" 74.2107033291422 3.23569803389153 0.527000497298346 2.68874345142566e-11 2.41200970234816e-08 "heat shock protein 27" "genome" "triploid_desiccation"
"LOC117681182" 118.733998812471 3.08189698883816 0.494640236212381 2.04543470427971e-11 1.90830876170479e-08 "uncharacterized protein LOC117681182" "genome" "triploid_desiccation"
"LOC105327005" 47.9731692773182 3.06225180643051 0.67753560351165 6.00831643089406e-08 2.74780338106221e-05 "transient receptor potential cation channel subfamily M member 2-like" "genome" "triploid_desiccation"
"LOC105320423" 8.81670476427775 2.86953423012954 0.890368615156729 1.20618846103715e-06 0.000316102692867758 "histone H2A" "genome" "triploid_desiccation"
"LOC117688712" 21.5599396874196 2.76774103481972 0.811004829280694 8.85458897518193e-07 0.000240144689833888 "multiple epidermal growth factor-like domains protein 6" "genome" "triploid_desiccation"
"LOC117687101" 21.9136938220191 2.73993243822388 0.656826644857623 1.66819154493959e-07 6.59472874477476e-05 "uncharacterized protein LOC117687101" "genome" "triploid_desiccation"
"LOC105319646" 50.680871006423 2.715912046941 0.519777389717428 4.62549906749494e-09 3.08243257857863e-06 "C-type lectin domain family 4 member M isoform X7" "genome" "triploid_desiccation"
"LOC117680358" 158.92280729139 2.64868537915378 0.601728059112808 8.4876156301925e-08 3.59936630833836e-05 "baculoviral IAP repeat-containing protein 2-like" "genome" "triploid_desiccation"
"LOC105320431" 9.13511634727421 2.54851171735301 0.995626996323244 4.09621695499259e-06 0.000860722200524749 "histone H2A" "genome" "triploid_desiccation"
"LOC117687358" 16.5101617984509 2.41552774898535 0.698616643669637 7.73653438781528e-07 0.000220057229343175 "uncharacterized protein LOC117687358" "genome" "triploid_desiccation"
"LOC105320418" 11.2169791777595 2.37413500760807 1.00606308151986 6.07003682770081e-06 0.0012311090345156 "histone H2A" "genome" "triploid_desiccation"
"LOC117681374" 12.0504069209304 2.30325609860003 1.28170536258562 1.4991108959875e-05 0.00257097518661856 "uncharacterized protein LOC117681374 isoform X1" "genome" "triploid_desiccation"
"LOC117681164" 10.4760657430703 2.28370962098954 1.15826285541013 1.17830282836926e-05 0.00213044458673524 "complement C1q-like protein 4 isoform X1" "genome" "triploid_desiccation"
"LOC105348880" 5.3567488020115 2.15858377168038 1.43442728965022 2.48270917853752e-05 0.00378475221439276 "uncharacterized protein LOC105348880" "genome" "triploid_desiccation"
"LOC117680708" 50.5010932318386 2.15108543691678 0.24267451051763 3.6731269290106e-20 1.22388589274633e-16 "serine/arginine-rich splicing factor 1-like" "genome" "triploid_desiccation"
"LOC117691401" 6.85857173073287 1.8130462016301 1.81425023798205 5.45737686459912e-05 0.00680683732566363 "deleted in malignant brain tumors 1 protein-like" "genome" "triploid_desiccation"
"LOC105337952" 25.2236234101008 1.59323047465644 0.3613568125457 5.6267027801522e-09 3.64547821234083e-06 "centromere protein T isoform X1" "genome" "triploid_desiccation"
"LOC105329206" 29.35070648667 1.51943185930366 0.510359152913941 1.14767790949638e-06 0.000304186813194245 "alpha-1,2-mannosyltransferase ALG9" "genome" "triploid_desiccation"
"LOC105330378" 14.9046772532445 -1.53508808872297 0.604845689578317 3.92252809488843e-06 0.000860722200524749 "uncharacterized protein LOC105330378 isoform X1" "genome" "triploid_desiccation"
"LOC105345184" 8.83503270503083 -1.55969566439422 0.815895912880914 1.76922669520983e-05 0.00290601714359677 "myb/SANT-like DNA-binding domain-containing protein 4" "genome" "triploid_desiccation"
"LOC105341927" 712.531931604303 -1.62486706373332 0.447462917219266 1.46569967608944e-07 5.99754021844037e-05 "uncharacterized protein LOC105341927 isoform X1" "genome" "triploid_desiccation"
"LOC117686727" 25.7859212674562 -1.645229044867 0.768251910000825 1.03214984784483e-05 0.00191062405167722 "short-chain collagen C4-like" "genome" "triploid_desiccation"
"LOC105334721" 183.919422209862 -1.76822508531913 1.08475757950785 2.84724363390117e-05 0.00417667361742835 "perlucin-like protein" "genome" "triploid_desiccation"
"LOC105326729" 10.8706325478245 -1.84426854071987 0.514996225503835 2.63557376903473e-07 9.31395796802516e-05 "complement C1q-like protein 3" "genome" "triploid_desiccation"
"LOC117682909" 11.1342809569479 -1.86307987913718 0.533808709108509 3.61696123383351e-07 0.000118819723687229 "heavy metal-binding protein HIP-like isoform X1" "genome" "triploid_desiccation"
"LOC105346703" 10.2137683345147 -1.89202311915078 1.11069550861314 2.31411558918617e-05 0.00362189254485404 "uncharacterized protein LOC105346703" "genome" "triploid_desiccation"
"LOC117681275" 45.1095145198202 -1.90217837014375 1.00011263098645 1.60897015027991e-05 0.00273924232008238 "uncharacterized protein LOC117681275" "genome" "triploid_desiccation"
"LOC105342748" 17.3743363101587 -1.97457985783736 0.328339414035963 9.67067866178763e-12 9.80690909163195e-09 "microfibril-associated glycoprotein 4" "genome" "triploid_desiccation"
