"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj" "description" "feature"
"LOC117680554" 32.5989122349176 7.2134185834766 1.94058745830094 5.89601223452247e-09 6.71446293744903e-06 "uncharacterized protein LOC117680554" "genome"
"LOC105324285" 28.0432491959111 3.83426952346813 0.960588069017473 2.07580515179322e-11 1.70984070353207e-07 "patched domain-containing protein 3-like" "genome"
"LOC117690809" 74.4872285400227 2.71947041330237 0.392664115787039 1.92416445850832e-14 4.7548027934199e-10 "uncharacterized protein LOC117690809 isoform X1" "genome"
"LOC105330135" 36.7496807184257 2.66404296393361 0.5554478265648 2.37883856476834e-09 5.03526636099104e-06 "potassium voltage-gated channel protein Shaw" "genome"
"LOC105329018" 47.2236345891551 2.60945001401172 0.539025190186197 2.6489604909912e-09 5.03526636099104e-06 "perlucin-like" "genome"
"LOC105347441" 125.944947675428 2.5893312323493 0.571648305587522 9.18610152242093e-09 9.86946759654537e-06 "uncharacterized protein LOC105347441" "genome"
"LOC105328933" 22.2815106413878 2.57215450121916 0.478137629318973 2.98387754178958e-10 1.05335139907375e-06 "low-density lipoprotein receptor-related protein 4" "genome"
"LOC105341995" 84.5096813566589 2.5416272260177 0.533846706195207 4.91605925184847e-09 6.3290264663765e-06 "neurotrypsin isoform X1" "genome"
"LOC117689920" 20.9183835505455 2.52551089672861 0.522424299094923 3.94785739294318e-09 5.66199235415409e-06 "P-selectin-like" "genome"
"LOC117689339" 50.3138888349732 2.46506507063596 0.432991839435461 9.03779368099656e-11 5.58332299127765e-07 "uncharacterized protein LOC117689339" "genome"
"LOC105338509" 350.414633947187 2.45229170020114 0.459206183248864 5.57750617349621e-10 1.53139727836961e-06 "gonadotropin-releasing hormone II receptor" "genome"
"LOC105318674" 25.0054072363108 2.4304487947006 0.57267298756487 4.54012392344629e-08 2.60909307609956e-05 "uncharacterized protein LOC105318674" "genome"
"LOC105322866" 28.1852427603544 2.40378022186053 0.702777064883286 3.95012400096546e-07 9.56975629292719e-05 "uncharacterized protein LOC105322866" "genome"
"LOC117688512" 36.9414669000152 2.3795938919381 0.576556010924517 7.72257158850659e-08 3.5339345652516e-05 "uncharacterized protein LOC117688512" "genome"
"LOC105328254" 157.576156074382 2.36286129671361 0.457002213195317 1.59442326876433e-09 3.93997933944353e-06 "uncharacterized protein LOC105328254 isoform X1" "genome"
"LOC105322531" 54.9498958612987 2.35084510713531 0.606350708156359 1.71469548873777e-07 5.6495786962932e-05 "uncharacterized protein LOC105322531" "genome"
"LOC117681619" 110.045270633125 2.34923169601096 0.581761326214573 1.10642821250331e-07 4.6308418085353e-05 "uncharacterized protein LOC117681619" "genome"
"LOC105324728" 126.958221502285 2.34172883843847 0.466233316229467 3.24574990321328e-09 5.05997430831299e-06 "cytochrome P450 2D20" "genome"
"LOC105334430" 38.6538356007096 2.30280899636377 0.603757745980591 2.36635803402779e-07 6.87942039751303e-05 "uncharacterized protein LOC105334430" "genome"
"LOC105323226" 98.8869017907016 2.27798082953703 0.638925238586269 4.71327743836643e-07 0.000103070618388914 "FK506-binding protein 2" "genome"
"LOC117687261" 26.6763216360278 2.27313976156513 0.661921204801571 6.39445745506476e-07 0.000125734784093235 "uncharacterized protein LOC117687261" "genome"
"LOC105345161" 58.7501526208008 2.26956205372172 0.518713000355227 4.75376544047126e-08 2.61045106221079e-05 "uncharacterized protein LOC105345161" "genome"
"LOC117692998" 38.8237655547132 2.26722919641697 0.570572852687529 1.69650363512796e-07 5.6495786962932e-05 "uncharacterized protein LOC117692998" "genome"
"LOC105343679" 84.7523443235531 2.26200813239876 0.48077932829414 1.44134964107688e-08 1.3033759792408e-05 "solute carrier family 22 member 15-like isoform X1" "genome"
"LOC117685250" 71.6138658474142 2.24654431911939 0.472821551939932 1.23740984175065e-08 1.27406810831252e-05 "uncharacterized protein LOC117685250" "genome"
"LOC109619024" 56.0290306717527 2.24316981763873 0.497743351963995 3.16523654520724e-08 2.00554257099016e-05 "uncharacterized protein LOC109619024" "genome"
"LOC117693006" 32.6021407251882 2.21035328079601 0.493557277938299 3.73992670942234e-08 2.25408119308623e-05 "uncharacterized protein LOC117693006" "genome"
"LOC105344805" 90.7840142392042 2.20265781999139 0.445323781377755 5.977831112617e-09 6.71446293744903e-06 "QRFP-like peptide receptor" "genome"
"LOC105337262" 55.2218300599531 2.13510640023386 0.611457073886384 8.52799260583125e-07 0.000143941178178788 "multiple epidermal growth factor-like domains protein 6" "genome"
"LOC117689258" 45.037214732315 2.11046293341639 0.649949113696444 1.59116268522375e-06 0.000205960215782766 "uncharacterized protein LOC117689258" "genome"
"LOC105345562" 101.504579110235 2.1059729569354 0.484201181879669 6.99887389384836e-08 3.37371762765782e-05 "multiple epidermal growth factor-like domains protein 11" "genome"
"LOC105318297" 17.9360333265182 2.10073473037575 0.501669651916415 1.22856584023113e-07 4.84405034796343e-05 "uncharacterized protein LOC105318297 isoform X2" "genome"
"LOC105336862" 64.1368296959455 2.09113752230096 0.54434034056845 3.67894763825348e-07 9.00103713751304e-05 "protein SpAN-like" "genome"
"LOC105341173" 35.359075808737 2.08071278335942 0.512433131123446 1.91451553056648e-07 6.06533247126005e-05 "uncharacterized protein LOC105341173 isoform X1" "genome"
"LOC105320489" 22.2678826185445 2.04974516977253 0.507004046246628 2.11327474299785e-07 6.36843075295366e-05 "formin-like protein 14" "genome"
"LOC105348432" 46.8686293696227 2.04842929242986 0.427536815964032 1.36468201794769e-08 1.29702528251944e-05 "kelch-like protein 12" "genome"
"LOC117686204" 98.6742391716933 2.0407320498034 0.53701355005327 4.51616566500127e-07 0.000100539612385447 "uncharacterized protein LOC117686204 isoform X1" "genome"
"LOC105319776" 35.5346621080268 2.01135224516289 0.534013761022214 5.20837869105808e-07 0.000109793669850073 "integumentary mucin C.1" "genome"
"LOC105323935" 29.7693879971249 2.00400462167049 0.661399447435642 3.36424948093554e-06 0.000308535796218301 "uncharacterized protein LOC105323935" "genome"
"LOC105342351" 97.784974049924 1.9933236952586 0.628171123587907 2.53794260499985e-06 0.000263315795369706 "uncharacterized protein LOC105342351" "genome"
"LOC105321801" 143.382660028068 1.98564275497128 0.476049227200067 1.47454286565678e-07 5.33042511153166e-05 "multiple epidermal growth factor-like domains protein 11" "genome"
"LOC117687542" 34.6545240552897 1.9807478664022 0.669495849473831 4.13923205594316e-06 0.000352705390808315 "uncharacterized protein LOC117687542" "genome"
"LOC105327359" 56.1093158004965 1.97948971159096 0.430181759029309 3.03550812636993e-08 1.97395898186125e-05 "uncharacterized protein LOC105327359 isoform X1" "genome"
"LOC105342884" 885.066617802323 1.97751982883278 0.468924464989191 1.26477045342125e-07 4.88339729288944e-05 "uncharacterized protein LOC105342884 isoform X4" "genome"
"LOC117688340" 23.0147756376348 1.97632301093258 0.3553511125375 3.97830522840633e-10 1.22884875623936e-06 "uncharacterized protein LOC117688340" "genome"
"LOC105344467" 139.964819888621 1.9716604678087 0.581522407347962 1.56717498748619e-06 0.000205960215782766 "uncharacterized protein LOC105344467 isoform X3" "genome"
"LOC105318064" 137.110367134102 1.96022448237715 0.621899791644185 2.87272655693696e-06 0.00028282050178673 "LOW QUALITY PROTEIN: alkaline phosphatase, tissue-nonspecific isozyme" "genome"
"LOC117691037" 68.9372133039534 1.95660707798717 0.592713458591779 2.02213441356995e-06 0.00023133779395244 "uncharacterized protein LOC117691037" "genome"
"LOC117692922" 17.9649194822682 1.95166960201775 0.649461951080473 4.05941019914554e-06 0.000349214678854675 "uncharacterized protein LOC117692922 isoform X1" "genome"
"LOC105342692" 78.5249655729762 1.9439631137302 0.386737183837231 5.12243653949779e-09 6.3290264663765e-06 "methylthioribulose-1-phosphate dehydratase" "genome"
"LOC105340623" 102.709063833236 1.9414192713861 0.564701308642915 1.45557826211634e-06 0.000200942985671268 "solute carrier organic anion transporter family member 4A1 isoform X1" "genome"
"LOC105319836" 87.9538767478264 1.92815080650973 0.643499673543766 4.37935797035714e-06 0.000363553408742172 "uncharacterized protein LOC105319836" "genome"
"LOC105335573" 56.2801195586516 1.92624057452573 0.470936746870945 2.02082161990028e-07 6.24206538116947e-05 "probable alpha-ketoglutarate-dependent hypophosphite dioxygenase" "genome"
"LOC105326172" 92.1248379091099 1.9233466257711 0.545831258170463 1.18030378970018e-06 0.000182290543420508 "uncharacterized protein LOC105326172" "genome"
"LOC105327497" 155.808686237423 1.91587737156462 0.513973302213356 6.55495436289676e-07 0.000126448026335084 "uncharacterized protein LOC105327497" "genome"
"LOC105321903" 30.1292353302529 1.91551425417647 0.452568238648061 1.23497702206182e-07 4.84405034796343e-05 "failed axon connections homolog" "genome"
"LOC105320024" 89.1945032859752 1.91531994019904 0.514117259449664 6.60102601967779e-07 0.000126448026335084 "kunitz-type serine protease inhibitor BmKTT-3-like" "genome"
"LOC105332241" 91.0848376813925 1.91106163451794 0.442424253055206 9.02081884518626e-08 3.98059740148925e-05 "uncharacterized protein LOC105332241 isoform X1" "genome"
"LOC105338785" 323.82036540692 1.9088885310603 0.550843413981443 1.41607332207287e-06 0.000197698236507021 "transmembrane protein 65" "genome"
"LOC105344865" 137.567069349031 1.90505420866384 0.578447364569931 2.25883054323845e-06 0.000247068310938538 "uncharacterized protein PB18E9.04c isoform X2" "genome"
"LOC105348538" 38.1305715420036 1.90409886416923 0.56489258928469 1.84538848732785e-06 0.000220296593769848 "sperm receptor for egg jelly" "genome"
"LOC105335481" 118.510107862222 1.90285427511409 0.402309161242534 1.81823542480821e-08 1.33757140034977e-05 "uncharacterized protein LOC105335481 isoform X1" "genome"
"LOC105340378" 76.2428583080522 1.89839545109317 0.422790190631384 4.74259115359338e-08 2.61045106221079e-05 "CD109 antigen isoform X5" "genome"
"LOC105341658" 66.1538991113265 1.89772585400662 0.48876512830819 4.08999007115946e-07 9.76348276934265e-05 "uncharacterized protein LOC105341658" "genome"
"LOC117682309" 29.6391751425431 1.8812484549085 0.637954287677394 5.41450786175986e-06 0.000416815899601084 "uncharacterized protein LOC117682309" "genome"
"LOC105328647" 15.0492677188617 1.88046127035281 0.4976903947494 5.76897731738227e-07 0.000115900161373848 "uncharacterized protein LOC105328647" "genome"
"LOC105333169" 67.0693983551352 1.87929572048546 0.771949993418118 1.35038523602718e-05 0.000768879483121373 "uncharacterized protein LOC105333169" "genome"
"LOC105320454" 32.3533334433098 1.87295257819055 0.522831754811727 1.05587292001492e-06 0.000165137188142333 "uncharacterized protein LOC105320454" "genome"
"LOC105321226" 209.449723485911 1.86031343978296 0.511027076579919 8.97366765300174e-07 0.000148824363337803 "epidermal growth factor receptor isoform X1" "genome"
"LOC105342723" 72.8880816789196 1.85802341279061 0.468621179008686 3.1785183119407e-07 8.18170479232987e-05 "meiosis 1 arrest protein isoform X1" "genome"
"LOC109617461" 72.5077700195596 1.85260367895903 0.496729714664353 6.84968030678138e-07 0.000129207977145706 "uncharacterized protein LOC109617461" "genome"
"LOC105317867" 108.385878804634 1.84870611684119 0.553450090036633 2.16325164145764e-06 0.000239713503641523 "growth hormone secretagogue receptor type 1" "genome"
"LOC117688471" 29.9923536280898 1.84323983936735 0.543859242760425 1.9013101116954e-06 0.0002237298770005 "uncharacterized protein LOC117688471" "genome"
"LOC105318999" 142.331650089918 1.84222204890227 0.522430402278113 1.28247553473097e-06 0.000187187585321846 "WD repeat-containing protein 37 isoform X1" "genome"
"LOC105320146" 206.540829118206 1.82836669851174 0.429287739484043 1.12440009919517e-07 4.6308418085353e-05 "synaptotagmin-7" "genome"
"LOC117683097" 30.8323863924763 1.82114460934762 0.58975609295268 4.37780846922633e-06 0.000363553408742172 "uncharacterized protein LOC117683097" "genome"
"LOC117684541" 7.00238833927364 1.81979751371831 0.638278691268646 7.6970221811862e-06 0.000525417445080918 "heat shock protein 68-like" "genome"
"LOC117686973" 57.4260666653907 1.81295925337208 0.613916055969989 6.17714805423863e-06 0.000446326039673365 "uncharacterized protein LOC117686973" "genome"
"LOC105333349" 44.1401834777776 1.80558166950036 0.531770079453989 1.94393283399798e-06 0.000224469739537029 "uncharacterized protein LOC105333349" "genome"
"LOC105340204" 116.511329288084 1.79912711046235 0.464041495277695 4.32556900987663e-07 9.77410808732222e-05 "5-hydroxytryptamine receptor 6-like" "genome"
"LOC117687784" 35.4393968719735 1.79705011608904 0.410697987898391 7.14451450156946e-08 3.37371762765782e-05 "uncharacterized protein LOC117687784" "genome"
"LOC105347081" 93.9364884261587 1.79259370707195 0.559525112338083 3.37115717611353e-06 0.000308535796218301 "BTB/POZ domain-containing protein 17" "genome"
"LOC117688245" 45.4704374714499 1.78723816884146 0.502540775554635 1.22028561232096e-06 0.000185395473674586 "uncharacterized protein LOC117688245" "genome"
"LOC105346510" 59.0749937583297 1.78461558930243 0.559190598231599 3.52132796462991e-06 0.000316420128487163 "uncharacterized protein LOC105346510" "genome"
"LOC117681790" 148.113442264426 1.78370236663083 0.570357686714035 4.18550470246533e-06 0.000352996609906556 "uncharacterized protein LOC117681790" "genome"
"LOC117692398" 1926.64670759268 1.77392344453494 0.746927075872829 2.11244918316689e-05 0.0010524341081701 "histone H4" "genome"
"LOC105335241" 56.4866082877173 1.77094506318009 0.506719375643715 1.48758851971065e-06 0.000203092817185468 "LIM/homeobox protein Lhx3-like" "genome"
"LOC117688377" 69.1150624599156 1.75880249417862 0.444488214138612 3.28248328411212e-07 8.36221076636027e-05 "angiopoietin-1 receptor-like" "genome"
"LOC105338917" 41.922083785518 1.75697661814713 0.588970233669599 6.32550292802046e-06 0.000451761568943103 "homeobox protein ceh-32" "genome"
"LOC117688721" 107.291576466804 1.73978971385153 0.454028660701142 5.0445785664594e-07 0.000108397026918068 "uncharacterized protein LOC117688721" "genome"
"LOC117688115" 70.0196012382988 1.73632304825703 0.363603429060992 1.30534254852791e-08 1.29025278866693e-05 "multiple epidermal growth factor-like domains protein 10" "genome"
"LOC117692019" 14.7573700617951 1.73625686092388 0.535993422212844 3.25113729108099e-06 0.00030316548528265 "uncharacterized protein LOC117692019" "genome"
"LOC105334779" 22.4707646832943 1.73289044892595 0.614729569047698 9.87075562495505e-06 0.000611003590538394 "uncharacterized protein LOC105334779 isoform X1" "genome"
"LOC117691821" 45.4273787231351 1.728864697133 0.623224007613379 1.10549761243569e-05 0.000666291500021908 "uncharacterized protein LOC117691821" "genome"
"LOC105346227" 15.4769923128291 1.72044082586964 0.494253671926357 1.59503210593656e-06 0.000205960215782766 "uncharacterized protein LOC105346227" "genome"
"LOC105326052" 228.809313648177 1.72026817558131 0.46696014125793 8.29530837071859e-07 0.000141369217344019 "protein GDAP2 homolog isoform X1" "genome"
"LOC117680543" 220.635924502245 1.71868057657049 0.502131876143418 1.91136138203668e-06 0.000223846687732268 "uncharacterized protein LOC117680543" "genome"
"LOC105339291" 29.4488544536912 1.71599775229769 0.525340936965739 3.06039498179037e-06 0.00029199004013522 "uncharacterized protein LOC105339291" "genome"
"LOC105343434" 31.9566031545754 1.71596768607188 0.431009142228125 2.967355558294e-07 7.85829472556759e-05 "uncharacterized protein LOC105343434" "genome"
"LOC117692806" 58.7891154504094 1.71576769274198 0.543331700154186 4.18092608591751e-06 0.000352996609906556 "atrial natriuretic peptide receptor 2-like" "genome"
"LOC105343950" 18.5076091749911 1.71395913300866 0.430556957539114 2.96971856852871e-07 7.85829472556759e-05 "basic salivary proline-rich protein 3 isoform X1" "genome"
"LOC105346504" 23.9991719906735 1.71255561818456 0.441604998327295 4.2758053451091e-07 9.77410808732222e-05 "uncharacterized protein LOC105346504 isoform X1" "genome"
"LOC105319508" 15.1510855243597 1.7028707716704 0.670252608093041 1.94708857151689e-05 0.00099410135724698 "uncharacterized protein LOC105319508" "genome"
"LOC105323111" 196.630035449167 1.70185252691622 0.493676493626846 1.78540975033308e-06 0.000216054519602257 "calcium-responsive transcription factor" "genome"
"LOC105334299" 108.384930916954 1.69743379644595 0.467796196396967 9.97695868512988e-07 0.000159058468431125 "uncharacterized protein LOC105334299" "genome"
"LOC117692625" 36.3508024025204 1.69638200899906 0.796318940381331 3.72551074077136e-05 0.00148376826971445 "zinc finger protein 182-like" "genome"
"LOC105325659" 42.7377405144788 1.69395366916852 0.401224669757774 1.19165724179473e-07 4.82738395114582e-05 "beta-lactamase-like" "genome"
"LOC105343996" 112.826041709017 1.69380985486764 0.472004908279722 1.13844005722951e-06 0.000176930768894329 "uncharacterized protein LOC105343996" "genome"
"LOC117685572" 28.9182404757997 1.69374917267561 0.670406416259685 2.04915923368221e-05 0.00103494192355963 "uncharacterized protein LOC117685572" "genome"
"LOC105329802" 58.1175015518051 1.69201473903202 0.485424051795744 1.58753827843434e-06 0.000205960215782766 "guanylate cyclase 32E-like isoform X1" "genome"
"LOC105317730" 78.6279859075721 1.68783562243937 0.495819996044818 2.05509981734776e-06 0.000232952163240736 "neurogenic locus notch homolog protein 1" "genome"
"LOC105325923" 39.0161214340665 1.68673480145755 0.654600688080247 1.87733870892362e-05 0.000970521272724093 "uncharacterized protein LOC105325923" "genome"
"LOC105331186" 12.4282225618527 1.68139722669856 0.591718296758083 1.02053675259783e-05 0.000625768826140071 "tyrosinase-like protein 2" "genome"
