Date,Tank.ID,Geoduck_ID,All_Treatment,Primary_Treatment,Second_Treament,Third_Treatment,Time,Number.animals,Box.position,Storage.Box.ID,Extracted_(X_done),Date_extraction,Qubit_RNA_Quantity,RNA_Quality_TapeStation,Qubit_DNA_Quantity,DNA_Quality_Gel,,Link to Extraction Notebook
20190724,H1_T8,29,A,A,NA,NA,Day0,1,E7,Sam Gurr 2019 Thresholds Geoduck BOX #15,X,20200826,92.9,Yes,30.1,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200826-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190724,H1_T6,22,A,A,NA,NA,Day0,1,I6,Sam Gurr 2019 Thresholds Geoduck BOX #14,X,20200909,218,Yes,NA,Yes,,https://github.com/SamGurr/SamJGurr_Lab_Notebook/blob/master/_posts/2020-09-14-20200909-Juvenile-Panopea-generosa-DNA-RNA-Extractions.md
20190724,H1_T4,15,A,A,NA,NA,Day0,1,I2,Sam Gurr 2019 Thresholds Geoduck BOX #1,X,20200910,68,Yes,23.5,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200910-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190724,H1_T2,7,A,A,NA,NA,Day0,1,G4,Sam Gurr 2019 Thresholds Geoduck BOX #1,X,20200923,68.4,Yes,29.4,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200923-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190724,H1_T3,10,M,M,NA,NA,Day0,1,D9,Sam Gurr 2019 Thresholds Geoduck BOX #1,X,20200826,183,Yes,39.9,Low,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200826-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190724,H1_T5,18,M,M,NA,NA,Day0,1,G6,Sam Gurr 2019 Thresholds Geoduck BOX #1,X,20200909,139.5,Yes,43.8,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200909-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190724,H1_T7,27,M,M,NA,NA,Day0,1,A2,Sam Gurr 2019 Thresholds Geoduck BOX #14,X,20200910,157,Yes,38.3,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200910-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190724,H1_T1,1,M,M,NA,NA,Day0,1,I6,Sam Gurr 2019 Thresholds Geoduck BOX #1,X,20200917,39.15,Yes,23.6,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200917-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,25,417,AA,A,A,NA,Day7,1,C6,Sam Gurr 2019 Thresholds Geoduck BOX #12,X,20200823,132,Yes,56,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200824-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,33,451,AA,A,A,NA,Day7,1,F4,Sam Gurr 2019 Thresholds Geoduck BOX #3,X,20200823,73.3,Yes,24.4,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200824-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,36,462,AA,A,A,NA,Day7,1,A3,Sam Gurr 2019 Thresholds Geoduck BOX #2,X,20200826,40.75,Yes,19.55,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200826-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,30,439,AA,A,A,NA,Day7,1,F7,Sam Gurr 2019 Thresholds Geoduck BOX #3,X,20200910,82,Yes,31.3,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200910-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,34,453,AA,A,A,NA,Day7,1,G8,Sam Gurr 2019 Thresholds Geoduck BOX #2,X,20200918,156,Yes,80.2,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200923-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,26,422,AA,A,A,NA,Day7,1,D8,Sam Gurr 2019 Thresholds Geoduck BOX #4,X,20200923,131,Yes,43.3,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200923-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,10,359,AM,A,M,NA,Day7,1,A8,Sam Gurr 2019 Thresholds Geoduck BOX #1,X,20200823,136.5,Yes,41.6,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200824-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,12,367,AM,A,M,NA,Day7,1,C9,Sam Gurr 2019 Thresholds Geoduck BOX #13,X,20200823,132.5,Yes,44.9,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200824-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,6,343,AM,A,M,NA,Day7,1,C3,Sam Gurr 2019 Thresholds Geoduck BOX #15,X,20200826,89.6,Yes,50.7,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200826-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,5,362,AM,A,M,NA,Day7,1,G4,Sam Gurr 2019 Thresholds Geoduck BOX #12,X,20200902,230,Yes,54.5,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200903-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,11,339,AM,A,M,NA,Day7,1,I1,Sam Gurr 2019 Thresholds Geoduck BOX #14,X,20200909,32.5,Yes,15.05,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200909-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,4,334,AM,A,M,NA,Day7,1,G7,Sam Gurr 2019 Thresholds Geoduck BOX #13,X,20200918,114.5,Yes,41.2,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200923-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,15,379,AS,A,S,NA,Day7,1,A1,Sam Gurr 2019 Thresholds Geoduck BOX #14,X,20200823,17.5,Yes,11.15,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200824-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,21,402,AS,A,S,NA,Day7,1,I8,Sam Gurr 2019 Thresholds Geoduck BOX #2,X,20200823,23.1,Yes,12.45,Low,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200824-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,14,374,AS,A,S,NA,Day7,1,B2,Sam Gurr 2019 Thresholds Geoduck BOX #15,X,20200826,69.4,Yes,35.3,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200826-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,19,393,AS,A,S,NA,Day7,1,B7,Sam Gurr 2019 Thresholds Geoduck BOX #13,X,20200902,239,Yes,72.4,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200903-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,24,414,AS,A,S,NA,Day7,1,D8,Sam Gurr 2019 Thresholds Geoduck BOX #15,X,20200910,116,Yes,52.3,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200910-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,16,381,AS,A,S,NA,Day7,1,I2,Sam Gurr 2019 Thresholds Geoduck BOX #2,X,20200918,97.9,Yes,38.2,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200923-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
