"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj" "description" "feature" "treatment"
"LOC105348135" 147.35368388978 3.50729533282563 0.6615416809434 1.58391949164836e-10 9.625208325468e-08 "uncharacterized protein LOC105348135" "genome" "triploid_heat"
"LOC105327005" 83.5171506213858 3.44554917574987 0.698179806382959 9.49859304225204e-10 4.64034207152372e-07 "transient receptor potential cation channel subfamily M member 2-like" "genome" "triploid_heat"
"LOC117681374" 14.1528861862384 3.09348569361114 0.62002024574082 1.30835252676485e-09 6.15049117063136e-07 "uncharacterized protein LOC117681374 isoform X1" "genome" "triploid_heat"
"LOC105344998" 88.6531302617077 3.05024747991955 0.4710126272396 3.49492244644938e-13 3.62816636472026e-10 "uncharacterized protein LOC105344998 isoform X2" "genome" "triploid_heat"
"LOC117687101" 27.1727376730457 2.9861265979508 0.539021133916062 9.41553000246492e-11 6.17336657924772e-08 "uncharacterized protein LOC117687101" "genome" "triploid_heat"
"LOC105319646" 76.6895129521097 2.9595904484778 0.631796554996793 5.88993566141059e-09 2.36689914522653e-06 "C-type lectin domain family 4 member M isoform X7" "genome" "triploid_heat"
"LOC117687184" 6.42416735826229 2.8493565838614 1.07351404347086 9.85630346563724e-07 0.000179248029814855 "uncharacterized protein LOC117687184" "genome" "triploid_heat"
"LOC117688394" 4.57024270451862 2.66699417197676 1.53351751875233 1.79172501688469e-06 0.000303161764073381 "uncharacterized protein LOC117688394" "genome" "triploid_heat"
"LOC117680708" 58.6211896738252 2.3775847076726 0.222208729764114 7.53412547105904e-29 1.87712736111436e-24 "serine/arginine-rich splicing factor 1-like" "genome" "triploid_heat"
"LOC105343642" 15.872882736796 2.31837149909873 0.804559187907806 2.30681049146154e-06 0.000370801183192027 "cerebellin-2-like" "genome" "triploid_heat"
"LOC105318831" 66.2994982264048 2.21735888651151 0.47866072659269 1.89814170117147e-08 6.48595814600721e-06 "epithelial membrane protein 3" "genome" "triploid_heat"
"LOC117692755" 83.9923866651415 2.17816869239489 0.476532746952418 2.57040569719454e-08 8.42653394021077e-06 "uncharacterized protein LOC117692755" "genome" "triploid_heat"
"LOC117691401" 6.28275778123328 2.12853447576841 1.31504034694621 1.0718167033622e-05 0.00133521565821347 "deleted in malignant brain tumors 1 protein-like" "genome" "triploid_heat"
"LOCNA.14" 1847.01649717203 2.05806738684095 0.197129674712693 2.26271266760888e-27 1.87918287044917e-23 NA NA "triploid_heat"
"LOC105340370" 1043.38874910176 1.98505712678957 0.206647628789291 1.27903627540139e-23 7.96679720040641e-20 "78 kDa glucose-regulated protein precursor" "genome" "triploid_heat"
"LOC105337016" 150.032325568123 1.95318165218854 0.322070482007815 1.91926187988367e-11 1.40642381580299e-08 "cyclic AMP-dependent transcription factor ATF-3" "genome" "triploid_heat"
"LOC105345989" 1667.63132650715 1.94350046069166 0.286851790070846 2.06652794772257e-13 2.35368369225434e-10 "heat shock protein 83-like" "genome" "triploid_heat"
"LOC105318237" 162.101799809288 1.91638021405229 0.709357049539224 6.14096098900409e-06 0.000840670566159543 "trichohyalin isoform X1" "genome" "triploid_heat"
"LOC105341388" 97.9763727993763 1.86945995484288 0.222097959094419 8.74385194484331e-19 2.17853071205771e-15 "protein disulfide-isomerase A6 isoform X1" "genome" "triploid_heat"
"LOC105328062" 11.4551357948543 1.86818238105904 0.564344146297755 1.80084050101788e-06 0.000303161764073381 "baculoviral IAP repeat-containing protein 2" "genome" "triploid_heat"
"LOC117680291" 1779.27275781209 1.8650227860615 0.283330078311021 8.88180268377483e-13 8.511158225625e-10 "heat shock protein 83-like" "genome" "triploid_heat"
"LOC105330649" 45.5836655692436 1.86474092571843 0.464228281914228 2.60569949549144e-07 6.01120397501567e-05 "galaxin-like" "genome" "triploid_heat"
"LOC105327001" 5.67618601168235 1.85952669753346 0.72732127078546 8.71950680665862e-06 0.00114548258673843 "glutathione-specific gamma-glutamylcyclotransferase 2" "genome" "triploid_heat"
"LOC105317856" 4.42359971952096 1.83761282887755 0.872481810539307 1.84805099370245e-05 0.00199616158390049 "uncharacterized protein LOC105317856" "genome" "triploid_heat"
"LOC117691990" 5.33558739923285 1.80321925482759 0.898118030794728 2.25092256697086e-05 0.00234651614042171 "uncharacterized protein LOC117691990" "genome" "triploid_heat"
"LOC105327678" 265.153422234451 1.78347705901101 0.311150440366085 1.71301819322541e-10 1.01618686390979e-07 "uncharacterized protein LOC105327678" "genome" "triploid_heat"
