gene	padj	log2FoldChange	description	product_accession	GeneID	genomic_accession	start	end	GOID	GOterm	GOSlim	GOcat
LOC105318398	2.00186882548259e-09	3.76772331521459	latrophilin Cirl-like	XM_034456012.1	105318398	NC_047568.1	9651521	9654660	GO:0001674	female germ cell nucleus	nucleus	C
LOC105318398	2.00186882548259e-09	3.76772331521459	latrophilin Cirl-like	XM_034456012.1	105318398	NC_047568.1	9651521	9654660	GO:0005534	galactose binding	other molecular function	F
LOC105318398	2.00186882548259e-09	3.76772331521459	latrophilin Cirl-like	XM_034456012.1	105318398	NC_047568.1	9651521	9654660	GO:0005623	cell	other cellular component	C
LOC105318398	2.00186882548259e-09	3.76772331521459	latrophilin Cirl-like	XM_034456012.1	105318398	NC_047568.1	9651521	9654660	GO:0005737	cytoplasm	other cellular component	C
LOC105318398	2.00186882548259e-09	3.76772331521459	latrophilin Cirl-like	XM_034456012.1	105318398	NC_047568.1	9651521	9654660	GO:0033296	rhamnose binding	other molecular function	F
LOC105318398	2.00186882548259e-09	3.76772331521459	latrophilin Cirl-like	XM_034456012.1	105318398	NC_047568.1	9651521	9654660	GO:0042564	NLS-dependent protein nuclear import complex	other cellular component	C
LOC105318398	2.00186882548259e-09	3.76772331521459	latrophilin Cirl-like	XM_034456012.1	105318398	NC_047568.1	9651521	9654660	GO:0042803	protein homodimerization activity	other molecular function	F
LOC105318398	2.00186882548259e-09	3.76772331521459	latrophilin Cirl-like	XM_034456012.1	105318398	NC_047568.1	9651521	9654660	GO:0060473	cortical granule	other cellular component	C
LOC117690682	1.7434654373918e-07	3.54317854563011	uncharacterized protein LOC117690682	XM_034475143.1	117690682	NC_047563.1	14290070	14433366	GO:0004833	tryptophan 2,3-dioxygenase activity	other molecular function	F
LOC117690682	1.7434654373918e-07	3.54317854563011	uncharacterized protein LOC117690682	XM_034475143.1	117690682	NC_047563.1	14290070	14433366	GO:0019441	tryptophan catabolic process to kynurenine	other metabolic processes	P
