"gene" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "description" "feature" "treatment"
"LOC117680708" 58.6211896738252 2.06852565299465 0.183902751718606 11.1454749377778 7.53412547105904e-29 1.39245706956113e-24 "serine/arginine-rich splicing factor 1-like" "genome" "triploid_heat"
"LOC105327215" 29.8635293140644 2.04438555561936 0.236240053611986 1.92184157930072 0.0546256946669797 0.29641576301677 "uncharacterized protein LOC105327215" "genome" "triploid_heat"
"LOCNA.14" 1847.01649717203 1.84825646182456 0.170372881544748 10.8384503559205 2.26271266760888e-27 1.39398185075824e-23 NA NA "triploid_heat"
"LOC105344998" 88.6531302617077 1.7875680834306 0.250589242326124 7.27380815102822 3.49492244644938e-13 2.80839811544684e-10 "uncharacterized protein LOC105344998 isoform X2" "genome" "triploid_heat"
"LOC105340370" 1043.38874910176 1.76818243495813 0.176324091215242 10.0173362856516 1.27903627540139e-23 5.90978711049212e-20 "78 kDa glucose-regulated protein precursor" "genome" "triploid_heat"
"LOC105341388" 97.9763727993763 1.64284922609412 0.185116019208938 8.85010305236886 8.74385194484331e-19 1.61603871644594e-15 "protein disulfide-isomerase A6 isoform X1" "genome" "triploid_heat"
"LOC117687101" 27.1727376730457 1.59043048885987 0.250991357261249 6.47604929221094 9.41553000246492e-11 4.70318447312315e-08 "uncharacterized protein LOC117687101" "genome" "triploid_heat"
"LOC105345989" 1667.63132650715 1.58624611755056 0.215655220466531 7.34442029552328 2.06652794772257e-13 1.82910888259202e-10 "heat shock protein 83-like" "genome" "triploid_heat"
"LOC117680291" 1779.27275781209 1.53381505999698 0.214291492573698 7.14680945777463 8.88180268377483e-13 6.56613908806106e-10 "heat shock protein 83-like" "genome" "triploid_heat"
"LOC105325010" 226.173602375291 1.50307807145299 0.204894407776198 7.32126288364111 2.45648073805967e-13 2.06366713640086e-10 "hypoxia up-regulated protein 1 isoform X2" "genome" "triploid_heat"
"LOCNA.11" 145.100344019119 -1.52813054278337 0.181870819431393 -8.39531454722028 4.64648649587519e-17 7.15636361806378e-14 NA NA "triploid_heat"
"LOC105327620" 9.0088199471752 -1.58380833102919 0.233543211831781 0.199408139996951 0.841943493552261 0.949466083826523 "uncharacterized protein LOC105327620 isoform X1" "genome" "triploid_heat"
"LOC117687738" 15.068499751389 -1.60318056400237 0.183771315993179 0.236791869045787 0.81281825975801 0.940003963652553 "ryncolin-4-like" "genome" "triploid_heat"
"LOC105339575" 42.2132342444042 -1.65848920687146 0.211279246477158 -7.80615380980827 5.89596200942554e-15 7.26461132388019e-12 "betaine--homocysteine S-methyltransferase 1" "genome" "triploid_heat"
"LOC105346426" 9.81004409304916 -1.67523376147495 0.229608514448406 -3.53038395591314 0.000414957000426973 0.0150082882228793 "uncharacterized protein LOC105346426 isoform X2" "genome" "triploid_heat"
"LOC105338755" 331.663766762101 -1.6820915943379 0.168686337720932 -9.97274356180091 2.00609346454303e-23 7.41532388233686e-20 "short-chain collagen C4-like" "genome" "triploid_heat"
"LOC105329085" 647.672467718882 -1.76541916638595 0.187193458533045 -9.44954041087508 3.40321645906306e-21 7.86228082455043e-18 "high mobility group-T protein" "genome" "triploid_heat"
"LOC105320276" 318.67131352695 -1.94087865080348 0.20051310642128 -9.70838825664316 2.77693301223833e-22 7.33189656174127e-19 "translation initiation factor IF-2-like isoform X7" "genome" "triploid_heat"
"LOC105318074" 429.229993947576 -2.53050985382677 0.237255414754131 -11.0642359824284 1.87050056558527e-28 1.72852957265735e-24 "perlucin-like protein" "genome" "triploid_heat"
"LOC117684652" 9.71011879683018 -2.74439177790053 0.220019261107057 1.17744859156179 0.239016504975592 0.587008971489419 "uncharacterized protein LOC117684652" "genome" "triploid_heat"
