"gene" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "description" "feature" "treatment"
"LOC105327005" 83.5171506213858 4.38410748527998 0.716636654704361 6.11761547012772 9.49859304225204e-10 3.58058963320733e-07 "transient receptor potential cation channel subfamily M member 2-like" "genome" "triploid_heat"
"LOC105348135" 147.35368388978 4.35607642755961 0.680949224519624 6.39706496564792 1.58391949164836e-10 7.46342864464705e-08 "uncharacterized protein LOC105348135" "genome" "triploid_heat"
"LOC105319646" 76.6895129521097 3.66850375208699 0.630343011213991 5.81985313840752 5.88993566141059e-09 1.85022512243778e-06 "C-type lectin domain family 4 member M isoform X7" "genome" "triploid_heat"
"LOC117687101" 27.1727376730457 3.50290223617255 0.540901107776566 6.47604929221094 9.41553000246492e-11 4.7963218780124e-08 "uncharacterized protein LOC117687101" "genome" "triploid_heat"
"LOC105344998" 88.6531302617077 3.44457305105387 0.473558413905507 7.27380815102822 3.49492244644938e-13 2.86401296829034e-10 "uncharacterized protein LOC105344998 isoform X2" "genome" "triploid_heat"
"LOC105318237" 162.101799809288 2.65763761151914 0.587780843323322 4.52147708062892 6.14096098900409e-06 0.00066904527584248 "trichohyalin isoform X1" "genome" "triploid_heat"
"LOC105318831" 66.2994982264048 2.612523886483 0.464776108051748 5.62103740107079 1.89814170117147e-08 5.04478932987589e-06 "epithelial membrane protein 3" "genome" "triploid_heat"
"LOC105324591" 24.8956877369051 2.6016527145813 0.737966494697673 3.52543473623031 0.000422788338262911 0.0152950376191542 "multiple epidermal growth factor-like domains protein 11 isoform X1" "genome" "triploid_heat"
"LOC117692755" 83.9923866651415 2.56976746735268 0.461488449558404 5.56843290403406 2.57040569719454e-08 6.54689278117873e-06 "uncharacterized protein LOC117692755" "genome" "triploid_heat"
"LOC117680708" 58.6211896738252 2.46449659588018 0.221120823440795 11.1454749377778 7.53412547105904e-29 1.42003196878521e-24 "serine/arginine-rich splicing factor 1-like" "genome" "triploid_heat"
"LOC117681741" 147.26206156913 2.45265310606429 0.696178136877001 3.52302518011653 0.000426650823559054 0.0153171708998877 "uncharacterized protein LOC117681741" "genome" "triploid_heat"
"LOC105338176" 14.0939394586012 2.44473539164521 0.763035994079811 3.20395814956732 0.00135552179067384 0.034644868083536 "transmembrane protease serine 2" "genome" "triploid_heat"
"LOC117691043" 15.1528997916381 2.44448739008092 0.851079995669123 2.87221812581677 0.00407601519793531 0.0704976475618502 "caprin-2-like" "genome" "triploid_heat"
"LOC105326635" 40.0383321597758 2.43193621442983 0.547093635906779 4.44519192843292 8.78134353068596e-06 0.000914424104234083 "basic salivary proline-rich protein 4" "genome" "triploid_heat"
"LOC105328062" 11.4551357948543 2.37650855859001 0.497742066705281 4.77457847660115 1.80084050101788e-06 0.000237358334008287 "baculoviral IAP repeat-containing protein 2" "genome" "triploid_heat"
"LOC105330649" 45.5836655692436 2.23274338766779 0.433547465329232 5.14993989406043 2.60569949549144e-07 4.63322868783232e-05 "galaxin-like" "genome" "triploid_heat"
"LOC105343637" 30.9396478193157 2.22781138804047 0.791704064982262 2.81394461210754 0.0048937659532097 0.0789706341490552 "complement C1q tumor necrosis factor-related protein 2" "genome" "triploid_heat"
"LOC117680342" 66.1639543097452 2.19281932709871 1.06514293953708 2.05870897294942 0.0395221261385103 0.250306798877232 "uncharacterized protein LOC117680342" "genome" "triploid_heat"
"LOC105321541" 333.921080492409 2.16754904145922 0.436500849022104 4.96573843170109 6.84401490054686e-07 9.99968936786878e-05 "uncharacterized protein LOC105321541" "genome" "triploid_heat"
"LOC105337016" 150.032325568123 2.14198638323157 0.319126135106763 6.71203686440464 1.91926187988367e-11 1.0961893306681e-08 "cyclic AMP-dependent transcription factor ATF-3" "genome" "triploid_heat"
"LOCNA.14" 1847.01649717203 2.1292170871739 0.196450324285594 10.8384503559205 2.26271266760888e-27 1.42158694530307e-23 NA NA "triploid_heat"
"LOC117680792" 20.8772295624547 2.12492793298944 0.858949078310183 2.47386950710725 0.0133658506829709 0.140545031070396 "uncharacterized protein LOC117680792" "genome" "triploid_heat"
"LOC105323668" 66.4731086466038 2.1152516359919 1.06035774385581 1.9948471619589 0.0460595518100054 0.273224447178498 "uncharacterized protein LOC105323668" "genome" "triploid_heat"
"LOC105345989" 1667.63132650715 2.09427870851086 0.285152350252532 7.34442029552328 2.06652794772257e-13 1.86533082020855e-10 "heat shock protein 83-like" "genome" "triploid_heat"
"LOC117690222" 27.4026415923616 2.09383683042042 0.738450029718528 2.8354482309636 0.00457614309950449 0.0755865381528159 "short-chain collagen C4-like" "genome" "triploid_heat"
"LOC105340370" 1043.38874910176 2.06376869136391 0.206019707486507 10.0173362856516 1.27903627540139e-23 6.02681892969135e-20 "78 kDa glucose-regulated protein precursor" "genome" "triploid_heat"
"LOC105319208" 245.127096067266 2.06224225826352 0.408589527234473 5.04722250768823 4.48279169454099e-07 7.04097148822571e-05 "spliceosome RNA helicase DDX39B" "genome" "triploid_heat"
"LOC117684211" 10.1483908759197 2.04924683396978 0.543010088796208 3.77386512009884 0.00016073768659852 0.00796909506494398 "hemicentin-2-like" "genome" "triploid_heat"
"LOC105328057" 13.1699632060778 2.04712675520115 0.611788255809437 3.34613607855656 0.000819461692301177 0.0237984807033784 "uncharacterized protein LOC105328057" "genome" "triploid_heat"
"LOC117680291" 1779.27275781209 2.01303580505847 0.281669158377882 7.14680945777463 8.88180268377483e-13 6.69616867935152e-10 "heat shock protein 83-like" "genome" "triploid_heat"
"LOC109620948" 155.673220392317 2.00483246086713 0.559394413681652 3.58393364651665 0.000338458101234735 0.0134282614167955 "uncharacterized protein LOC109620948" "genome" "triploid_heat"
"LOC105328056" 27.3229745722557 1.99867115420328 0.457273147884713 4.37084741023801 1.2376526444142e-05 0.00120243696092365 "uncharacterized protein LOC105328056 isoform X2" "genome" "triploid_heat"
"LOC105327678" 265.153422234451 1.96157145267937 0.307211465935916 6.38508542219758 1.71301819322541e-10 7.87486997705185e-08 "uncharacterized protein LOC105327678" "genome" "triploid_heat"
"LOC105341388" 97.9763727993763 1.96110336538606 0.221591020328417 8.85010305236886 8.74385194484331e-19 1.64804121456407e-15 "protein disulfide-isomerase A6 isoform X1" "genome" "triploid_heat"
"LOC109618415" 246.017372234139 1.94927684989717 0.759194092835187 2.56756061235627 0.0102416882510239 0.121482278260099 "uncharacterized protein LOC109618415" "genome" "triploid_heat"
"LOC105336293" 17.7002257507456 1.94871810311519 0.384565208180819 5.06732814529316 4.0343845681265e-07 6.55517933965934e-05 "uncharacterized protein LOC105336293" "genome" "triploid_heat"
"LOC105343643" 94.930585596913 1.91924557972716 0.639541582711275 3.00097074468669 0.00269120419485265 0.0543663629845474 "complement C1q tumor necrosis factor-related protein 7" "genome" "triploid_heat"
"LOC105341658" 15.0535532369213 1.9178782159806 0.545511187132164 3.51574497685956 0.000438521986624337 0.0155654659207072 "uncharacterized protein LOC105341658" "genome" "triploid_heat"
"LOC105325010" 226.173602375291 1.90265300976948 0.259880438663231 7.32126288364111 2.45648073805967e-13 2.10453404322494e-10 "hypoxia up-regulated protein 1 isoform X2" "genome" "triploid_heat"
"LOC105320370" 25.1038823084367 1.89964243301538 0.741948627572091 2.56034226956071 0.0104569119458439 0.1226588778784 "uncharacterized protein LOC105320370" "genome" "triploid_heat"
"LOC105323139" 2540.44912457103 1.89720331670517 0.27427350802654 6.91719492106977 4.60674042228817e-12 2.99406356825129e-09 "uncharacterized protein LOC105323139" "genome" "triploid_heat"
"LOC109619796" 18.5780484493329 1.89290644905504 1.16047500203424 1.631147974525 0.102859099863233 0.409610884052866 "uncharacterized protein LOC109619796" "genome" "triploid_heat"
"LOC105339484" 19.7014859490187 1.87960350771439 0.573888405388453 3.27520732265382 0.00105584456168626 0.0286751560499462 "multiple epidermal growth factor-like domains protein 10" "genome" "triploid_heat"
"LOC105329833" 19.316516626171 1.87892424251532 0.612396977239775 3.06814748006121 0.0021539028949888 0.0462377696637232 "D-beta-hydroxybutyrate dehydrogenase-like" "genome" "triploid_heat"
"LOC117693002" 28.15544926405 1.83257835609626 0.625923729122316 2.92779818184229 0.0034137155112807 0.0628951221472323 "uncharacterized protein LOC117693002" "genome" "triploid_heat"
"LOC105332206" 11.7330422352008 1.81632705485073 0.408766803358278 4.44343092425426 8.85355896563919e-06 0.000916878458155865 "uncharacterized protein LOC105332206" "genome" "triploid_heat"
"LOC117680568" 34.4112502554985 1.80927013915785 0.472865987929565 3.82617947862925 0.000130147416135704 0.00703653170606159 "uncharacterized protein LOC117680568" "genome" "triploid_heat"
"LOC105342525" 174.58782753347 1.79854505757473 0.302776345788503 5.94017690810979 2.84714663000381e-09 9.93759623746514e-07 "uncharacterized protein LOC105342525" "genome" "triploid_heat"
"LOC105349001" 16.3696863294667 1.79340144846162 0.649571868015806 2.76089765700565 0.0057642736491068 0.0866387796956658 "hemagglutinin/amebocyte aggregation factor-like isoform X2" "genome" "triploid_heat"
"LOC117692918" 10.3681326576172 1.77555123435694 0.527372814059561 3.36678567233921 0.000760497688591898 0.0227576891351304 "uncharacterized protein LOC117692918" "genome" "triploid_heat"
"LOC109619317" 16.133509380075 1.75511928892999 0.680927712490476 2.5775412818942 0.00995059949261917 0.119654259968402 "uncharacterized protein LOC109619317" "genome" "triploid_heat"
"LOC105341931" 9.19310776270182 1.74115232285603 0.565361417175322 3.07971550580022 0.0020719840948351 0.0451999493280695 "ras-related protein Rab-11A" "genome" "triploid_heat"
"LOC117684862" 42.1850823166009 1.74075296059524 0.610846923556885 2.84973680551431 0.00437554201555724 0.0735827385166245 "protein PML-like" "genome" "triploid_heat"
"LOC117690182" 7.46104331367055 1.73285100546808 0.72471954248607 2.39106427228901 0.0167996116690959 0.159214027831355 "uncharacterized protein LOC117690182" "genome" "triploid_heat"
"LOC105326444" 101.27564292688 1.73120323094965 0.464242027532815 3.72909630812622 0.000192167701236082 0.00874873631134703 "C-type lectin domain family 7 member A-like" "genome" "triploid_heat"
"LOC109619835" 8.16493499456642 1.73033612052685 0.488415257318274 3.5427560761053 0.000395968773575722 0.0147786523650598 "uncharacterized protein LOC109619835" "genome" "triploid_heat"
"LOC105324347" 35.0916680936691 1.73021619679033 0.556934996613584 3.10667529839357 0.00189204092603304 0.042708008830983 "LOW QUALITY PROTEIN: medium-chain acyl-CoA ligase ACSF2, mitochondrial" "genome" "triploid_heat"
"LOC105343639" 32.0358920913775 1.72985780553024 0.691818936377302 2.50044876566781 0.0124036072749156 0.13518007867585 "multimerin-2" "genome" "triploid_heat"
"LOC117684743" 37.1928846780084 1.72086775566242 0.719529194930535 2.39165800051874 0.0167724630451076 0.159177937298182 "multiple epidermal growth factor-like domains protein 10" "genome" "triploid_heat"
