"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj" "description" "feature" "treatment"
"LOC105348135" 156.892102071824 4.10408739286144 0.727696639388121 7.88073321310097e-10 2.30730355739123e-07 "uncharacterized protein LOC105348135" "genome" "triploid_heat"
"LOC105327005" 88.9289448083244 4.10253422836767 0.764517972591885 3.71859342704802e-09 8.90772152751958e-07 "transient receptor potential cation channel subfamily M member 2-like" "genome" "triploid_heat"
"LOC117681374" 15.1280187629717 3.45536915331548 0.643387015832489 3.63090138339653e-09 8.81210210746697e-07 "uncharacterized protein LOC117681374 isoform X1" "genome" "triploid_heat"
"LOC105319646" 82.1384765703941 3.3236170879331 0.629325121877884 5.94267334983718e-09 1.33673914558228e-06 "C-type lectin domain family 4 member M isoform X7" "genome" "triploid_heat"
"LOC117687101" 28.9310167193989 3.27270138304678 0.56850595549273 4.49388933052043e-10 1.38149647835749e-07 "uncharacterized protein LOC117687101" "genome" "triploid_heat"
"LOC105344998" 94.6456470672526 3.23931160078042 0.492403966950591 2.39679359747883e-12 1.30026052663226e-09 "uncharacterized protein LOC105344998 isoform X2" "genome" "triploid_heat"
"LOC117681741" 145.543433889581 2.83402279394475 0.693067533204709 1.80337383289291e-06 0.000168848885013755 "uncharacterized protein LOC117681741" "genome" "triploid_heat"
"LOC117692755" 86.0709427896802 2.7301809777058 0.451079389263198 7.18277365063977e-11 2.88013608665327e-08 "uncharacterized protein LOC117692755" "genome" "triploid_heat"
"LOC105318831" 69.1787493341747 2.55352815862802 0.489880668290449 8.90956781402533e-09 1.88893078539882e-06 "epithelial membrane protein 3" "genome" "triploid_heat"
"LOC105318237" 171.124237168183 2.36097483205743 0.651297113868507 1.17770011104209e-05 0.000819723718798917 "trichohyalin isoform X1" "genome" "triploid_heat"
"LOC117680708" 62.5312553906294 2.34622743485107 0.19927144903615 3.18410123742144e-33 4.57971057710118e-29 "serine/arginine-rich splicing factor 1-like" "genome" "triploid_heat"
"LOC105330352" 247.088971838487 2.34602033484348 0.509203189884352 1.85167703979045e-07 2.47494079702427e-05 "uncharacterized protein LOC105330352" "genome" "triploid_heat"
"LOC105330030" 207.866479342471 2.32030439506386 0.406049389851736 5.5140330716906e-10 1.66731704930054e-07 "uncharacterized protein LOC105330030" "genome" "triploid_heat"
"LOC105319208" 246.900230006057 2.26000836581348 0.381651050172975 1.66737294900586e-10 5.80277246121e-08 "spliceosome RNA helicase DDX39B" "genome" "triploid_heat"
"LOC105337016" 153.831776347211 2.25026531801024 0.303187066513594 6.15539545848961e-15 6.30757051288005e-12 "cyclic AMP-dependent transcription factor ATF-3" "genome" "triploid_heat"
"LOC105328062" 11.9002437188232 2.24982420256409 0.539640690270132 1.41065396109259e-06 0.000136944801643962 "baculoviral IAP repeat-containing protein 2" "genome" "triploid_heat"
"LOC105330649" 47.2326399973484 2.16550742624453 0.459224451129211 1.10769649736569e-07 1.54783802226592e-05 "galaxin-like" "genome" "triploid_heat"
"LOC105321541" 344.172702091733 2.15301829243154 0.454004671718863 1.00305966342138e-07 1.43421980556646e-05 "uncharacterized protein LOC105321541" "genome" "triploid_heat"
"LOC117687174" 11.1450456858024 2.14651815215103 0.678834776351614 6.13379236665079e-05 0.00292107136893325 "uncharacterized protein LOC117687174" "genome" "triploid_heat"
"LOCNA.14" 1950.9732520018 2.04807270972298 0.198611101236607 2.37820323145209e-26 6.26656551487625e-23 NA NA "triploid_heat"
"LOC105326635" 42.8529878399247 2.04748070162947 0.553862347948747 9.16513027662709e-06 0.000660354796689011 "basic salivary proline-rich protein 4" "genome" "triploid_heat"
"LOC105341388" 100.994263154446 2.02691786045718 0.211507925534657 5.63651277646837e-23 1.29956847702449e-19 "protein disulfide-isomerase A6 isoform X1" "genome" "triploid_heat"
"LOC105340370" 1099.52486888899 1.99546884777177 0.212802197298956 3.92701065089185e-22 7.24337114557003e-19 "78 kDa glucose-regulated protein precursor" "genome" "triploid_heat"
"LOC105345989" 1762.50700569179 1.96957608020172 0.296496416427227 1.79112635488928e-12 1.0324164254979e-09 "heat shock protein 83-like" "genome" "triploid_heat"
"LOC105336293" 18.0816706045121 1.96156033394625 0.395407686925709 3.77482481904249e-08 6.27267061146295e-06 "uncharacterized protein LOC105336293" "genome" "triploid_heat"
"LOC105324591" 26.5040235623927 1.94519100075591 0.907440943009842 0.000887909953077505 0.0195669045215228 "multiple epidermal growth factor-like domains protein 11 isoform X1" "genome" "triploid_heat"
"LOC117688712" 13.9681756557497 1.93936677140689 0.800861076061215 0.000499024068639146 0.0130560268738284 "multiple epidermal growth factor-like domains protein 6" "genome" "triploid_heat"
"LOC105323139" 2633.76488382019 1.8995993446573 0.280101727854574 6.50773648590665e-13 4.00117331608494e-10 "uncharacterized protein LOC105323139" "genome" "triploid_heat"
"LOC117680291" 1884.802219928 1.87130313357159 0.287649400586707 4.53528087174446e-12 2.32370154664796e-09 "heat shock protein 83-like" "genome" "triploid_heat"
"LOC117691130" 183.08928401393 1.86025937816341 0.596669371319373 7.15200403210864e-05 0.00327341723008049 "uncharacterized protein LOC117691130 isoform X1" "genome" "triploid_heat"
"LOC105327678" 278.796944350562 1.84828743975322 0.326970785403027 8.40986322958634e-10 2.41741882260834e-07 "uncharacterized protein LOC105327678" "genome" "triploid_heat"
"LOC105322807" 15.3432147297938 1.84562232973711 0.37074120906962 3.52820739673221e-08 5.97043903052529e-06 "uncharacterized protein LOC105322807" "genome" "triploid_heat"
"LOC105347143" 42.3882785669223 1.82946856079385 0.384559970449885 9.32881505037008e-08 1.35040502309102e-05 "uncharacterized protein LOC105347143" "genome" "triploid_heat"
"LOC105337716" 40.6818012060015 1.82578903432107 0.509708299449146 1.42937051294438e-05 0.000951795635785527 "transcription factor jun-B isoform X1" "genome" "triploid_heat"
"LOC105325010" 237.636648454971 1.81595954828579 0.274086991504969 1.96579610889011e-12 1.09876088571145e-09 "hypoxia up-regulated protein 1 isoform X2" "genome" "triploid_heat"
"LOC105326121" 96.8596375304183 1.80820710787075 0.206947994055539 1.33268880613526e-19 1.7558175020832e-16 "cysteine-rich with EGF-like domain protein 2-B isoform X2" "genome" "triploid_heat"
