"gene" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "description" "feature" "treatment"
"LOC105334510" 2460.60980708658 8.70142827161312 0.728816556536181 11.9391199247285 7.4002039964403e-33 1.37170181278017e-28 "heat shock protein 68" "genome" "triploid_desiccation"
"LOC117680673" 2373.06322547709 8.43307242711626 0.73945719997209 11.4044091090526 3.97466940546525e-30 2.4558157366568e-26 "heat shock protein 68-like" "genome" "triploid_desiccation"
"LOC105348304" 2269.69284761057 8.42995934857019 0.738902854347004 11.4087519069338 3.78115687558815e-30 2.4558157366568e-26 "heat shock protein 68" "genome" "triploid_desiccation"
"LOC105348305" 3327.31084268773 8.27374304416116 0.731007069257162 11.3182804819779 1.06541163958824e-29 4.93711753785191e-26 "heat shock protein 68-like" "genome" "triploid_desiccation"
"LOC105322484" 553.550867856897 5.86271491159492 0.534854893380994 10.9613186382848 5.86386582444729e-28 2.1738523384391e-24 "heat shock protein 68-like" "genome" "triploid_desiccation"
"LOC105346578" 226.995730250083 5.00336258638824 0.688960892503713 7.26218663617583 3.80882152456418e-13 4.70668771862144e-10 "major egg antigen" "genome" "triploid_desiccation"
"LOC105321886" 1274.48356706853 4.38617726067231 0.478052318278561 9.17509881861191 4.51160471310518e-20 1.04533881202647e-16 "uncharacterized protein LOC105321886" "genome" "triploid_desiccation"
"LOC105348135" 144.067133032293 4.32640063460443 0.73137398779843 5.91544231375755 3.30984899968022e-09 1.65814489346142e-06 "uncharacterized protein LOC105348135" "genome" "triploid_desiccation"
"LOC105334234" 412.669428863309 4.21605630881578 0.576491441470313 7.31330251506065 2.60655283615982e-13 3.4510759550756e-10 "heat shock protein 70 B2" "genome" "triploid_desiccation"
"LOC105344998" 107.627328176007 3.76228940296178 0.411622520011291 9.14014472011535 6.23688106311285e-20 1.28452030428733e-16 "uncharacterized protein LOC105344998 isoform X2" "genome" "triploid_desiccation"
"LOC105343216" 77.8730636528341 3.62969073596382 0.505093397338147 7.18617735866745 6.66304799690358e-13 7.26507398062381e-10 "heat shock protein 27" "genome" "triploid_desiccation"
"LOC105334580" 588.169486924422 3.627738446846 0.513228514974595 7.06846626989456 1.56655417083577e-12 1.4518824055306e-09 "BAG family molecular chaperone regulator 3" "genome" "triploid_desiccation"
"LOC105327005" 47.4597375102749 3.5152553819735 0.668649194228577 5.25724911106648 1.46226179577146e-07 4.51741410773664e-05 "transient receptor potential cation channel subfamily M member 2-like" "genome" "triploid_desiccation"
"LOC117681182" 122.558567252213 3.41724424544495 0.501516134812537 6.81382712985355 9.50358974333079e-12 7.04634157929518e-09 "uncharacterized protein LOC117681182" "genome" "triploid_desiccation"
"LOC117688712" 22.3203289181464 3.40899557864988 0.686706110398789 4.96427150862279 6.89594176652451e-07 0.000166004125434154 "multiple epidermal growth factor-like domains protein 6" "genome" "triploid_desiccation"
"LOC117680358" 164.418836568453 3.07585214048152 0.565916104495343 5.43517336942446 5.47431791253413e-08 1.95138378512947e-05 "baculoviral IAP repeat-containing protein 2-like" "genome" "triploid_desiccation"
