"gene" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "description" "feature" "treatment"
"LOC105342430" 7.00427087624924 21.5088966270642 2.95586359667431 7.27668781849888 3.42115695661596e-13 4.18391945080693e-10 "uncharacterized protein LOC105342430" "genome" "triploid_desiccation"
"LOC117680673" 10555.9897807316 8.45215161319718 0.809294750467499 10.4438483115264 1.56341445697426e-25 2.10318329824462e-21 "heat shock protein 68-like" "genome" "triploid_desiccation"
"LOC105334510" 10208.2620661778 8.40664201959768 0.80357824969208 10.461510155133 1.29770653858438e-25 2.10318329824462e-21 "heat shock protein 68" "genome" "triploid_desiccation"
"LOC105348304" 9157.5433914777 8.34264611656099 0.806185760535947 10.3482925709515 4.26015378812988e-25 2.86548594174086e-21 "heat shock protein 68" "genome" "triploid_desiccation"
"LOC105348305" 9250.77160071536 8.31699041599898 0.799748111139903 10.3995124216605 2.49205059245507e-25 2.23495403966679e-21 "heat shock protein 68-like" "genome" "triploid_desiccation"
"LOC105322484" 690.824654814773 5.8586783748247 0.61266306171329 9.56264338581327 1.14786706830672e-21 6.17667269455848e-18 "heat shock protein 68-like" "genome" "triploid_desiccation"
"LOC105346578" 1433.46261531077 5.43999704283281 0.715302877687976 7.60516588499705 2.84538685564508e-14 4.23309073771617e-11 "major egg antigen" "genome" "triploid_desiccation"
"LOC117691913" 23.7185480145754 4.22824580874267 0.866991536586027 4.87691705203067 1.07756720903697e-06 0.0002462526336435 "major egg antigen-like" "genome" "triploid_desiccation"
"LOC105321886" 1754.61669436897 4.21531405995025 0.528232722814198 7.98003205385092 1.46295294391696e-15 2.46004680975536e-12 "uncharacterized protein LOC105321886" "genome" "triploid_desiccation"
"LOC105334234" 476.055853782476 4.07720475845325 0.635970808652326 6.41099355974087 1.44574304778466e-10 1.02423320400656e-07 "heat shock protein 70 B2" "genome" "triploid_desiccation"
"LOC105334580" 1032.19506630819 3.88718296850339 0.600812409626652 6.46987796227262 9.80820994163629e-11 7.53971109942069e-08 "BAG family molecular chaperone regulator 3" "genome" "triploid_desiccation"
"LOC105344998" 214.396484720445 3.69057379944423 0.422459262404112 8.73592823706146 2.4166336575917e-18 5.91086623250043e-15 "uncharacterized protein LOC105344998 isoform X2" "genome" "triploid_desiccation"
"LOC105343216" 107.135200439036 3.56850750031296 0.502583901906366 7.10032192988504 1.24466612222036e-12 1.39532258409745e-09 "heat shock protein 27" "genome" "triploid_desiccation"
"LOC117681182" 163.080468826766 3.35759641952134 0.483437002020335 6.94526154491607 3.77759799388488e-12 3.76430644538788e-09 "uncharacterized protein LOC117681182" "genome" "triploid_desiccation"
"LOC105348135" 780.455375762809 3.30510987797512 0.959423181510941 3.44489266224534 0.000571286202607635 0.0296155207729449 "uncharacterized protein LOC105348135" "genome" "triploid_desiccation"
"LOC117691044" 346.382605763864 3.29081916167866 0.800610517271744 4.11038712418224 3.94996333404045e-05 0.00411913812024645 "complement C1q tumor necrosis factor-related protein 3-like" "genome" "triploid_desiccation"
"LOC105332850" 7.99552343640115 3.21200609385107 0.858477238728201 3.74151573151727 0.000182913725341612 0.0131920646273432 "2'-deoxynucleoside 5'-phosphate N-hydrolase 1-like" "genome" "triploid_desiccation"
"LOC105329559" 7.35220921328969 2.85508205447249 0.81597976606639 3.49896182871793 0.000467073441980036 0.0256852654392005 "uncharacterized protein LOC105329559 isoform X1" "genome" "triploid_desiccation"
"LOC105348880" 17.8359226604641 2.83746518242775 0.61975051199085 4.57839909371408 4.68548095139884e-06 0.000730181791939517 "uncharacterized protein LOC105348880" "genome" "triploid_desiccation"
"LOC117690995" 6.24712242469641 2.76947524116803 0.730500845645387 3.79120059569711 0.000149920803599569 0.0112986532796818 "uncharacterized protein LOC117690995 isoform X1" "genome" "triploid_desiccation"
"LOC105322029" 10.6501860142689 2.70759446430719 0.731132119391939 3.70329027065452 0.00021282113389447 0.0144970864706181 "uncharacterized protein LOC105322029" "genome" "triploid_desiccation"
"LOC105328680" 4.98207849442325 2.65995787666104 0.780084554098957 3.40983277092756 0.000650027237508217 0.0322706378263341 "mucin-2" "genome" "triploid_desiccation"
"LOC105343641" 73.8731123740461 2.62828551515249 0.692465784577114 3.79554567704391 0.000147319067210739 0.011133762649733 "adiponectin" "genome" "triploid_desiccation"
"LOC105343637" 130.330803635976 2.61559687238902 0.799118196966324 3.27310388165175 0.00106373374673869 0.045096973095288 "complement C1q tumor necrosis factor-related protein 2" "genome" "triploid_desiccation"
"LOC117687358" 18.1176681084946 2.59963463814241 0.600668655525641 4.32790127173773 1.50536916602257e-05 0.00195661630008876 "uncharacterized protein LOC117687358" "genome" "triploid_desiccation"
"LOC105348306" 72.9376107718532 2.51738559139268 0.651326632271665 3.86501252468775 0.000111083499275948 0.00913976008568616 "transmembrane protein 234 homolog" "genome" "triploid_desiccation"
"LOC117685141" 53.5804396123862 2.41864579838194 0.554439462145651 4.36232621145311 1.28686799692206e-05 0.00173115917285941 "uncharacterized protein LOC117685141" "genome" "triploid_desiccation"
"LOC105319646" 76.3375615049658 2.4174188456697 0.451737329993278 5.35138162193874 8.72852287549325e-08 2.86391351177007e-05 "C-type lectin domain family 4 member M isoform X7" "genome" "triploid_desiccation"
"LOC117689428" 5.17906892564163 2.37352197513732 0.499308985295514 4.75361358404668 1.99812764885518e-06 0.000386759887715458 "uncharacterized protein LOC117689428" "genome" "triploid_desiccation"
"LOC105344740" 20.3452155943453 2.24427364462107 0.506572912532825 4.43030724520953 9.40989240021733e-06 0.00133249028962025 "uncharacterized protein LOC105344740" "genome" "triploid_desiccation"
"LOC105326670" 222.800946383536 2.20898026617149 0.244080328840353 9.05021833044287 1.42682763070091e-19 4.38441471219376e-16 "UPF0676 protein C1494.01-like" "genome" "triploid_desiccation"
"LOC117689943" 10.6597454556382 2.18492256252923 0.535611512381638 4.07930470503481 4.5170598751597e-05 0.00456885323087112 "uncharacterized protein LOC117689943" "genome" "triploid_desiccation"
"LOC105343643" 198.941750923015 2.11950174230982 0.625524420430864 3.38835970760325 0.000703119878714044 0.0339022228258089 "complement C1q tumor necrosis factor-related protein 7" "genome" "triploid_desiccation"
"LOC105318858" 9.31610150462687 2.06962377592096 0.566734502134401 3.65184009112992 0.000260368000318058 0.0167588541831515 "homeobox protein engrailed-1-B" "genome" "triploid_desiccation"
"LOC105332086" 34.4332166881405 2.02862524358941 0.494389720194779 4.10329171648265 4.07313144206025e-05 0.00423118152311316 "small conductance calcium-activated potassium channel protein" "genome" "triploid_desiccation"
"LOC117680358" 436.325891958618 1.9690774056483 0.433328272722242 4.54407784952091 5.51762647542098e-06 0.000829339331403361 "baculoviral IAP repeat-containing protein 2-like" "genome" "triploid_desiccation"
"LOC105325416" 994.700539737344 1.96636003126113 0.346121421891604 5.68112779762283 1.3380944355016e-08 6.54571468857649e-06 "inactive rhomboid protein 2 isoform X2" "genome" "triploid_desiccation"
"LOC109621216" 9.84928358781669 1.90136827469099 0.523258542234188 3.63370708975454 0.000279378013689817 0.0177727476691787 "tripartite motif-containing protein 2" "genome" "triploid_desiccation"
"LOC105322229" 62.4779292927527 1.8846461559687 0.472281746241485 3.9905123815754 6.59307069573059e-05 0.0061807166226004 "uncharacterized protein LOC105322229" "genome" "triploid_desiccation"
"LOC105329206" 51.2432030366442 1.86765944133023 0.335083934699923 5.57370631033915 2.49376008016367e-08 1.01658507510308e-05 "alpha-1,2-mannosyltransferase ALG9" "genome" "triploid_desiccation"
"LOC117688384" 12.0237495287776 1.82178264666587 0.557774427247857 3.26616380685436 0.00109015168312787 0.045757458712255 "multiple epidermal growth factor-like domains protein 10" "genome" "triploid_desiccation"
"LOC105343651" 113.314432549613 1.81533812014327 0.456801856160834 3.97401651429392 7.06706598589265e-05 0.00643543277410164 "multimerin-2" "genome" "triploid_desiccation"
"LOC105328056" 37.4090499810752 1.80090073210013 0.426858283922993 4.21896634065328 2.45424905596871e-05 0.00290006706306079 "uncharacterized protein LOC105328056 isoform X2" "genome" "triploid_desiccation"
"LOC105320196" 7.49631819504228 1.73771033815957 0.510229045582286 3.40574562190291 0.000659836286996303 0.0323957943460502 "multiple coagulation factor deficiency protein 2 homolog" "genome" "triploid_desiccation"
"LOC109620627" 25.0141215917446 1.71788598132414 0.468301030253622 3.66833696776999 0.000244133290462692 0.0160395427713164 "uncharacterized protein LOC109620627 isoform X2" "genome" "triploid_desiccation"
"LOC117687810" 25.7488855080281 1.70317034776777 0.477459043418058 3.56715486123171 0.000360878228828193 0.0214336175422131 "uncharacterized protein LOC117687810" "genome" "triploid_desiccation"
"LOC105329186" 52.5242809973052 1.70036886939553 0.425857077057357 3.99281580840446 6.52932866106158e-05 0.00616391535529339 "aarF domain-containing protein kinase 1" "genome" "triploid_desiccation"
"LOC117687184" 7.62226423544412 1.69371846184214 0.522637500584347 3.24071361115197 0.00119230903567816 0.0487523930165973 "uncharacterized protein LOC117687184" "genome" "triploid_desiccation"
"LOC105345856" 20.7429491624127 1.68931157088127 0.433266518965236 3.89901249447068 9.65857912118953e-05 0.0080954539331964 "6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1" "genome" "triploid_desiccation"
"LOC105324591" 36.2776638292923 1.6490633446191 0.386136193973602 4.27067798967283 1.94879617816773e-05 0.00241623784210152 "multiple epidermal growth factor-like domains protein 11 isoform X1" "genome" "triploid_desiccation"
"LOC105346868" 56.578799384908 1.64170148570238 0.300885662277743 5.45623036097663 4.86348895830505e-08 1.72173908451575e-05 "uncharacterized protein LOC105346868" "genome" "triploid_desiccation"
"LOC105321472" 9.51077284777315 1.58020352788398 0.447981265569918 3.52738752562266 0.00041968202424745 0.0237716733944792 "uncharacterized protein LOC105321472" "genome" "triploid_desiccation"
"LOC105330030" 187.531818462752 1.55429433280484 0.329341011072725 4.71940718145674 2.36532941236037e-06 0.000427108643218496 "uncharacterized protein LOC105330030" "genome" "triploid_desiccation"
"LOC105337055" 3.90273366555603 1.54657120946745 0.456731676375817 3.38617023837617 0.000708754011129514 0.0339911348831365 "ankyrin repeat domain-containing protein 16-like isoform X1" "genome" "triploid_desiccation"
"LOC117686240" 19.8485298088916 1.54207586260205 0.455782399504423 3.38335983196974 0.000716047480182577 0.0341582578977167 "uncharacterized protein LOC117686240" "genome" "triploid_desiccation"
"LOC105334556" 65.8055201187744 1.5367693174338 0.418962759231315 3.66803321673116 0.000244423435652843 0.0160395427713164 "DBH-like monooxygenase protein 1" "genome" "triploid_desiccation"
