"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj" "description" "feature" "treatment"
"LOC117690538" 2.62642108728973 7.01174031988363 2.63725606306662 5.36758659506991e-07 0.000111082204584972 "complement C1q-like protein 4" "genome" "heat_ploidy"
"LOC105330095" 2.28533736579684 6.71422537716353 2.64055742022676 4.65977802662921e-06 0.000459210029814721 "uncharacterized protein LOC105330095" "genome" "heat_ploidy"
"LOC117690809" 61.484839135765 5.74345142432903 0.771800454860522 6.50732601229016e-15 1.61602934189214e-10 "uncharacterized protein LOC117690809 isoform X1" "genome" "heat_ploidy"
"LOC105349099" 4.75334380937768 5.65283509166779 1.87340912492265 5.61341887865667e-05 0.00234195003769352 "perlucin-like protein isoform X2" "genome" "heat_ploidy"
"LOC105344122" 17.1229767042839 5.60974300150843 1.95591049096297 9.64426649652425e-05 0.00340690916322451 "pathogen-related protein" "genome" "heat_ploidy"
"LOC109618002" 2.84029007165969 5.26921610654347 1.39881764075044 4.85545639294022e-08 2.35568679113818e-05 "neuronal acetylcholine receptor subunit alpha-3-like" "genome" "heat_ploidy"
"LOC105321376" 445.887152235815 4.51627244738841 0.971726519477395 1.37773824690406e-07 4.52384641096045e-05 "uncharacterized protein LOC105321376" "genome" "heat_ploidy"
"LOC117689258" 10.1505002027273 4.32514538276644 1.11831374953546 4.7484208445663e-06 0.000461617562301098 "uncharacterized protein LOC117689258" "genome" "heat_ploidy"
"LOC117684653" 3.27741658305659 4.1120659302393 1.05698346354975 9.71482470727043e-07 0.000157684939072127 "uncharacterized protein LOC117684653" "genome" "heat_ploidy"
"LOC105334853" 8.92419973597045 4.07691013194729 1.20442813658734 2.80881391069818e-05 0.00150008784211352 "mesenchyme-specific cell surface glycoprotein" "genome" "heat_ploidy"
"LOC109620475" 34.7188298540939 3.91894279138337 0.545346684902203 3.56031448471308e-14 4.42084249566823e-10 "uncharacterized protein LOC109620475" "genome" "heat_ploidy"
"LOC105321245" 3.11970096999631 3.77839561990749 0.803071043016763 3.15506219182117e-08 1.66708115897206e-05 "serine protease inhibitor Cvsi-2-like isoform X2" "genome" "heat_ploidy"
"LOC117688340" 14.6959913020191 3.76894605368018 0.670085826396224 9.26272115718175e-10 1.157364104351e-06 "uncharacterized protein LOC117688340" "genome" "heat_ploidy"
"LOC117689920" 6.1116684059723 3.75518864475831 0.799861385915749 1.84153277949165e-07 5.41526306823724e-05 "P-selectin-like" "genome" "heat_ploidy"
"LOC105346227" 3.30811664141556 3.73827392159735 0.965773687666652 2.37104967464762e-06 0.00029294849562288 "uncharacterized protein LOC105346227" "genome" "heat_ploidy"
"LOC105344934" 7.8542137471864 3.73757897318914 1.32881837156705 0.000159188702603983 0.00463911384355568 "uncharacterized protein LOC105344934" "genome" "heat_ploidy"
"LOC109618647" 5.38401358653522 3.72387378248089 0.822213810602702 4.03619610375919e-07 9.23569562988567e-05 "IgGFc-binding protein-like" "genome" "heat_ploidy"
"LOC117690799" 20.1760463026986 3.71359689199809 0.808289169192545 1.83872930690459e-07 5.41526306823724e-05 "arachidonate 12-lipoxygenase, 12R-type-like" "genome" "heat_ploidy"
"LOC117683057" 8.40212596144415 3.63469333752178 1.00580516125242 1.30009471257229e-05 0.000926204296894626 "fibroleukin-like" "genome" "heat_ploidy"
"LOC117692019" 3.17410587291179 3.58525033446371 1.05338595295662 1.66403868819476e-05 0.00107336978656178 "uncharacterized protein LOC117692019" "genome" "heat_ploidy"
"LOC117681374" 15.1635994588523 3.56203449602008 0.609733227464747 2.5529356519061e-10 4.22664026529574e-07 "uncharacterized protein LOC117681374 isoform X1" "genome" "heat_ploidy"
"LOC105323104" 8.14301430367218 3.4725947831809 0.75503794973818 2.25202978822353e-07 6.14581403964211e-05 "C-type lectin domain family 4 member G" "genome" "heat_ploidy"
"LOC105328647" 11.4435910339857 3.44429413985801 0.746876088070899 1.71275665316451e-07 5.18714618593748e-05 "uncharacterized protein LOC105328647" "genome" "heat_ploidy"
"LOC117681665" 6.64274721464202 3.43760192979829 0.893956072781139 5.57747305565907e-06 0.000519109996097326 "uncharacterized protein LOC117681665" "genome" "heat_ploidy"
"LOC109619662" 20.5909115499878 3.42968336320274 1.00357398510756 2.23773794281679e-05 0.00130734121545783 "uncharacterized protein LOC109619662" "genome" "heat_ploidy"
"LOC105323935" 19.1381358870813 3.41467602600209 0.99565516198061 2.04297818211057e-05 0.00124963842794419 "uncharacterized protein LOC105323935" "genome" "heat_ploidy"
"LOC117681619" 58.0051022804796 3.40366646459102 1.19464254857229 0.000122437689075533 0.00387833873788494 "uncharacterized protein LOC117681619" "genome" "heat_ploidy"
"LOC117683105" 3.13990136089345 3.29711915218695 1.30409920565469 0.000275293867309655 0.00659271735850336 "uncharacterized protein LOC117683105" "genome" "heat_ploidy"
"LOC105324285" 5.46285377548374 3.27916946252712 0.755797958420365 9.55530721086874e-07 0.000156116117943891 "patched domain-containing protein 3-like" "genome" "heat_ploidy"
"LOC105317566" 465.170052587257 3.26697594615347 0.460113542923722 6.1512141247218e-14 5.09197505244471e-10 "uncharacterized protein LOC105317566" "genome" "heat_ploidy"
"LOC117688384" 2.64632992602526 3.23378551863107 1.10351998930775 9.31868857784341e-05 0.00332767723935824 "multiple epidermal growth factor-like domains protein 10" "genome" "heat_ploidy"
"LOC105322681" 16.2167389968574 3.21732403967341 0.641081969789878 2.46265235095362e-08 1.3590557440796e-05 "barrier-to-autointegration factor" "genome" "heat_ploidy"
"LOC105330461" 6.65234787263875 3.20446264377287 0.686267286767809 1.8534966610299e-07 5.41526306823724e-05 "uncharacterized protein LOC105330461" "genome" "heat_ploidy"
"LOC105334176" 180.077580884522 3.13489898875544 0.57972570515336 2.90235158851403e-09 2.32506449513411e-06 "uncharacterized protein LOC105334176 isoform X1" "genome" "heat_ploidy"
"LOC105343485" 15.9425409725329 3.1323081151753 0.820080039088265 5.12430251393652e-06 0.000487574439199615 "uncharacterized protein LOC105343485" "genome" "heat_ploidy"
"LOC109617784" 39.1826436708099 3.11244437611348 0.83084345899175 6.56933794987271e-06 0.000572431363674172 "heat shock 70 kDa protein 12A-like" "genome" "heat_ploidy"
"LOC105337786" 12.7879884426943 3.10430366972264 0.588320921959678 6.29902105226675e-09 4.60087908270566e-06 "neuropeptide SIFamide receptor" "genome" "heat_ploidy"
"LOC117687662" 8.36342552670154 3.10400453970847 1.12772437738942 0.000174453969382937 0.0049343848242094 "uncharacterized protein LOC117687662" "genome" "heat_ploidy"
"LOC105318899" 29.2398788339164 3.10024090802959 0.496752832454102 2.0504668824334e-11 5.09212945583512e-08 "uncharacterized protein LOC105318899 isoform X1" "genome" "heat_ploidy"
"LOC117691851" 4.29395881256319 3.08052184427437 1.15040088329194 0.000271794538757002 0.00652780036314449 "uncharacterized protein LOC117691851" "genome" "heat_ploidy"
"LOC117692593" 2.26046132266787 3.07217360120077 0.988699559670629 5.25577130590779e-05 0.00224626516398679 "uncharacterized protein LOC117692593" "genome" "heat_ploidy"
"LOC105329415" 5.00511777429702 3.06834958678728 0.998745944489838 8.71307096020278e-05 0.00320563561815816 "nose resistant to fluoxetine protein 6" "genome" "heat_ploidy"
"LOC105339666" 32.7371515763683 3.05584636837764 0.643653532643258 9.0142204576736e-08 3.59124860963877e-05 "uncharacterized protein LOC105339666" "genome" "heat_ploidy"
"LOC105328254" 75.8119568776679 3.03920554943906 0.451158443080565 7.82780563168121e-13 3.88791450114343e-09 "uncharacterized protein LOC105328254 isoform X1" "genome" "heat_ploidy"
"LOC105322531" 18.7050348538223 3.03752750231122 0.892944040346032 2.30019845579373e-05 0.00132536260907614 "uncharacterized protein LOC105322531" "genome" "heat_ploidy"
"LOC105346898" 4.87165292093935 3.02389833151984 0.827084081318575 1.37033465759446e-05 0.000945302524630578 "uncharacterized protein LOC105346898" "genome" "heat_ploidy"
"LOC117680579" 12.3307723373999 2.9905026186591 0.684460250627173 5.50910595570885e-07 0.000112141915823011 "uncharacterized protein LOC117680579" "genome" "heat_ploidy"
"LOC105333388" 13.3989084978698 2.98781609725557 0.653664894019941 2.22663919874117e-07 6.14403976239314e-05 "peroxidase-like protein" "genome" "heat_ploidy"
"LOC117684541" 5.77469131902907 2.9435788404514 0.635458756930371 2.03842983014966e-07 5.7525416365837e-05 "heat shock protein 68-like" "genome" "heat_ploidy"
"LOC109619024" 15.185251879235 2.89503433079194 0.5987577572498 6.23090928957582e-08 2.80182291797176e-05 "uncharacterized protein LOC109619024" "genome" "heat_ploidy"
"LOC105329359" 8.76820068699204 2.88858035112262 0.691231072345581 1.29763870387647e-06 0.000192967422587234 "uncharacterized protein LOC105329359 isoform X1" "genome" "heat_ploidy"
"LOC117686108" 5.31200447316797 2.88803668893798 1.27032100960011 0.000627929317024547 0.0108668966264722 "multiple epidermal growth factor-like domains protein 10" "genome" "heat_ploidy"
"LOC105332568" 6.70198755325167 2.87428869483186 0.797054850773875 1.35997447148228e-05 0.000940768970049884 "beta-1,3-galactosyltransferase brn" "genome" "heat_ploidy"
"LOC105317291" 5.57241161401781 2.86251435129387 0.544716922022697 1.17645846562566e-08 7.49132552188398e-06 "peroxidase-like protein" "genome" "heat_ploidy"
"LOC105329989" 9.11413531046315 2.85649576439197 0.863673508226463 3.31472298244425e-05 0.00164307046998045 "uncharacterized protein LOC105329989" "genome" "heat_ploidy"
"LOC117683085" 3.4241552630021 2.84904237931749 1.47866298012415 0.00109083706195052 0.0153919588616359 "uncharacterized protein LOC117683085" "genome" "heat_ploidy"
"LOC105339865" 112.084708268778 2.8384460678722 0.61580975868571 1.70994672209651e-07 5.18714618593748e-05 "uncharacterized protein LOC105339865 isoform X13" "genome" "heat_ploidy"
"LOC109618740" 11.9132098048773 2.83565484803694 0.733519013507292 4.75856068088432e-06 0.000461617562301098 "uncharacterized protein LOC109618740 isoform X1" "genome" "heat_ploidy"
"LOC109619522" 18.7589777990181 2.82516827386611 0.652775189391123 6.34007083826982e-07 0.000122053735812087 "sarcoplasmic calcium-binding protein-like" "genome" "heat_ploidy"
"LOC105331377" 22.7610938055727 2.75045874186371 0.491620889635839 1.09213048593899e-09 1.1974265212168e-06 "atrial natriuretic peptide receptor 1" "genome" "heat_ploidy"
"LOC109619317" 14.8783031283224 2.74860559080916 0.705151431932964 3.72444294818099e-06 0.000400401801623925 "uncharacterized protein LOC109619317" "genome" "heat_ploidy"
"LOC105330135" 13.1262761461917 2.73635346824985 0.626946865864409 5.13249957377486e-07 0.000107109659172374 "potassium voltage-gated channel protein Shaw" "genome" "heat_ploidy"
"LOC109620163" 13.6684009623766 2.720997369828 0.701262762463245 4.06035966119168e-06 0.000423676352210228 "cystatin-A" "genome" "heat_ploidy"
"LOC105324688" 8.56874245574769 2.70345093355803 0.846415318948086 4.92392772002497e-05 0.00215283135561796 "uncharacterized protein LOC105324688" "genome" "heat_ploidy"
"LOC105318297" 8.23620379168228 2.6770089514744 0.707820992858951 6.93591356713833e-06 0.000589885197007922 "uncharacterized protein LOC105318297 isoform X2" "genome" "heat_ploidy"
"LOC105320489" 8.35259615434195 2.6379328716043 0.861171622891776 7.44469203307015e-05 0.0028531092893405 "formin-like protein 14" "genome" "heat_ploidy"
"LOC117690808" 5.72614483933604 2.63614900430232 1.03308929113296 0.000343781961243089 0.0074935110109422 "uncharacterized protein LOC117690808" "genome" "heat_ploidy"
"LOC109617426" 23.2797057526909 2.63343637160552 0.548321030256664 7.13801531613151e-08 3.05630124760017e-05 "uncharacterized protein LOC109617426 isoform X1" "genome" "heat_ploidy"
"LOC117683546" 13.3461823251482 2.60700139955986 0.816739218622976 4.90070904649748e-05 0.00214645870301091 "kielin/chordin-like protein" "genome" "heat_ploidy"
"LOC117683005" 10.6960149970748 2.60319016860871 0.764166864517043 2.48422238883866e-05 0.00138387314100748 "uncharacterized protein LOC117683005" "genome" "heat_ploidy"
"LOC117683634" 17.6433998490308 2.59610306125359 0.596376911714707 5.63012077378618e-07 0.000112756789755005 "sarcoplasmic calcium-binding protein-like" "genome" "heat_ploidy"
"LOC117687678" 22.3222873176121 2.59373285335093 0.50166308697344 1.07809574605397e-08 7.04563940986957e-06 "uncharacterized protein LOC117687678 isoform X1" "genome" "heat_ploidy"
"LOC105321352" 6.47446111394918 2.58480053500756 0.843036603344522 7.76984693632461e-05 0.0029594536628326 "uncharacterized protein LOC105321352" "genome" "heat_ploidy"
"LOC105328933" 5.64847275194129 2.57717197281946 0.752919195340447 2.584779438463e-05 0.00142329074445211 "low-density lipoprotein receptor-related protein 4" "genome" "heat_ploidy"
"LOC105339973" 18.8250911397736 2.55238204792098 0.461325981205182 1.48425286329429e-09 1.53583065029377e-06 "natural resistance-associated macrophage protein 2-like isoform X1" "genome" "heat_ploidy"
