"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj" "description" "feature" "treatment"
"LOC117690538" 5.64929772597287 8.52710126785079 2.85904478035727 3.37470355015407e-08 1.3150262729466e-05 "complement C1q-like protein 4" "genome" "heat_ploidy"
"LOC105349099" 8.47500955867744 6.95567291157606 1.74162426079456 2.74448772659416e-07 5.5545027570481e-05 "perlucin-like protein isoform X2" "genome" "heat_ploidy"
"LOC105337690" 23.2499199540818 5.87222348386468 0.671317673408031 0.000274592960098877 0.0055316921313746 "atrial natriuretic peptide receptor 1" "genome" "heat_ploidy"
"LOC117689258" 22.5466317446131 5.66750017175476 1.05961530803195 3.87450768726651e-09 3.02292407697148e-06 "uncharacterized protein LOC117689258" "genome" "heat_ploidy"
"LOC117690809" 50.3803460046139 5.61565414960151 0.72287559809039 4.99450723930519e-16 1.3039659500378e-11 "uncharacterized protein LOC117690809 isoform X1" "genome" "heat_ploidy"
"LOC109618002" 2.22436435524272 5.11537753027259 1.44211988194451 5.50530204025283e-07 8.98327660418255e-05 "neuronal acetylcholine receptor subunit alpha-3-like" "genome" "heat_ploidy"
"LOC117688384" 2.05412096694658 5.11261491973763 1.06072927409532 0.000205148283126717 0.00448597839915958 "multiple epidermal growth factor-like domains protein 10" "genome" "heat_ploidy"
"LOC117687453" 8.18428005184252 4.89311863922916 0.781129644879723 5.56852095948568e-06 0.000432687336935274 "alpha-mannosidase 2x-like" "genome" "heat_ploidy"
"LOC105322531" 14.4732328516341 4.88261630635258 0.825104047314412 4.56924076493829e-05 0.00168019349142266 "uncharacterized protein LOC105322531" "genome" "heat_ploidy"
"LOC117689920" 10.4322900966904 4.71465649862323 0.852463726995308 1.58774693069823e-09 1.59434218717959e-06 "P-selectin-like" "genome" "heat_ploidy"
"LOC117692922" 7.04955680231444 4.59154783167734 0.662276295537314 9.14014822496514e-05 0.00260798896019005 "uncharacterized protein LOC117692922 isoform X1" "genome" "heat_ploidy"
"LOC105344934" 12.8698074188196 4.55622097696991 1.58993197218469 9.86200032687408e-05 0.00275671418130652 "uncharacterized protein LOC105344934" "genome" "heat_ploidy"
"LOC117683057" 12.3434756238749 4.53220216223691 0.973704703332672 1.54421677670348e-07 4.03164116061746e-05 "fibroleukin-like" "genome" "heat_ploidy"
"LOC105342592" 77.6943133174853 4.49567174125232 0.584917790092416 1.12251011583682e-05 0.000646942474707896 "sulfotransferase 1 family member D1" "genome" "heat_ploidy"
"LOC105343485" 12.3708400359344 4.41822764965166 0.762252388248168 1.25275598264217e-05 0.000704891232647023 "uncharacterized protein LOC105343485" "genome" "heat_ploidy"
"LOC109618044" 10.1240985206994 4.40010894546663 0.703409725371328 8.28203541116408e-06 0.000543284875665004 "cilia- and flagella-associated protein 300-like" "genome" "heat_ploidy"
"LOC117687335" 2.79583978505091 4.36733083768325 1.03260926085961 0.00226985536498888 0.0226620970818852 "vegetative cell wall protein gp1-like" "genome" "heat_ploidy"
"LOC117692065" 5.64351655347999 4.36481704868769 0.503895768616887 3.20601917250708e-06 0.000304373631112054 "uncharacterized protein LOC117692065" "genome" "heat_ploidy"
"LOC117687129" 1.40443444028048 4.35748179813324 1.41976632952557 9.27158669099948e-06 0.000577715000784283 "neuronal acetylcholine receptor subunit alpha-2-like" "genome" "heat_ploidy"
"LOC105340578" 12.5634235511294 4.3160369376978 0.834631072820535 3.47922456028671e-05 0.00140584431793048 "metabotropic glutamate receptor 3" "genome" "heat_ploidy"
"LOC105333828" 1.55585011448638 4.31018396732745 1.108561684796 0.00537748413155178 0.0404015412105191 "muscarinic acetylcholine receptor M5" "genome" "heat_ploidy"
"LOC105319461" 7.18735715170263 4.24041879414147 1.21819924385103 0.00105289105471903 0.0136421238990593 "uromodulin-like" "genome" "heat_ploidy"
"LOC105325816" 36.2759376151318 4.20780755871839 0.799668983861324 3.89982217561865e-05 0.00150171913511876 "uncharacterized protein LOC105325816" "genome" "heat_ploidy"
"LOC105324285" 6.39294073800447 4.19139272745151 0.711766087918455 2.22373017003203e-06 0.000244633769858081 "patched domain-containing protein 3-like" "genome" "heat_ploidy"
