gene	padj	log2FoldChange	description	product_accession	GeneID	genomic_accession	start	end	GOID	GOterm	GOSlim	GOcat
LOC109619585	4.0336899822942e-05	-3.45231473079686	sterile alpha motif domain-containing protein 9-like	XM_034480292.1	109619585	NC_047564.1	9573164	9633552	GO:0002244	hemopoietic progenitor cell differentiation	developmental processes	P
LOC109619585	4.0336899822942e-05	-3.45231473079686	sterile alpha motif domain-containing protein 9-like	XM_034480292.1	109619585	NC_047564.1	9573164	9633552	GO:0005769	early endosome	other cytoplasmic organelle	C
LOC109619585	4.0336899822942e-05	-3.45231473079686	sterile alpha motif domain-containing protein 9-like	XM_034480292.1	109619585	NC_047564.1	9573164	9633552	GO:0017145	stem cell division	other biological processes	P
LOC109619585	4.0336899822942e-05	-3.45231473079686	sterile alpha motif domain-containing protein 9-like	XM_034480292.1	109619585	NC_047564.1	9573164	9633552	GO:0034058	endosomal vesicle fusion	cell organization and biogenesis	P
LOC109619585	4.0336899822942e-05	-3.45231473079686	sterile alpha motif domain-containing protein 9-like	XM_034480292.1	109619585	NC_047564.1	9573164	9633552	GO:0034058	endosomal vesicle fusion	transport	P
LOC109619585	4.0336899822942e-05	-3.45231473079686	sterile alpha motif domain-containing protein 9-like	XM_034480292.1	109619585	NC_047564.1	9573164	9633552	GO:0042176	regulation of protein catabolic process	protein metabolism	P
LOC109619585	4.0336899822942e-05	-3.45231473079686	sterile alpha motif domain-containing protein 9-like	XM_034480292.1	109619585	NC_047564.1	9573164	9633552	GO:0048536	spleen development	developmental processes	P
LOC109619585	4.0336899822942e-05	-3.45231473079686	sterile alpha motif domain-containing protein 9-like	XM_034480293.1	109619585	NC_047564.1	9573164	9633552	GO:0002244	hemopoietic progenitor cell differentiation	developmental processes	P
LOC109619585	4.0336899822942e-05	-3.45231473079686	sterile alpha motif domain-containing protein 9-like	XM_034480293.1	109619585	NC_047564.1	9573164	9633552	GO:0005769	early endosome	other cytoplasmic organelle	C
LOC109619585	4.0336899822942e-05	-3.45231473079686	sterile alpha motif domain-containing protein 9-like	XM_034480293.1	109619585	NC_047564.1	9573164	9633552	GO:0017145	stem cell division	other biological processes	P
LOC109619585	4.0336899822942e-05	-3.45231473079686	sterile alpha motif domain-containing protein 9-like	XM_034480293.1	109619585	NC_047564.1	9573164	9633552	GO:0034058	endosomal vesicle fusion	cell organization and biogenesis	P
LOC109619585	4.0336899822942e-05	-3.45231473079686	sterile alpha motif domain-containing protein 9-like	XM_034480293.1	109619585	NC_047564.1	9573164	9633552	GO:0034058	endosomal vesicle fusion	transport	P
LOC109619585	4.0336899822942e-05	-3.45231473079686	sterile alpha motif domain-containing protein 9-like	XM_034480293.1	109619585	NC_047564.1	9573164	9633552	GO:0042176	regulation of protein catabolic process	protein metabolism	P
LOC109619585	4.0336899822942e-05	-3.45231473079686	sterile alpha motif domain-containing protein 9-like	XM_034480293.1	109619585	NC_047564.1	9573164	9633552	GO:0048536	spleen development	developmental processes	P
LOC105321796	1.58639231758969e-05	-2.90584655270624	uncharacterized protein LOC105321796	XM_034450855.1	105321796	NC_047566.1	29788656	29789630	GO:0003723	RNA binding	nucleic acid binding activity	F
LOC105321796	1.58639231758969e-05	-2.90584655270624	uncharacterized protein LOC105321796	XM_034450855.1	105321796	NC_047566.1	29788656	29789630	GO:0005737	cytoplasm	other cellular component	C
LOC105321796	1.58639231758969e-05	-2.90584655270624	uncharacterized protein LOC105321796	XM_034450855.1	105321796	NC_047566.1	29788656	29789630	GO:0005886	plasma membrane	other membranes	C
LOC105321796	1.58639231758969e-05	-2.90584655270624	uncharacterized protein LOC105321796	XM_034450855.1	105321796	NC_047566.1	29788656	29789630	GO:0005886	plasma membrane	plasma membrane	C
LOC105321796	1.58639231758969e-05	-2.90584655270624	uncharacterized protein LOC105321796	XM_034450855.1	105321796	NC_047566.1	29788656	29789630	GO:0009953	dorsal/ventral pattern formation	developmental processes	P
LOC105321796	1.58639231758969e-05	-2.90584655270624	uncharacterized protein LOC105321796	XM_034450855.1	105321796	NC_047566.1	29788656	29789630	GO:0017148	negative regulation of translation	protein metabolism	P
LOC105321796	1.58639231758969e-05	-2.90584655270624	uncharacterized protein LOC105321796	XM_034450855.1	105321796	NC_047566.1	29788656	29789630	GO:0030177	positive regulation of Wnt receptor signaling pathway	signal transduction	P
LOC105321796	1.58639231758969e-05	-2.90584655270624	uncharacterized protein LOC105321796	XM_034450855.1	105321796	NC_047566.1	29788656	29789630	GO:0040008	regulation of growth	other biological processes	P
LOC105321796	1.58639231758969e-05	-2.90584655270624	uncharacterized protein LOC105321796	XM_034450855.1	105321796	NC_047566.1	29788656	29789630	GO:0046872	metal ion binding	other molecular function	F
LOC105321796	1.58639231758969e-05	-2.90584655270624	uncharacterized protein LOC105321796	XM_034450855.1	105321796	NC_047566.1	29788656	29789630	GO:0050775	positive regulation of dendrite morphogenesis	cell organization and biogenesis	P
LOC105321796	1.58639231758969e-05	-2.90584655270624	uncharacterized protein LOC105321796	XM_034450855.1	105321796	NC_047566.1	29788656	29789630	GO:0050775	positive regulation of dendrite morphogenesis	developmental processes	P
LOC105321620	8.2850074561606e-05	-2.74053077109486	heavy metal-binding protein HIP	XM_011419981.3	105321620	NC_047568.1	1138120	1139579	GO:0005576	extracellular region	non-structural extracellular	C
LOC105321620	8.2850074561606e-05	-2.74053077109486	heavy metal-binding protein HIP	XM_011419981.3	105321620	NC_047568.1	1138120	1139579	GO:0046872	metal ion binding	other molecular function	F
LOC105338481	6.85120863448561e-06	-2.50846864766427	uncharacterized protein LOC105338481	XM_034444931.1	105338481	NC_047565.1	47934556	47940323	GO:0007155	cell adhesion	cell adhesion	P
LOC105338481	6.85120863448561e-06	-2.50846864766427	uncharacterized protein LOC105338481	XM_034444931.1	105338481	NC_047565.1	47934556	47940323	GO:0030246	carbohydrate binding	other molecular function	F
LOC117681275	0.00194391523524279	-2.417886968179	uncharacterized protein LOC117681275	XM_034444925.1	117681275	NC_047565.1	47860976	47871916	GO:0007155	cell adhesion	cell adhesion	P
LOC117681275	0.00194391523524279	-2.417886968179	uncharacterized protein LOC117681275	XM_034444925.1	117681275	NC_047565.1	47860976	47871916	GO:0030246	carbohydrate binding	other molecular function	F
LOC117691193	0.00104029212060219	-2.15118255302749	elongation factor 2-like	XM_034476704.1	117691193	NC_047563.1	15637243	15643250	GO:0003746	translation elongation factor activity	nucleic acid binding activity	F
LOC117691193	0.00104029212060219	-2.15118255302749	elongation factor 2-like	XM_034476704.1	117691193	NC_047563.1	15637243	15643250	GO:0003924	GTPase activity	other molecular function	F
LOC117691193	0.00104029212060219	-2.15118255302749	elongation factor 2-like	XM_034476704.1	117691193	NC_047563.1	15637243	15643250	GO:0005525	GTP binding	other molecular function	F
LOC117691193	0.00104029212060219	-2.15118255302749	elongation factor 2-like	XM_034476704.1	117691193	NC_047563.1	15637243	15643250	GO:0005737	cytoplasm	other cellular component	C
LOC117691193	0.00104029212060219	-2.15118255302749	elongation factor 2-like	XM_034476704.1	117691193	NC_047563.1	15637243	15643250	GO:0010629	negative regulation of gene expression	other metabolic processes	P
LOC117691193	0.00104029212060219	-2.15118255302749	elongation factor 2-like	XM_034476704.1	117691193	NC_047563.1	15637243	15643250	GO:0050829	defense response to Gram-negative bacterium	stress response	P
LOC117686729	0.00369018346296275	-2.01537632723771	uncharacterized protein LOC117686729	XM_034462376.1	117686729	NW_022994977.1	138100	140373	GO:0005578	proteinaceous extracellular matrix	extracellular matrix	C
LOC117686729	0.00369018346296275	-2.01537632723771	uncharacterized protein LOC117686729	XM_034462376.1	117686729	NW_022994977.1	138100	140373	GO:0005581	collagen	extracellular matrix	C
LOC105326729	5.24231148297083e-05	-1.99164048315355	complement C1q-like protein 3	XM_034469306.1	105326729	NC_047561.1	23746217	23749039	GO:0005576	extracellular region	non-structural extracellular	C
LOC105326729	5.24231148297083e-05	-1.99164048315355	complement C1q-like protein 3	XM_034469306.1	105326729	NC_047561.1	23746217	23749039	GO:0046872	metal ion binding	other molecular function	F
LOC105326729	5.24231148297083e-05	-1.99164048315355	complement C1q-like protein 3	XM_034469305.1	105326729	NC_047561.1	23746217	23748461	GO:0005576	extracellular region	non-structural extracellular	C
LOC105326729	5.24231148297083e-05	-1.99164048315355	complement C1q-like protein 3	XM_034469305.1	105326729	NC_047561.1	23746217	23748461	GO:0046872	metal ion binding	other molecular function	F
LOC105342748	2.9153024379363e-09	-1.9220820040662	microfibril-associated glycoprotein 4	XM_034472102.1	105342748	NC_047562.1	31848172	31851554	GO:0005576	extracellular region	non-structural extracellular	C
LOC117682909	0.000142681996327443	-1.90911347951453	heavy metal-binding protein HIP-like isoform X1	XM_034451542.1	117682909	NC_047566.1	17936754	17937694	GO:0005576	extracellular region	non-structural extracellular	C
LOC117682909	0.000142681996327443	-1.90911347951453	heavy metal-binding protein HIP-like isoform X1	XM_034451542.1	117682909	NC_047566.1	17936754	17937694	GO:0046872	metal ion binding	other molecular function	F
LOC117682909	0.000142681996327443	-1.90911347951453	heavy metal-binding protein HIP-like isoform X1	XM_034451543.1	117682909	NC_047566.1	17936754	17937694	GO:0005576	extracellular region	non-structural extracellular	C
LOC117682909	0.000142681996327443	-1.90911347951453	heavy metal-binding protein HIP-like isoform X1	XM_034451543.1	117682909	NC_047566.1	17936754	17937694	GO:0046872	metal ion binding	other molecular function	F
LOC109617704	0.0125317678663276	-1.76519334355505	uncharacterized protein LOC109617704	XM_034471065.1	109617704	NC_047561.1	36809170	36821371	GO:0002218	activation of innate immune response	stress response	P
LOC109617704	0.0125317678663276	-1.76519334355505	uncharacterized protein LOC109617704	XM_034471065.1	109617704	NC_047561.1	36809170	36821371	GO:0002230	positive regulation of defense response to virus by host	stress response	P
LOC109617704	0.0125317678663276	-1.76519334355505	uncharacterized protein LOC109617704	XM_034471065.1	109617704	NC_047561.1	36809170	36821371	GO:0003677	DNA binding	nucleic acid binding activity	F
LOC109617704	0.0125317678663276	-1.76519334355505	uncharacterized protein LOC109617704	XM_034471065.1	109617704	NC_047561.1	36809170	36821371	GO:0003690	double-stranded DNA binding	nucleic acid binding activity	F
LOC109617704	0.0125317678663276	-1.76519334355505	uncharacterized protein LOC109617704	XM_034471065.1	109617704	NC_047561.1	36809170	36821371	GO:0005524	ATP binding	other molecular function	F
LOC109617704	0.0125317678663276	-1.76519334355505	uncharacterized protein LOC109617704	XM_034471065.1	109617704	NC_047561.1	36809170	36821371	GO:0005525	GTP binding	other molecular function	F
LOC109617704	0.0125317678663276	-1.76519334355505	uncharacterized protein LOC109617704	XM_034471065.1	109617704	NC_047561.1	36809170	36821371	GO:0005829	cytosol	cytosol	C
LOC109617704	0.0125317678663276	-1.76519334355505	uncharacterized protein LOC109617704	XM_034471065.1	109617704	NC_047561.1	36809170	36821371	GO:0009190	cyclic nucleotide biosynthetic process	other metabolic processes	P
LOC109617704	0.0125317678663276	-1.76519334355505	uncharacterized protein LOC109617704	XM_034471065.1	109617704	NC_047561.1	36809170	36821371	GO:0032481	positive regulation of type I interferon production	other biological processes	P
LOC109617704	0.0125317678663276	-1.76519334355505	uncharacterized protein LOC109617704	XM_034471065.1	109617704	NC_047561.1	36809170	36821371	GO:0045087	innate immune response	stress response	P
LOC109617704	0.0125317678663276	-1.76519334355505	uncharacterized protein LOC109617704	XM_034471065.1	109617704	NC_047561.1	36809170	36821371	GO:0046872	metal ion binding	other molecular function	F
LOC109617704	0.0125317678663276	-1.76519334355505	uncharacterized protein LOC109617704	XM_034471065.1	109617704	NC_047561.1	36809170	36821371	GO:0051607	defense response to virus	stress response	P
LOC105335714	0.000779857199552103	-1.71127175664798	lectin BRA-3 isoform X4	XM_034447996.1	105335714	NC_047559.1	40929840	40959658	GO:0030246	carbohydrate binding	other molecular function	F
LOC105335714	0.000779857199552103	-1.71127175664798	lectin BRA-3 isoform X4	XM_011439752.3	105335714	NC_047559.1	40929840	40932949	GO:0030246	carbohydrate binding	other molecular function	F
LOC105335714	0.000779857199552103	-1.71127175664798	lectin BRA-3 isoform X4	XM_034447994.1	105335714	NC_047559.1	40929842	40952877	GO:0030246	carbohydrate binding	other molecular function	F
LOC105335714	0.000779857199552103	-1.71127175664798	lectin BRA-3 isoform X4	XM_011454490.3	105335714	NC_047559.1	40950738	40952875	GO:0005576	extracellular region	non-structural extracellular	C
LOC105335714	0.000779857199552103	-1.71127175664798	lectin BRA-3 isoform X4	XM_011454490.3	105335714	NC_047559.1	40950738	40952875	GO:0030246	carbohydrate binding	other molecular function	F
LOC105335714	0.000779857199552103	-1.71127175664798	lectin BRA-3 isoform X4	XM_011454490.3	105335714	NC_047559.1	40950738	40952875	GO:0046872	metal ion binding	other molecular function	F
LOC105335714	0.000779857199552103	-1.71127175664798	lectin BRA-3 isoform X4	XM_034447990.1	105335714	NC_047559.1	40957140	40959658	GO:0001501	skeletal system development	developmental processes	P
LOC105335714	0.000779857199552103	-1.71127175664798	lectin BRA-3 isoform X4	XM_034447990.1	105335714	NC_047559.1	40957140	40959658	GO:0005201	extracellular matrix structural constituent	extracellular structural activity	F
LOC105335714	0.000779857199552103	-1.71127175664798	lectin BRA-3 isoform X4	XM_034447990.1	105335714	NC_047559.1	40957140	40959658	GO:0005509	calcium ion binding	other molecular function	F
LOC105335714	0.000779857199552103	-1.71127175664798	lectin BRA-3 isoform X4	XM_034447990.1	105335714	NC_047559.1	40957140	40959658	GO:0005540	hyaluronic acid binding	other molecular function	F
LOC105335714	0.000779857199552103	-1.71127175664798	lectin BRA-3 isoform X4	XM_034447990.1	105335714	NC_047559.1	40957140	40959658	GO:0005578	proteinaceous extracellular matrix	extracellular matrix	C
LOC105335714	0.000779857199552103	-1.71127175664798	lectin BRA-3 isoform X4	XM_034447990.1	105335714	NC_047559.1	40957140	40959658	GO:0005886	plasma membrane	other membranes	C
LOC105335714	0.000779857199552103	-1.71127175664798	lectin BRA-3 isoform X4	XM_034447990.1	105335714	NC_047559.1	40957140	40959658	GO:0005886	plasma membrane	plasma membrane	C
LOC105335714	0.000779857199552103	-1.71127175664798	lectin BRA-3 isoform X4	XM_034447990.1	105335714	NC_047559.1	40957140	40959658	GO:0007155	cell adhesion	cell adhesion	P
LOC105335714	0.000779857199552103	-1.71127175664798	lectin BRA-3 isoform X4	XM_034447990.1	105335714	NC_047559.1	40957140	40959658	GO:0007411	axon guidance	cell organization and biogenesis	P
LOC105335714	0.000779857199552103	-1.71127175664798	lectin BRA-3 isoform X4	XM_034447990.1	105335714	NC_047559.1	40957140	40959658	GO:0007411	axon guidance	developmental processes	P
LOC105335714	0.000779857199552103	-1.71127175664798	lectin BRA-3 isoform X4	XM_034447990.1	105335714	NC_047559.1	40957140	40959658	GO:0007417	central nervous system development	developmental processes	P
LOC105335714	0.000779857199552103	-1.71127175664798	lectin BRA-3 isoform X4	XM_034447990.1	105335714	NC_047559.1	40957140	40959658	GO:0030246	carbohydrate binding	other molecular function	F
LOC105335714	0.000779857199552103	-1.71127175664798	lectin BRA-3 isoform X4	XM_034447990.1	105335714	NC_047559.1	40957140	40959658	GO:0051823	regulation of synapse structural plasticity	cell organization and biogenesis	P
LOC105335714	0.000779857199552103	-1.71127175664798	lectin BRA-3 isoform X4	XM_034447990.1	105335714	NC_047559.1	40957140	40959658	GO:0051823	regulation of synapse structural plasticity	cell-cell signaling	P
LOC105341870	0.0217247626622265	-1.59415440316634	glyoxylate reductase/hydroxypyruvate reductase	XM_011448623.3	105341870	NC_047564.1	36453324	36456527	GO:0005737	cytoplasm	other cellular component	C
LOC105341870	0.0217247626622265	-1.59415440316634	glyoxylate reductase/hydroxypyruvate reductase	XM_011448623.3	105341870	NC_047564.1	36453324	36456527	GO:0005782	peroxisomal matrix	other cytoplasmic organelle	C
LOC105341870	0.0217247626622265	-1.59415440316634	glyoxylate reductase/hydroxypyruvate reductase	XM_011448623.3	105341870	NC_047564.1	36453324	36456527	GO:0005829	cytosol	cytosol	C
LOC105341870	0.0217247626622265	-1.59415440316634	glyoxylate reductase/hydroxypyruvate reductase	XM_011448623.3	105341870	NC_047564.1	36453324	36456527	GO:0007588	excretion	transport	P
LOC105341870	0.0217247626622265	-1.59415440316634	glyoxylate reductase/hydroxypyruvate reductase	XM_011448623.3	105341870	NC_047564.1	36453324	36456527	GO:0008152	metabolic process	other metabolic processes	P
LOC105341870	0.0217247626622265	-1.59415440316634	glyoxylate reductase/hydroxypyruvate reductase	XM_011448623.3	105341870	NC_047564.1	36453324	36456527	GO:0008465	glycerate dehydrogenase activity	other molecular function	F
LOC105341870	0.0217247626622265	-1.59415440316634	glyoxylate reductase/hydroxypyruvate reductase	XM_011448623.3	105341870	NC_047564.1	36453324	36456527	GO:0016618	hydroxypyruvate reductase activity	other molecular function	F
LOC105341870	0.0217247626622265	-1.59415440316634	glyoxylate reductase/hydroxypyruvate reductase	XM_011448623.3	105341870	NC_047564.1	36453324	36456527	GO:0030267	glyoxylate reductase (NADP) activity	other molecular function	F
LOC105341870	0.0217247626622265	-1.59415440316634	glyoxylate reductase/hydroxypyruvate reductase	XM_011448623.3	105341870	NC_047564.1	36453324	36456527	GO:0031406	carboxylic acid binding	other molecular function	F
LOC105341870	0.0217247626622265	-1.59415440316634	glyoxylate reductase/hydroxypyruvate reductase	XM_011448623.3	105341870	NC_047564.1	36453324	36456527	GO:0034641	cellular nitrogen compound metabolic process	other metabolic processes	P
LOC105341870	0.0217247626622265	-1.59415440316634	glyoxylate reductase/hydroxypyruvate reductase	XM_011448623.3	105341870	NC_047564.1	36453324	36456527	GO:0042803	protein homodimerization activity	other molecular function	F
LOC105341870	0.0217247626622265	-1.59415440316634	glyoxylate reductase/hydroxypyruvate reductase	XM_011448623.3	105341870	NC_047564.1	36453324	36456527	GO:0043648	dicarboxylic acid metabolic process	other metabolic processes	P
LOC105341870	0.0217247626622265	-1.59415440316634	glyoxylate reductase/hydroxypyruvate reductase	XM_011448623.3	105341870	NC_047564.1	36453324	36456527	GO:0051259	protein oligomerization	cell organization and biogenesis	P
LOC105341870	0.0217247626622265	-1.59415440316634	glyoxylate reductase/hydroxypyruvate reductase	XM_011448623.3	105341870	NC_047564.1	36453324	36456527	GO:0051287	NAD or NADH binding	other molecular function	F
LOC105341870	0.0217247626622265	-1.59415440316634	glyoxylate reductase/hydroxypyruvate reductase	XM_011448623.3	105341870	NC_047564.1	36453324	36456527	GO:0055114	oxidation reduction	other metabolic processes	P
LOC105341870	0.0217247626622265	-1.59415440316634	glyoxylate reductase/hydroxypyruvate reductase	XM_011448623.3	105341870	NC_047564.1	36453324	36456527	GO:0070062	extracellular vesicular exosome	non-structural extracellular	C
